int	int	string
250	3574	{"6":32698,"7":409}
251	3621	{"6":32860,"7":411}
252	3667	{"6":33023,"7":413}
253	3714	{"6":33186,"7":415}
254	3762	{"6":33349,"7":417}
255	3810	{"6":33513,"7":419}
256	3859	{"6":33677,"7":421}
257	3908	{"6":33842,"7":423}
258	3958	{"6":34007,"7":425}
259	4008	{"6":34172,"7":427}
260	4059	{"6":34338,"7":429}
261	4110	{"6":34504,"7":431}
262	4162	{"6":34670,"7":433}
263	4214	{"6":34837,"7":435}
264	4267	{"6":35005,"7":438}
265	4321	{"6":35173,"7":440}
266	4375	{"6":35341,"7":442}
267	4429	{"6":35509,"7":444}
268	4484	{"6":35678,"7":446}
269	4540	{"6":35848,"7":448}
270	4597	{"6":36017,"7":450}
271	4653	{"6":36188,"7":452}
272	4711	{"6":36358,"7":454}
273	4769	{"6":36529,"7":457}
274	4828	{"6":36701,"7":459}
275	4887	{"6":36872,"7":461}
276	4947	{"6":37045,"7":463}
277	5007	{"6":37217,"7":465}
278	5068	{"6":37390,"7":467}
279	5130	{"6":37564,"7":470}
280	5192	{"6":37738,"7":472}
281	5255	{"6":37912,"7":474}
282	5319	{"6":38087,"7":476}
283	5383	{"6":38262,"7":478}
284	5448	{"6":38437,"7":480}
285	5514	{"6":38613,"7":483}
286	5580	{"6":38790,"7":485}
287	5647	{"6":38966,"7":487}
288	5715	{"6":39144,"7":489}
289	5783	{"6":39321,"7":492}
290	5852	{"6":39499,"7":494}
291	5921	{"6":39678,"7":496}
292	5992	{"6":39857,"7":498}
293	6063	{"6":40036,"7":500}
294	6134	{"6":40216,"7":503}
295	6207	{"6":40396,"7":505}
296	6280	{"6":40577,"7":507}
297	6354	{"6":40758,"7":509}
298	6428	{"6":40939,"7":512}
299	6504	{"6":41121,"7":514}
300	6580	{"6":41304,"7":516}
301	6657	{"6":41486,"7":519}
302	6734	{"6":41670,"7":521}
303	6813	{"6":41853,"7":523}
304	6892	{"6":42037,"7":525}
305	6972	{"6":42222,"7":528}
306	7052	{"6":42407,"7":530}
307	7134	{"6":42592,"7":532}
308	7216	{"6":42778,"7":535}
309	7299	{"6":42965,"7":537}
310	7383	{"6":43151,"7":539}
311	7468	{"6":43339,"7":542}
312	7553	{"6":43526,"7":544}
313	7639	{"6":43715,"7":546}
314	7726	{"6":43903,"7":549}
315	7814	{"6":44092,"7":551}
316	7903	{"6":44282,"7":554}
317	7993	{"6":44471,"7":556}
318	8083	{"6":44662,"7":558}
319	8175	{"6":44853,"7":561}
320	8267	{"6":45044,"7":563}
321	8360	{"6":45236,"7":565}
322	8454	{"6":45428,"7":568}
323	8549	{"6":45621,"7":570}
324	8645	{"6":45814,"7":573}
325	8742	{"6":46007,"7":575}
326	8839	{"6":46201,"7":578}
327	8938	{"6":46396,"7":580}
328	9037	{"6":46591,"7":582}
329	9138	{"6":46786,"7":585}
330	9239	{"6":46982,"7":587}
331	9341	{"6":47179,"7":590}
332	9445	{"6":47375,"7":592}
333	9549	{"6":47573,"7":595}
334	9654	{"6":47771,"7":597}
335	9760	{"6":47969,"7":600}
336	9868	{"6":48167,"7":602}
337	9976	{"6":48367,"7":605}
338	10085	{"6":48566,"7":607}
339	10195	{"6":48767,"7":610}
340	10307	{"6":48967,"7":612}
341	10419	{"6":49168,"7":615}
342	10532	{"6":49370,"7":617}
343	10647	{"6":49572,"7":620}
344	10762	{"6":49774,"7":622}
345	10878	{"6":49978,"7":625}
346	10996	{"6":50181,"7":627}
347	11115	{"6":50385,"7":630}
348	11234	{"6":50590,"7":632}
349	11355	{"6":50795,"7":635}
350	11477	{"6":51000,"7":638}
351	11600	{"6":51206,"7":640}
352	11724	{"6":51412,"7":643}
353	11850	{"6":51619,"7":645}
354	11976	{"6":51827,"7":648}
355	12104	{"6":52035,"7":650}
356	12232	{"6":52243,"7":653}
357	12362	{"6":52452,"7":656}
358	12493	{"6":52661,"7":658}
359	12626	{"6":52871,"7":661}
360	12759	{"6":53082,"7":664}
361	12894	{"6":53293,"7":666}
362	13030	{"6":53504,"7":669}
363	13167	{"6":53716,"7":671}
364	13305	{"6":53929,"7":674}
365	13445	{"6":54141,"7":677}
366	13585	{"6":54355,"7":679}
367	13727	{"6":54569,"7":682}
368	13871	{"6":54783,"7":685}
369	14015	{"6":54998,"7":687}
370	14161	{"6":55214,"7":690}
371	14308	{"6":55430,"7":693}
372	14457	{"6":55646,"7":696}
373	14607	{"6":55863,"7":698}
374	14758	{"6":56081,"7":701}
375	14910	{"6":56299,"7":704}
376	15064	{"6":56517,"7":706}
377	15220	{"6":56737,"7":709}
378	15376	{"6":56956,"7":712}
379	15534	{"6":57176,"7":715}
380	15693	{"6":57397,"7":717}
381	15854	{"6":57618,"7":720}
382	16016	{"6":57840,"7":723}
383	16180	{"6":58062,"7":726}
384	16345	{"6":58285,"7":729}
385	16511	{"6":58508,"7":731}
386	16679	{"6":58732,"7":734}
387	16849	{"6":58956,"7":737}
388	17019	{"6":59181,"7":740}
389	17192	{"6":59407,"7":743}
390	17366	{"6":59633,"7":745}
391	17541	{"6":59859,"7":748}
392	17718	{"6":60086,"7":751}
393	17896	{"6":60314,"7":754}
394	18076	{"6":60542,"7":757}
395	18257	{"6":60770,"7":760}
396	18440	{"6":61000,"7":762}
397	18625	{"6":61229,"7":765}
398	18811	{"6":61460,"7":768}
399	18999	{"6":61690,"7":771}
400	19188	{"6":61922,"7":774}
401	19379	{"6":62154,"7":777}
402	19572	{"6":62386,"7":780}
403	19766	{"6":62619,"7":783}
404	19962	{"6":62853,"7":786}
405	20160	{"6":63087,"7":789}
406	20359	{"6":63321,"7":792}
407	20560	{"6":63557,"7":794}
408	20763	{"6":63792,"7":797}
409	20967	{"6":64029,"7":800}
410	21174	{"6":64266,"7":803}
411	21381	{"6":64503,"7":806}
412	21591	{"6":64741,"7":809}
413	21803	{"6":64980,"7":812}
414	22016	{"6":65219,"7":815}
415	22231	{"6":65459,"7":818}
416	22448	{"6":65699,"7":821}
417	22666	{"6":65940,"7":824}
418	22887	{"6":66181,"7":827}
419	23109	{"6":66423,"7":830}
420	23333	{"6":66666,"7":833}
421	23559	{"6":66909,"7":836}
422	23787	{"6":67152,"7":839}
423	24017	{"6":67397,"7":842}
424	24249	{"6":67642,"7":846}
425	24483	{"6":67887,"7":849}
426	24718	{"6":68133,"7":852}
427	24956	{"6":68380,"7":855}
428	25195	{"6":68627,"7":858}
429	25437	{"6":68874,"7":861}
430	25681	{"6":69123,"7":864}
431	25926	{"6":69372,"7":867}
432	26174	{"6":69621,"7":870}
433	26423	{"6":69871,"7":873}
434	26675	{"6":70122,"7":877}
435	26929	{"6":70373,"7":880}
436	27185	{"6":70625,"7":883}
437	27443	{"6":70877,"7":886}
438	27703	{"6":71130,"7":889}
439	27965	{"6":71384,"7":892}
440	28229	{"6":71638,"7":895}
441	28496	{"6":71893,"7":899}
442	28764	{"6":72149,"7":902}
443	29035	{"6":72405,"7":905}
444	29308	{"6":72661,"7":908}
445	29584	{"6":72918,"7":911}
446	29861	{"6":73176,"7":915}
447	30141	{"6":73435,"7":918}
448	30423	{"6":73694,"7":921}
449	30707	{"6":73953,"7":924}
450	30994	{"6":74214,"7":928}
451	31283	{"6":74475,"7":931}
452	31574	{"6":74736,"7":934}
453	31868	{"6":74998,"7":937}
454	32164	{"6":75261,"7":941}
455	32462	{"6":75524,"7":944}
456	32763	{"6":75788,"7":947}
457	33066	{"6":76053,"7":951}
458	33372	{"6":76318,"7":954}
459	33680	{"6":76584,"7":957}
460	33991	{"6":76850,"7":961}
461	34304	{"6":77117,"7":964}
462	34619	{"6":77385,"7":967}
463	34937	{"6":77653,"7":971}
464	35258	{"6":77922,"7":974}
465	35581	{"6":78191,"7":977}
466	35907	{"6":78462,"7":981}
467	36235	{"6":78732,"7":984}
468	36566	{"6":79004,"7":988}
469	36899	{"6":79276,"7":991}
470	37236	{"6":79548,"7":994}
471	37574	{"6":79822,"7":998}
472	37916	{"6":80096,"7":1001}
473	38260	{"6":80370,"7":1005}
474	38607	{"6":80646,"7":1008}
475	38957	{"6":80922,"7":1012}
476	39309	{"6":81198,"7":1015}
477	39664	{"6":81475,"7":1018}
478	40022	{"6":81753,"7":1022}
479	40383	{"6":82031,"7":1025}
480	40747	{"6":82311,"7":1029}
481	41113	{"6":82590,"7":1032}
482	41482	{"6":82871,"7":1036}
483	41855	{"6":83152,"7":1039}
484	42230	{"6":83434,"7":1043}
485	42608	{"6":83716,"7":1046}
486	42989	{"6":83999,"7":1050}
487	43373	{"6":84283,"7":1054}
488	43760	{"6":84567,"7":1057}
489	44149	{"6":84852,"7":1061}
490	44542	{"6":85138,"7":1064}
491	44938	{"6":85424,"7":1068}
492	45337	{"6":85711,"7":1071}
493	45740	{"6":85999,"7":1075}
494	46145	{"6":86287,"7":1079}
495	46553	{"6":86576,"7":1082}
496	46965	{"6":86865,"7":1086}
497	47379	{"6":87156,"7":1089}
498	47797	{"6":87447,"7":1093}
499	48218	{"6":87738,"7":1097}
500	48643	{"6":88031,"7":1100}
501	49070	{"6":88324,"7":1104}
502	49501	{"6":88618,"7":1108}
503	49935	{"6":88912,"7":1111}
504	50373	{"6":89207,"7":1115}
505	50813	{"6":89503,"7":1119}
506	51258	{"6":89799,"7":1122}
507	51705	{"6":90096,"7":1126}
508	52156	{"6":90394,"7":1130}
509	52611	{"6":90692,"7":1134}
510	53068	{"6":90992,"7":1137}
511	53530	{"6":91291,"7":1141}
512	53995	{"6":91592,"7":1145}
513	54463	{"6":91893,"7":1149}
514	54935	{"6":92195,"7":1152}
515	55410	{"6":92498,"7":1156}
516	55889	{"6":92801,"7":1160}
517	56372	{"6":93105,"7":1164}
518	56858	{"6":93410,"7":1168}
519	57348	{"6":93715,"7":1171}
520	57842	{"6":94021,"7":1175}
521	58339	{"6":94328,"7":1179}
522	58840	{"6":94636,"7":1183}
523	59345	{"6":94944,"7":1187}
524	59854	{"6":95253,"7":1191}
525	60366	{"6":95563,"7":1195}
526	60882	{"6":95873,"7":1198}
527	61403	{"6":96184,"7":1202}
528	61927	{"6":96496,"7":1206}
529	62455	{"6":96808,"7":1210}
530	62986	{"6":97121,"7":1214}
531	63522	{"6":97435,"7":1218}
532	64062	{"6":97750,"7":1222}
533	64606	{"6":98065,"7":1226}
534	65154	{"6":98381,"7":1230}
535	65706	{"6":98698,"7":1234}
536	66262	{"6":99016,"7":1238}
537	66822	{"6":99334,"7":1242}
538	67386	{"6":99653,"7":1246}
539	67955	{"6":99973,"7":1250}
540	68527	{"6":100293,"7":1254}
541	69104	{"6":100614,"7":1258}
542	69685	{"6":100936,"7":1262}
543	70271	{"6":101259,"7":1266}
544	70860	{"6":101582,"7":1270}
545	71454	{"6":101906,"7":1274}
546	72053	{"6":102231,"7":1278}
547	72656	{"6":102557,"7":1282}
548	73263	{"6":102883,"7":1286}
549	73874	{"6":103210,"7":1290}
550	74491	{"6":103538,"7":1294}
551	75111	{"6":103867,"7":1298}
552	75736	{"6":104196,"7":1302}
553	76366	{"6":104526,"7":1307}
554	77000	{"6":104857,"7":1311}
555	77639	{"6":105188,"7":1315}
556	78283	{"6":105521,"7":1319}
557	78931	{"6":105854,"7":1323}
558	79584	{"6":106188,"7":1327}
559	80242	{"6":106522,"7":1332}
560	80904	{"6":106858,"7":1336}
561	81571	{"6":107194,"7":1340}
562	82243	{"6":107531,"7":1344}
563	82920	{"6":107868,"7":1348}
564	83602	{"6":108207,"7":1353}
565	84289	{"6":108546,"7":1357}
566	84980	{"6":108886,"7":1361}
567	85677	{"6":109226,"7":1365}
568	86379	{"6":109568,"7":1370}
569	87086	{"6":109910,"7":1374}
570	87797	{"6":110253,"7":1378}
571	88514	{"6":110597,"7":1382}
572	89236	{"6":110941,"7":1387}
573	89963	{"6":111287,"7":1391}
574	90696	{"6":111633,"7":1395}
575	91433	{"6":111980,"7":1400}
576	92176	{"6":112328,"7":1404}
577	92925	{"6":112676,"7":1408}
578	93678	{"6":113025,"7":1413}
579	94437	{"6":113375,"7":1417}
580	95201	{"6":113726,"7":1422}
581	95971	{"6":114078,"7":1426}
582	96746	{"6":114430,"7":1430}
583	97527	{"6":114783,"7":1435}
584	98313	{"6":115137,"7":1439}
585	99105	{"6":115492,"7":1444}
586	99902	{"6":115848,"7":1448}
587	100705	{"6":116204,"7":1453}
588	101514	{"6":116561,"7":1457}
589	102329	{"6":116919,"7":1461}
590	103149	{"6":117278,"7":1466}
591	103975	{"6":117638,"7":1470}
592	104807	{"6":117998,"7":1475}
593	105644	{"6":118359,"7":1479}
594	106488	{"6":118721,"7":1484}
595	107337	{"6":119084,"7":1489}
596	108193	{"6":119448,"7":1493}
597	109054	{"6":119812,"7":1498}
598	109921	{"6":120177,"7":1502}
599	110795	{"6":120544,"7":1507}
600	111675	{"6":120910,"7":1511}
601	112560	{"6":121278,"7":1516}
602	113452	{"6":121647,"7":1521}
603	114350	{"6":122016,"7":1525}
604	115255	{"6":122386,"7":1530}
605	116166	{"6":122757,"7":1534}
606	117083	{"6":123129,"7":1539}
607	118006	{"6":123502,"7":1544}
608	118936	{"6":123875,"7":1548}
609	119872	{"6":124250,"7":1553}
610	120815	{"6":124625,"7":1558}
611	121764	{"6":125001,"7":1563}
612	122720	{"6":125378,"7":1567}
613	123683	{"6":125755,"7":1572}
614	124652	{"6":126134,"7":1577}
615	125628	{"6":126513,"7":1581}
616	126610	{"6":126893,"7":1586}
617	127600	{"6":127274,"7":1591}
618	128596	{"6":127656,"7":1596}
619	129599	{"6":128039,"7":1600}
620	130609	{"6":128423,"7":1605}
621	131626	{"6":128807,"7":1610}
622	132649	{"6":129192,"7":1615}
623	133680	{"6":129579,"7":1620}
624	134718	{"6":129966,"7":1625}
625	135763	{"6":130353,"7":1629}
626	136815	{"6":130742,"7":1634}
627	137875	{"6":131132,"7":1639}
628	138941	{"6":131522,"7":1644}
629	140015	{"6":131913,"7":1649}
630	141096	{"6":132306,"7":1654}
631	142185	{"6":132699,"7":1659}
632	143281	{"6":133093,"7":1664}
633	144384	{"6":133487,"7":1669}
634	145495	{"6":133883,"7":1674}
635	146614	{"6":134279,"7":1678}
636	147740	{"6":134677,"7":1683}
637	148873	{"6":135075,"7":1688}
638	150015	{"6":135474,"7":1693}
639	151164	{"6":135874,"7":1698}
640	152321	{"6":136275,"7":1703}
641	153485	{"6":136677,"7":1708}
642	154658	{"6":137080,"7":1713}
643	155838	{"6":137483,"7":1719}
644	157027	{"6":137888,"7":1724}
645	158223	{"6":138293,"7":1729}
646	159427	{"6":138699,"7":1734}
647	160640	{"6":139106,"7":1739}
648	161861	{"6":139514,"7":1744}
649	163089	{"6":139923,"7":1749}
650	164327	{"6":140333,"7":1754}
651	165572	{"6":140743,"7":1759}
652	166826	{"6":141155,"7":1764}
653	168088	{"6":141568,"7":1770}
654	169358	{"6":141981,"7":1775}
655	170637	{"6":142395,"7":1780}
656	171925	{"6":142810,"7":1785}
657	173221	{"6":143226,"7":1790}
658	174526	{"6":143643,"7":1796}
659	175840	{"6":144061,"7":1801}
660	177162	{"6":144480,"7":1806}
661	178493	{"6":144900,"7":1811}
662	179833	{"6":145321,"7":1817}
663	181182	{"6":145742,"7":1822}
664	182539	{"6":146165,"7":1827}
665	183906	{"6":146588,"7":1832}
666	185282	{"6":147012,"7":1838}
667	186667	{"6":147438,"7":1843}
668	188061	{"6":147864,"7":1848}
669	189464	{"6":148291,"7":1854}
670	190876	{"6":148719,"7":1859}
671	192298	{"6":149148,"7":1864}
672	193729	{"6":149578,"7":1870}
673	195170	{"6":150009,"7":1875}
674	196620	{"6":150440,"7":1881}
675	198080	{"6":150873,"7":1886}
676	199549	{"6":151307,"7":1891}
677	201028	{"6":151741,"7":1897}
678	202516	{"6":152177,"7":1902}
679	204015	{"6":152613,"7":1908}
680	205523	{"6":153051,"7":1913}
681	207041	{"6":153489,"7":1919}
682	208569	{"6":153928,"7":1924}
683	210107	{"6":154369,"7":1930}
684	211655	{"6":154810,"7":1935}
685	213213	{"6":155252,"7":1941}
686	214781	{"6":155695,"7":1946}
687	216359	{"6":156139,"7":1952}
688	217948	{"6":156584,"7":1957}
689	219547	{"6":157030,"7":1963}
690	221156	{"6":157477,"7":1968}
691	222776	{"6":157925,"7":1974}
692	224407	{"6":158374,"7":1980}
693	226048	{"6":158824,"7":1985}
694	227699	{"6":159275,"7":1991}
695	229361	{"6":159726,"7":1997}
696	231035	{"6":160179,"7":2002}
697	232718	{"6":160633,"7":2008}
698	234413	{"6":161088,"7":2014}
699	236119	{"6":161543,"7":2019}
700	237835	{"6":162000,"7":2025}
