int	int	string	int	int	int	int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int
RefreshID	NPCID	NPCName	NPCType	NPCLv	MapID	Unknow1	Unknow2	HexPosNPCRefreshAreaChaseArea	PerRefreshNum	RefreshNum	NPCFace	Unknow3	RefreshTime	Unknow4	Unknow5	Unknow6	Unknow7	NPCRoute	StayMinTime	StayMaxTime	RefreshMark	Unknow9
Ë¢ÐÂµã±àºÅ	ID	Ãû×Ö	NPCÀàÐÍ	µÈ¼¶	ËùÔÚµØÍ¼	²»Ã÷	²»Ã÷	"Ê®Áù½øÖÆ×ø±êX,Y|¹ÖÎïË¢ÐÂ·¶Î§|×·»÷·¶Î§"	µ¥´ÎË¢¹ÖÊýÁ¿	Ë¢¹Ö×ÜÊýÁ¿	¹ÖÎïÃæÏò	²»Ã÷	Ë¢ÐÂÊ±¼ä	²»Ã÷	²»Ã÷	²»Ã÷	²»Ã÷	¹ÖÎïÂ·µã	Í£ÁôÊ±¼ä×îÐ¡	Í£ÁôÊ±¼ä×î´ó	Ë¢ÐÂ±êÊ¶	²»Ã÷
75731	10101003	Ë®¾«Áé	2	8	10010	0	1	7F 00 00 00 69 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75739	10101002	´ó¶ú	2	6	10010	0	1	A8 00 00 00 6C 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75741	10101002	´ó¶ú	2	6	10010	0	1	A5 00 00 00 6B 00 00 00 01 00 00 00 07 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75743	10101002	´ó¶ú	2	6	10010	0	1	A7 00 00 00 69 00 00 00 01 00 00 00 07 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75751	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	CC 00 00 00 65 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75753	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	C8 00 00 00 63 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75757	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	C8 00 00 00 60 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75767	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	CA 00 00 00 6A 00 00 00 01 00 00 00 08 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75769	10101001	»ú¹Ø»ÃÊÞ	2	5	10010	0	1	D3 00 00 00 6D 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75677	10104012	ÇåÐÄµÀÈË	0	12	10010	0	1	43 00 00 00 0B 00 00 00 00 00 00 00 0F 00 00 00	1	1	64	0	0	0	0	1	0	 	5	5	0	0	
75685	10104006	°¢×ÏÊ¦ÃÃ	0	7	10010	0	1	8B 00 00 00 6F 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75697	10109005	ÃÔ»ÃÉ­ÁÖ´«ËÍÊ¯	0	70	10010	0	1	65 00 00 00 6F 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75699	10109006	Áé½çÖ®É­´«ËÍÊ¯	0	70	10010	0	1	66 00 00 00 60 00 00 00 00 00 00 00 0F 00 00 00	1	1	192	0	0	0	0	1	0	 	5	5	0	0	
75795	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	75 00 00 00 3F 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75797	10104007	Éñ¾÷×ÚÖ÷	0	8	10010	0	1	75 00 00 00 6B 00 00 00 00 00 00 00 0F 00 00 00	1	1	128	0	0	0	0	1	0	 	5	5	0	0	
75799	10104008	ð©ÔÂÕ½Éñ	0	9	10010	0	1	66 00 00 00 58 00 00 00 00 00 00 00 0F 00 00 00	1	1	56	0	0	0	0	1	0	 	5	5	0	0	
75641	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	51 00 00 00 09 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75643	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4C 00 00 00 09 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75645	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	54 00 00 00 0E 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75657	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	56 00 00 00 17 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75619	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4E 00 00 00 2F 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75629	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	57 00 00 00 2E 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75543	10101002	´ó¶ú	2	6	10010	0	1	B0 00 00 00 6F 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75545	10101002	´ó¶ú	2	6	10010	0	1	AD 00 00 00 6E 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75547	10101002	´ó¶ú	2	6	10010	0	1	AD 00 00 00 6C 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75549	10101002	´ó¶ú	2	6	10010	0	1	AE 00 00 00 70 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75551	10101002	´ó¶ú	2	6	10010	0	1	B0 00 00 00 6C 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75707	10101003	Ë®¾«Áé	2	8	10010	0	1	89 00 00 00 64 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75709	10101003	Ë®¾«Áé	2	8	10010	0	1	7F 00 00 00 67 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75665	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4C 00 00 00 10 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75667	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4E 00 00 00 14 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75669	10102001	Ð×ÑÀÃÍ»¢	2	17	10010	0	1	4E 00 00 00 11 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75581	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	75 00 00 00 31 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75583	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7C 00 00 00 3B 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75569	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	77 00 00 00 36 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75591	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7E 00 00 00 3C 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75593	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	55 00 00 00 37 00 00 00 01 00 00 00 0A 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75595	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4E 00 00 00 38 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75603	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4B 00 00 00 33 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75605	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	49 00 00 00 39 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75607	10101005	·¢¿ñÉ½±ª	2	14	10010	0	1	4D 00 00 00 31 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75559	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	7A 00 00 00 3D 00 00 00 01 00 00 00 0F 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75561	10101004	Ä§»¯ÀÇÑý	2	12	10010	0	1	70 00 00 00 36 00 00 00 01 00 00 00 0C 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75985	10202001	»êÁé	2	37	10020	0	1	40 00 00 00 63 00 00 00 01 00 00 00 10 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75987	10202001	»êÁé	2	37	10020	0	1	2D 00 00 00 6E 00 00 00 01 00 00 00 10 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75989	10201002	ÔÆÓ¥	2	24	10020	0	1	94 00 00 00 19 00 00 00 01 00 00 00 10 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75991	10202001	»êÁé	2	37	10020	0	1	39 00 00 00 71 00 00 00 01 00 00 00 10 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
75993	10202001	»êÁé	2	37	10020	0	1	39 00 00 00 6E 00 00 00 01 00 00 00 10 00 00 00	1	1	0	0	1800	0	0	1	0	 	5	5	0	0	
