int	int	int	int	int	int[]	int[]	int[]
304	3	4	1331347	500	141|142|143|144	7|7|7|7	600|800|8000|8000
305	3	5	1397690	500	141|142|143|144	9|9|9|9	600|800|8000|8000
306	3	6	1464705	500	141|142|143|144	11|11|11|11	600|800|8000|8000
307	3	7	1604328	500	141|142|143|144	13|13|13|13	600|800|8000|8000
308	3	8	1675695	500	141|142|143|144	15|15|15|15	600|800|8000|8000
309	3	9	1747812	500	141|142|143|144	17|17|17|17	600|800|8000|8000
310	3	10	2076187	500	141|142|143|144	19|19|19|19	600|800|8000|8000
311	3	11	2129397	200	141|142|143|144	5|5|5|5	300|500|700|8000
312	3	12	2895038	200	141|142|143|144	6|6|6|6	300|500|700|8000
313	3	13	3829130	200	141|142|143|144	7|7|7|7	300|500|700|8000
314	3	14	4650843	200	141|142|143|144	8|8|8|8	300|500|700|8000
315	3	15	5485489	200	141|142|143|144	12|12|12|12	300|500|700|8000
316	3	16	5900748	200	141|142|143|144	11|11|11|11	300|500|700|6000
317	3	17	7858969	200	141|142|143|144	14|14|14|14	300|500|700|6000
318	3	18	10017117	200	141|142|143|144	17|17|17|17	300|500|700|6000
319	3	19	12607856	200	141|142|143|144	22|22|22|22	300|500|700|6000
320	3	20	14714398	200	141|142|143|144	28|28|28|28	300|500|700|6000
321	3	21	16920783	200	141|142|143|144	29|29|29|29	300|500|700|6000
322	3	22	19094215	200	141|142|143|144	30|30|30|30	300|500|700|6000
323	3	23	21019222	200	141|142|143|144	35|35|35|35	300|500|700|6000
324	3	24	22944229	200	141|142|143|144	38|38|38|38	300|500|700|6000
325	3	25	24869236	200	141|142|143|144	45|45|45|45	300|500|700|6000
