int	int	int	int
4063	75	16800	138520
4064	75	17060	143790
4065	75	17330	149210
4066	75	17600	154770
4067	75	17860	160490
4068	75	18130	166350
4069	75	18400	172370
4070	75	18660	178550
4071	75	18930	184890
4072	75	19200	191390
4073	75	19460	198060
4074	75	19730	204900
4075	75	20000	211910
4076	75	20260	219100
4077	75	20530	226460
4078	75	20800	234000
4079	75	21060	241730
4080	75	21330	249640
4081	75	21600	257740
4082	75	21860	266030
4083	75	22130	274520
4084	75	22400	283210
4085	75	22660	292090
4086	75	22930	301180
4087	75	23200	310480
4088	75	23460	319990
4089	75	23730	329710
4090	75	24000	339650
4091	75	24260	349810
4092	75	24530	360190
4093	75	24800	370800
4094	75	25060	381640
4095	75	25330	392710
4096	75	25600	404020
4097	75	25860	415560
4098	75	26130	427360
4099	75	26400	439390
4100	75	26660	469510
4101	75	26930	502100
4102	75	27200	504740
4103	75	27460	507550
4104	75	27730	510550
4105	75	28000	513740
4106	75	28260	517140
4107	75	28530	520760
4108	75	28800	524630
4109	75	29060	528730
4110	75	29330	533100
4111	75	29600	537740
4112	75	29860	542680
4113	75	30130	547910
4114	75	30400	553460
4115	75	30660	559330
4116	75	30930	565540
4117	75	31200	572100
4118	75	31460	579040
4119	75	31730	586340
4120	75	32000	594040
4121	75	32260	602150
4122	75	32530	610680
4123	75	32800	619630
4124	75	33060	629030
4125	75	33330	638880
4126	75	33600	649210
4127	75	33860	660010
4128	75	34130	671320
4129	75	34400	683130
4130	75	34660	695460
4131	75	34930	708330
4132	75	35200	721740
4133	75	35460	735720
4134	75	35730	750270
4135	75	36000	765410
4136	75	36260	781150
4137	75	36530	797500
4138	75	36800	814470
4139	75	37060	832090
4140	75	37330	850360
4141	75	37600	869290
4142	75	37860	888900
4143	75	38130	909200
4144	75	38400	930200
4145	75	38660	951920
4146	75	38930	974370
4147	75	39200	997570
4148	75	39460	1021520
4149	75	39730	1046240
4150	75	40000	1071740
5001	76	130	490
5002	76	260	600
5003	76	400	720
5004	76	530	850
5005	76	660	990
5006	76	800	1140
5007	76	930	1300
5008	76	1060	1460
5009	76	1200	1640
5010	76	1330	1830
5011	76	1460	2030
5012	76	1600	2240
5013	76	1730	2460
5014	76	1860	2700
5015	76	2000	2950
5016	76	2130	3210
5017	76	2260	3480
5018	76	2400	3770
5019	76	2530	4070
5020	76	2660	4380
5021	76	2800	4720
5022	76	2930	5060
5023	76	3060	5420
5024	76	3200	5800
5025	76	3330	6200
5026	76	3460	6610
5027	76	3600	7040
5028	76	3730	7490
5029	76	3860	7960
5030	76	4000	8450
5031	76	4130	8950
5032	76	4260	9480
5033	76	4400	10030
5034	76	4530	10590
5035	76	4660	11180
5036	76	4800	11800
5037	76	4930	12430
5038	76	5060	13090
5039	76	5200	13780
5040	76	5330	14480
5041	76	5460	15220
5042	76	5600	15970
5043	76	5730	16760
5044	76	5860	17570
5045	76	6000	18410
5046	76	6130	19280
5047	76	6260	20170
5048	76	6400	21100
5049	76	6530	22050
5050	76	6660	23030
5051	76	6800	24050
5052	76	6930	25100
5053	76	7060	26180
5054	76	7200	27290
5055	76	7330	28440
5056	76	7460	29620
5057	76	7600	30830
5058	76	7730	32090
5059	76	7860	33370
5060	76	8000	34700
5061	76	8130	36060
5062	76	8260	37460
5063	76	8400	38910
5064	76	8530	40390
5065	76	8660	41910
5066	76	8800	43470
5067	76	8930	45080
5068	76	9060	46720
5069	76	9200	48410
5070	76	9330	50150
5071	76	9460	51930
5072	76	9600	53760
5073	76	9730	55630
5074	76	9860	57550
5075	76	10000	59520
5076	76	10130	61540
5077	76	10260	63600
5078	76	10400	65720
5079	76	10530	67890
5080	76	10660	70120
5081	76	10800	72390
5082	76	10930	74720
5083	76	11060	77100
5084	76	11200	79540
5085	76	11330	82040
5086	76	11460	84590
5087	76	11600	87200
5088	76	11730	89880
5089	76	11860	92610
5090	76	12000	95400
5091	76	12130	98250
5092	76	12260	101170
5093	76	12400	104150
5094	76	12530	107190
5095	76	12660	110300
5096	76	12800	113480
5097	76	12930	116720
5098	76	13060	120030
5099	76	13200	123410
5100	76	13330	131870
5101	76	13460	141020
5102	76	13600	141770
5103	76	13730	142550
5104	76	13860	143400
5105	76	14000	144290
5106	76	14130	145250
5107	76	14260	146270
5108	76	14400	147350
5109	76	14530	148500
5110	76	14660	149730
5111	76	14800	151040
5112	76	14930	152420
5113	76	15060	153890
5114	76	15200	155450
5115	76	15330	157100
5116	76	15460	158840
5117	76	15600	160690
5118	76	15730	162630
5119	76	15860	164690
5120	76	16000	166850
5121	76	16130	169130
5122	76	16260	171520
5123	76	16400	174040
5124	76	16530	176670
5125	76	16660	179440
5126	76	16800	182340
5127	76	16930	185380
5128	76	17060	188550
5129	76	17200	191870
5130	76	17330	195330
5131	76	17460	198950
5132	76	17600	202720
5133	76	17730	206640
5134	76	17860	210730
5135	76	18000	214980
5136	76	18130	219400
5137	76	18260	223990
5138	76	18400	228760
5139	76	18530	233710
5140	76	18660	238840
5141	76	18800	244160
5142	76	18930	249660
5143	76	19060	255370
5144	76	19200	261270
5145	76	19330	267370
5146	76	19460	273670
5147	76	19600	280180
5148	76	19730	286910
5149	76	19860	293860
5150	76	20000	301020
6001	61	30	6120
6002	61	60	7550
6003	61	100	9080
6004	61	130	10700
6005	61	160	12470
6006	61	200	14320
6007	61	230	16290
6008	61	260	18400
6009	61	300	20640
6010	61	330	23010
6011	61	360	25540
6012	61	400	28190
6013	61	430	30980
6014	61	460	33920
6015	61	500	37040
6016	61	530	40320
6017	61	560	43760
6018	61	600	47350
6019	61	630	51150
6020	61	660	55130
6021	61	700	59300
6022	61	730	63640
6023	61	760	68200
6024	61	800	72960
6025	61	830	77930
6026	61	860	83140
6027	61	900	88550
6028	61	930	94180
6029	61	960	100060
6030	61	1000	106200
6031	61	1030	112550
6032	61	1060	119190
6033	61	1100	126060
6034	61	1130	133220
6035	61	1160	140640
6036	61	1200	148340
6037	61	1230	156340
6038	61	1260	164640
6039	61	1300	173230
6040	61	1330	182130
6041	61	1360	191350
6042	61	1400	200870
6043	61	1430	210740
6044	61	1460	220940
6045	61	1500	231480
6046	61	1530	242390
6047	61	1560	253640
6048	61	1600	265270
6049	61	1630	277270
6050	61	1660	289660
6051	61	1700	302420
6052	61	1730	315610
6053	61	1760	329180
6054	61	1800	343180
6055	61	1830	357600
6056	61	1860	372460
6057	61	1900	387740
6058	61	1930	403490
6059	61	1960	419680
6060	61	2000	436370
6061	61	2030	453490
6062	61	2060	471120
6063	61	2100	489230
6064	61	2130	507850
6065	61	2160	526980
6066	61	2200	546630
6067	61	2230	566830
6068	61	2260	587520
6069	61	2300	608790
6070	61	2330	630630
6071	61	2360	653010
6072	61	2400	675970
6073	61	2430	699530
6074	61	2460	723690
6075	61	2500	748440
6076	61	2530	773820
6077	61	2560	799820
6078	61	2600	826450
6079	61	2630	853760
6080	61	2660	881690
6081	61	2700	910300
6082	61	2730	939580
6083	61	2760	969570
6084	61	2800	1000250
6085	61	2830	1031620
6086	61	2860	1063740
6087	61	2900	1096590
6088	61	2930	1130170
6089	61	2960	1164500
6090	61	3000	1199620
6091	61	3030	1235490
6092	61	3060	1272160
6093	61	3100	1309620
6094	61	3130	1347910
6095	61	3160	1387010
6096	61	3200	1426960
6097	61	3230	1467730
6098	61	3260	1509380
6099	61	3300	1551880
6100	61	3330	1658240
6101	61	3360	1773370
6102	61	3400	1782690
6103	61	3430	1792610
6104	61	3460	1803200
6105	61	3500	1814470
6106	61	3530	1826470
6107	61	3560	1839280
6108	61	3600	1852920
6109	61	3630	1867420
6110	61	3660	1882850
6111	61	3700	1899250
6112	61	3730	1916670
6113	61	3760	1935150
6114	61	3800	1954750
6115	61	3830	1975490
6116	61	3860	1997440
6117	61	3900	2020600
6118	61	3930	2045100
6119	61	3960	2070890
6120	61	4000	2098100
6121	61	4030	2126730
6122	61	4060	2156850
6123	61	4100	2188470
6124	61	4130	2221660
6125	61	4160	2256460
6126	61	4200	2292930
6127	61	4230	2331090
6128	61	4260	2371020
6129	61	4300	2412750
6130	61	4330	2456290
6131	61	4360	2501740
6132	61	4400	2549120
6133	61	4430	2598500
6134	61	4460	2649880
6135	61	4500	2703350
6136	61	4530	2758950
6137	61	4560	2816680
6138	61	4600	2876630
6139	61	4630	2938840
6140	61	4660	3003370
6141	61	4700	3070240
6142	61	4730	3139480
6143	61	4760	3211190
6144	61	4800	3285380
6145	61	4830	3362090
6146	61	4860	3441370
6147	61	4900	3523290
6148	61	4930	3607890
6149	61	4960	3695190
6150	61	5000	3785260
7001	62	30	4080
7002	62	60	5030
7003	62	100	6060
7004	62	130	7130
7005	62	160	8310
7006	62	200	9540
7007	62	230	10860
7008	62	260	12270
7009	62	300	13760
7010	62	330	15340
7011	62	360	17020
7012	62	400	18790
7013	62	430	20650
7014	62	460	22610
7015	62	500	24690
7016	62	530	26880
7017	62	560	29170
7018	62	600	31560
7019	62	630	34090
7020	62	660	36750
7021	62	700	39520
7022	62	730	42420
7023	62	760	45460
7024	62	800	48630
7025	62	830	51950
7026	62	860	55420
7027	62	900	59020
7028	62	930	62770
7029	62	960	66690
7030	62	1000	70790
7031	62	1030	75020
7032	62	1060	79450
7033	62	1100	84030
7034	62	1130	88800
7035	62	1160	93740
7036	62	1200	98880
7037	62	1230	104200
7038	62	1260	109740
7039	62	1300	115460
7040	62	1330	121400
7041	62	1360	127540
7042	62	1400	133890
7043	62	1430	140470
7044	62	1460	147270
7045	62	1500	154290
7046	62	1530	161560
7047	62	1560	169060
7048	62	1600	176810
7049	62	1630	184810
7050	62	1660	193070
7051	62	1700	201570
7052	62	1730	210370
7053	62	1760	219410
7054	62	1800	228740
7055	62	1830	238350
7056	62	1860	248260
7057	62	1900	258450
7058	62	1930	268940
7059	62	1960	279730
7060	62	2000	290860
7061	62	2030	302270
7062	62	2060	314020
7063	62	2100	326090
7064	62	2130	338500
7065	62	2160	351250
7066	62	2200	364350
7067	62	2230	377810
7068	62	2260	391610
7069	62	2300	405780
7070	62	2330	420340
7071	62	2360	435260
7072	62	2400	450560
7073	62	2430	466260
7074	62	2460	482360
7075	62	2500	498860
7076	62	2530	515780
7077	62	2560	533110
7078	62	2600	550860
7079	62	2630	569060
7080	62	2660	587680
7081	62	2700	606750
7082	62	2730	626270
7083	62	2760	646250
7084	62	2800	666710
7085	62	2830	687620
7086	62	2860	709030
7087	62	2900	730920
7088	62	2930	753300
7089	62	2960	776190
7090	62	3000	799590
7091	62	3030	823500
7092	62	3060	847950
7093	62	3100	872910
7094	62	3130	898440
7095	62	3160	924490
7096	62	3200	951130
7097	62	3230	978300
7098	62	3260	1006060
7099	62	3300	1034390
7100	62	3330	1105280
7101	62	3360	1182020
7102	62	3400	1188230
7103	62	3430	1194840
7104	62	3460	1201900
7105	62	3500	1209420
7106	62	3530	1217410
7107	62	3560	1225950
7108	62	3600	1235040
7109	62	3630	1244710
7110	62	3660	1254990
7111	62	3700	1265930
7112	62	3730	1277530
7113	62	3760	1289850
7114	62	3800	1302920
7115	62	3830	1316740
7116	62	3860	1331370
7117	62	3900	1346810
7118	62	3930	1363140
7119	62	3960	1380330
7120	62	4000	1398460
7121	62	4030	1417550
7122	62	4060	1437620
7123	62	4100	1458700
7124	62	4130	1480820
7125	62	4160	1504020
7126	62	4200	1528330
7127	62	4230	1553760
7128	62	4260	1580380
7129	62	4300	1608190
7130	62	4330	1637220
7131	62	4360	1667510
7132	62	4400	1699090
7133	62	4430	1732000
7134	62	4460	1766250
7135	62	4500	1801880
7136	62	4530	1838940
7137	62	4560	1877430
7138	62	4600	1917380
7139	62	4630	1958850
7140	62	4660	2001860
7141	62	4700	2046430
7142	62	4730	2092580
7143	62	4760	2140380
7144	62	4800	2189830
7145	62	4830	2240960
7146	62	4860	2293810
7147	62	4900	2348410
7148	62	4930	2404800
7149	62	4960	2462990
7150	62	5000	2523020
