int	int[]	int[]	string[]	int[]	int[]	string[]	int
107010	10704001	5	107010_on_visit_10704001_{0}_1	1|0|1|1|0	1	Body_N017	0
107020	10704002	1	107020_on_visit_10704002_{0}_1	1	1	Body_N017	0
107030	10704003	1	107030_on_visit_10704003_{0}_1	1	1	Body_N017	672
107040	10704004	1	107040_on_visit_10704004_{0}_1	1	1	Body_N017	673
107050	10704005	1	107050_on_visit_10704005_{0}_1	1	1	Body_N017	675
107060	10704006	1	107060_on_visit_10704006_{0}_1	1	1	Body_N017	674
107070	10704007	1	107070_on_visit_10704007_{0}_1	1	1	Body_N017	0
107080	10704008	1	107080_on_visit_10704008_{0}_1	1	1	Body_N017	0
107090	10704009	1	107090_on_visit_10704009_{0}_1	1	1	Body_N017	0
107100	10704010	1	107100_on_visit_10704010_{0}_1	1	1	Body_N017	0
107110	10704011	1	107110_on_visit_10704011_{0}_1	1	1	Body_N017	0
107120	10704012	1	107120_on_visit_10704012_{0}_1	1	1	Body_N017	682
107130	10704013	1	107130_on_visit_10704013_{0}_1	1	1	Body_N017	0
107140	10704014	1	107140_on_visit_10704014_{0}_1	1	1	Body_N017	0
107150	10704015	1	107150_on_visit_10704015_{0}_1	1	1	Body_N017	679
108010	10804001	4	108010_on_visit_10804001_{0}_1	1|0|1|1	1	Body_N017	0
108020	10804002	1	108020_on_visit_10804002_{0}_1	1	1	Body_N017	677
108030	10804003	1	108030_on_visit_10804003_{0}_1	1	1	Body_N017	676
108040	10804004	1	108040_on_visit_10804004_{0}_1	1	1	Body_N017	0
108050	10804005	1	108050_on_visit_10804005_{0}_1	1	1	Body_N017	0
108060	10804006	1	108060_on_visit_10804006_{0}_1	1	1	Body_N017	0
108070	10804007	1	108070_on_visit_10804007_{0}_1	1	1	Body_N017	0
108080	10804008	1	108080_on_visit_10804008_{0}_1	1	1	Body_N017	0
108090	10804009	1	108090_on_visit_10804009_{0}_1	1	1	Body_N017	0
108100	10804010	1	108100_on_visit_10804010_{0}_1	1	1	Body_N017	0
108110	10804011	1	108110_on_visit_10804011_{0}_1	1	1	Body_N017	0
108120	10804012	1	108120_on_visit_10804012_{0}_1	1	1	Body_N017	0
108130	10804013	3	108130_on_visit_10804013_{0}_1	1|1|1	1	Body_N018	0
