int	int	int	int	int[]	string	int	string	string	int	int[]	int	int	string	string	int	int	int	int
105	49	5	1	1				2_10	0		0	105	10	【日常】[60级]通关麒麟之府一层	1	44	4	
106	58	6	1	50106001|3				2_10	0		0	105	10	【灵宠】道士鼠进化至3级	1	33	5	
107	58	7	1	50106001|10				2_10	0		0	105	10	【灵宠】道士鼠进化至10级	1	33	6	
108	49	8	1	2				2_10	0		0	105	10	【日常】[100级]通关麒麟之府二层	1	44	7	
109	58	9	1	50106102|10		200		2_20	0		0	105	20	【灵宠】鬼将军进化至10级	1	33	8	
110	39	10	7	4|4		200		2_20	0		0	105	20	【装备】四阶橙色7件	1	0	9	
112	6	12	5	0		200		2_10	0		0	105	10	【仙盟】仙盟任务50环	1	126	10	
113	7	13	12	0		200		2_10	0		0	105	10	【日常】麒麟之府12次	1	44	11	
114	48	14	50	0		200		2_10	0		0	105	10	【封魔坛】击败Boss50次	1	104	12	
115	46	15	15	0		200		2_10	0		0	105	10	【日常】仙界秘境15次	1	44	13	
201	1	1	70	0				2_10	0		0	106	10	【等级】角色达到70级	1	0	1	
202	39	39	1	1|3				2_10	0		0	106	10	【装备】穿戴1件紫装	1	0	2	
216	114	114	300	0				2_10	0		0	106	10	【境界】[80级]领取300修行点	1	44	3	
217	50	50	1	0				2_10	0		0	106	10	【境界】[80级]晋升至锻体	1	48	4	
218	3	3	1	4000				2_10	0		0	106	10	【魔宝】[70级]完成焚源之炬支线	1	0	5	
231	114	114	660	0				2_10	0		0	106	10	【境界】累计领取660修行点	1	44	6	
232	50	50	2	0				2_10	0		0	106	10	【境界】锻体晋升至练气	1	48	7	
233	46	46	1	0				2_10	0		0	106	10	【日常】[82级]仙界秘境1次	1	44	8	
234	39	39	3	3|3				2_10	0		0	106	10	【装备】穿戴三阶紫装3件	1	0	9	
246	33	33	1	305|0				2_10	0		0	106	10	【仙宝】激活四宝仙盏	1	147	10	
249	5	5	10	0				2_10	0		0	106	10	【日常】师门悬赏10环	1	0	11	
250	7	7	3	0				2_10	0		0	106	10	【日常】通关麒麟之府3次	1	44	12	
251	42	42	1	202				2_10	0		0	106	10	【符印塔】[100级]通关攻击塔二层	1	99	13	
252	54	54	1	1|1|1				2_10	0		0	106	10	【日常】[105级]通关宗门试炼一层	1	44	14	
261	10	10	1	201|10		220		2_20	0		0	106	20	【坐骑】皓月狼驯养至10级	1	32	15	
262	39	39	1	4|5		220		2_20	0		0	106	20	【装备】四阶红装1件	1	0	16	
264	6	6	7	0		220		2_10	0		0	106	10	【仙盟】仙盟任务70环	1	126	17	
265	91	91	5	50005|55005|60005		220		2_10	0		0	106	10	【定海神针】@SkillName@提升至5级	1	1001	18	
266	91	91	10	50005|55005|60005		220		2_10	0		0	106	10	【定海神针】@SkillName@提升至10级	1	1001	19	
267	91	92	5	50105|55105|60105		220		2_10	0		0	106	10	【皓月枪】@SkillName@提升至5级	1	1002	20	
268	91	92	10	50105|55105|60105		220		2_10	0		0	106	10	【皓月枪】@SkillName@提升至10级	1	1002	21	
269	48	48	60	0		220		2_10	0		0	106	10	【封魔坛】击败Boss60次	1	104	22	
270	48	48	70	0		220		2_10	0		0	106	10	【封魔坛】击败Boss70次	1	104	23	
271	48	48	80	0		220		2_10	0		0	106	10	【封魔坛】击败Boss80次	1	104	24	
272	7	7	14	0		220		2_10	0		0	106	10	【日常】麒麟之府14次	1	44	25	
273	7	7	16	0		220		2_10	0		0	106	10	【日常】麒麟之府16次	1	44	26	
274	46	46	18	0		220		2_10	0		0	106	10	【日常】仙界秘境18次	1	44	27	
275	46	46	21	0		220		2_10	0		0	106	10	【日常】仙界秘境21次	1	44	28	
301	36	36	1	60203006	60203006			2_10	0		0	107	10	【封魔坛】[110级]击败：魔坛龙王	1	104	1	
302	7	7	4	0				2_10	0		0	107	10	【日常】通关麒麟之府4次	1	44	2	
316	50	50	3	0				2_10	0		0	107	10	【境界】练气晋升至凝神	1	48	3	
317	46	46	3	0				2_10	0		0	107	10	【日常】仙界秘境3次	1	44	4	
318	42	42	1	204				2_10	0		0	107	10	【符印塔】通关攻击塔四层	1	99	5	
319	33	33	1	306|0				2_10	0		0	107	10	【仙宝】激活昆仑镜	1	149	6	
320	4	4	3	0				2_10	0		0	107	10	【日常】通关宗门试炼3次	1	44	7	
321	4	4	5	0				2_10	0		0	107	10	【日常】通关宗门试炼5次	1	44	8	
322	7	7	5	0				2_10	0		0	107	10	【日常】通关麒麟之府5次	1	44	9	
331	50	50	4	0				2_10	0		0	107	10	【境界】凝神晋升至筑基	1	48	10	
332	2	2	20	0				2_10	0		0	107	10	【背包】分解20件装备	1	146	11	
333	115	115	1	0				2_10	0		0	107	10	【仙宝】[120级]解锁八卦炉	1	139	12	
334	94	94	1	4706				2_10	0		0	107	10	【丹药】使用一品攻击丹1枚	1	138	13	
335	36	36	1	60203007	60203007			2_10	0		0	107	10	【封魔坛】[130级]击败：魔坛秘影	1	104	14	
336	26	26	140	0				2_10	0		0	107	10	【强化】装备强化140级	1	12	15	
337	6	6	1	0				2_10	0		0	107	10	【仙盟】[135级]仙盟任务10环	1	126	16	
338	94	94	3	4706				2_10	0		0	107	10	【丹药】使用一品攻击丹3枚	1	138	17	
339	94	201	1	4707				2_10	0		0	107	10	【丹药】使用二品攻击丹1枚	1	138	18	
346	49	49	1	3				2_10	0		0	107	10	【日常】[140级]通关麒麟之府三层	1	44	19	
347	54	54	1	1|1|2				2_10	0		0	107	10	【日常】[150级]通关宗门试炼二层	1	44	20	
348	42	42	1	208				2_10	0		0	107	10	【符印塔】通关攻击塔八层	1	99	21	
349	46	46	6	0				2_10	0		0	107	10	【日常】仙界秘境6次	1	44	22	
350	42	42	1	304				2_10	0		0	107	10	【符印塔】通关聚灵塔四层	1	99	23	
351	36	36	1	60203008	60203008			2_10	0		0	107	10	【封魔坛】[155级]击败：魔坛帝皇	1	104	24	
352	94	94	5	4706				2_10	0		0	107	10	【丹药】使用一品攻击丹5枚	1	138	25	
353	94	201	3	4707				2_10	0		0	107	10	【丹药】使用二品攻击丹3枚	1	138	26	
361	28	28	15	0		240		2_20	0		0	107	20	【打宝】击败世界BOSS15次	1	82	27	
362	39	39	3	4|5		240		2_20	0		0	107	20	【装备】四阶红装3件	1	0	28	
364	28	28	18	0		240		2_20	0		0	107	20	【打宝】击败世界BOSS18次	1	82	29	
365	91	91	15	50005|55005|60005		240		2_10	0		0	107	10	【定海神针】@SkillName@提升至15级	1	1001	30	
366	91	92	15	50105|55105|60105		240		2_10	0		0	107	10	【皓月枪】@SkillName@提升至15级	1	1002	31	
367	48	48	90	0		240		2_10	0		0	107	10	【封魔坛】击败Boss90次	1	104	32	
368	48	48	100	0		240		2_10	0		0	107	10	【封魔坛】击败Boss100次	1	104	33	
369	48	48	110	0		240		2_10	0		0	107	10	【封魔坛】击败Boss110次	1	104	34	
370	7	7	20	0		240		2_10	0		0	107	10	【日常】麒麟之府20次	1	44	35	
371	7	7	22	0		240		2_10	0		0	107	10	【日常】麒麟之府22次	1	44	36	
372	46	46	24	0		240		2_10	0		0	107	10	【日常】仙界秘境24次	1	44	37	
373	46	46	27	0		240		2_10	0		0	107	10	【日常】仙界秘境27次	1	44	38	
401	62	62	1	6				2_10	0		0	108	10	【仙界秘境】单次经验达到6亿	1	44	1	
402	48	48	20	0				2_10	0		0	108	10	【封魔坛】累计通关封魔坛20次	1	104	2	
403	2	2	80	0				2_10	0		0	108	10	【背包】分解80件装备	1	146	3	
404	42	42	1	308				2_10	0		0	108	10	【符印塔】通关聚灵塔八层	1	99	4	
416	26	26	160	0				2_10	0		0	108	10	【强化】装备强化160级	1	12	5	
417	5	5	40	0				2_10	0		0	108	10	【日常】师门悬赏40环	1	0	6	
418	4	4	9	0				2_10	0		0	108	10	【日常】通关宗门试炼9次	1	44	7	
419	7	7	7	0				2_10	0		0	108	10	【日常】通关麒麟之府7次	1	44	8	
420	46	46	9	0				2_10	0		0	108	10	【日常】仙界秘境9次	1	44	9	
421	36	36	1	60203009	60203009			2_10	0		0	108	10	【封魔坛】[180级]击败：魔坛暗影	1	104	10	
422	42	42	1	404				2_10	0		0	108	10	【符印塔】通关狂怒塔四层	1	99	11	
423	94	94	1	4708				2_10	0		0	108	10	【丹药】使用三品攻击丹1枚	1	138	12	
431	50	50	5	0				2_10	0		0	108	10	【境界】筑基晋升至辟谷	1	48	13	
432	69	69	1	3711|3721	1|0			2_10	0		0	108	10	【合成】一代翅膀	1	17	14	
433	111	111	1	0				2_10	0		0	108	10	【强化】[180级]翅膀精炼1次	1	14	15	
434	42	42	1	408				2_10	0		0	108	10	【符印塔】通关狂怒塔八层	1	99	16	
435	26	26	200	0				2_10	0		0	108	10	【强化】装备强化200级	1	12	17	
436	94	201	5	4707				2_10	0		0	108	10	【丹药】使用二品攻击丹5枚	1	138	18	
446	33	33	1	307|0				2_10	0		0	108	10	【仙宝】激活天机仪	1	151	19	
447	46	46	12	0				2_10	0		0	108	10	【日常】仙界秘境12次	1	44	20	
448	5	5	60	0				2_10	0		0	108	10	【日常】师门悬赏60环	1	0	21	
449	49	49	1	4				2_10	0		0	108	10	【日常】[200级]通关麒麟之府四层	1	44	22	
450	54	54	1	1|1|3				2_10	0		0	108	10	【日常】[200级]通关宗门试炼三层	1	44	23	
451	36	36	1	60203010	60203010			2_10	0		0	108	10	【封魔坛】[205级]击败：魔坛麒麟	1	104	24	
452	94	94	3	4708				2_10	0		0	108	10	【丹药】使用三品攻击丹3枚	1	138	25	
461	111	111	5	0		260		2_20	0		0	108	20	【强化】翅膀精炼5次	1	14	26	
462	39	39	5	4|5		260		2_20	0		0	108	20	【装备】四阶红装5件	1	0	27	
463	126	126	24	3		260		2_20	0		0	108	20	【八卦炉】炼制紫色以上丹药24枚	1	92	28	
464	91	91	10	50035|55035|60035		260		2_10	0		0	108	10	【定海神针】@SkillName@提升至10级	1	1001	29	
465	91	92	10	50135|55135|60135		260		2_10	0		0	108	10	【皓月枪】@SkillName@提升至10级	1	1002	30	
466	48	48	130	0		260		2_10	0		0	108	10	【封魔坛】击败Boss130次	1	104	31	
467	48	48	140	0		260		2_10	0		0	108	10	【封魔坛】击败Boss140次	1	104	32	
468	48	48	150	0		260		2_10	0		0	108	10	【封魔坛】击败Boss150次	1	104	33	
469	48	48	160	0		260		2_10	0		0	108	10	【封魔坛】击败Boss160次	1	104	34	
470	7	7	24	0		260		2_10	0		0	108	10	【日常】麒麟之府24次	1	44	35	
471	7	7	26	0		260		2_10	0		0	108	10	【日常】麒麟之府26次	1	44	36	
472	7	7	28	0		260		2_10	0		0	108	10	【日常】麒麟之府28次	1	44	37	
473	7	7	30	0		260		2_10	0		0	108	10	【日常】麒麟之府30次	1	44	38	
474	46	46	30	0		260		2_10	0		0	108	10	【日常】仙界秘境30次	1	44	39	
475	46	46	33	0		260		2_10	0		0	108	10	【日常】仙界秘境33次	1	44	40	
476	46	46	36	0		260		2_10	0		0	108	10	【日常】仙界秘境36次	1	44	41	
501	116	116	20	5012|5022				2_10	0		0	109	10	【掉落】套装石20个	1	0	1	
502	69	69	1	4007	3|0			2_10	0		0	109	10	【合成】[200级]古神印记	1	18	2	
503	42	42	1	504				2_10	0		0	109	10	【符印塔】通关水御塔四层	1	99	3	
516	50	50	6	0				2_10	0		0	109	10	【境界】辟谷晋升至开光	1	48	4	
517	92	92	5	1|1|1				2_10	0		0	109	10	【套装】一阶普通防具套装	1	15	5	
518	42	42	1	508				2_10	0		0	109	10	【符印塔】通关水御塔八层	1	99	6	
519	62	62	1	20				2_10	0		0	109	10	【仙界秘境】单次经验达到20亿	1	44	7	
520	63	63	1	1				2_10	0		0	109	10	【娲皇遗迹】S级通关一层	1	44	8	
521	94	94	1	4709				2_10	0		0	109	10	【丹药】使用四品攻击丹1枚	1	138	9	
531	36	36	1	60203011	60203011			2_10	0		0	109	10	【封魔坛】[230级]击败：魔坛石人	1	104	10	
532	92	92	5	2|1|1				2_10	0		0	109	10	【套装】二阶普通防具套装	1	15	11	
533	62	62	1	30				2_10	0		0	109	10	【仙界秘境】单次经验达到30亿	1	44	12	
534	42	42	1	604				2_10	0		0	109	10	【符印塔】通关护身塔四层	1	99	13	
535	49	49	1	5				2_10	0		0	109	10	【日常】[250级]通关麒麟之府五层	1	44	14	
536	63	63	1	2				2_10	0		0	109	10	【娲皇遗迹】S级通关二层	1	44	15	
537	94	203	5	4708				2_10	0		0	109	10	【丹药】使用三品攻击丹5枚	1	138	16	
546	50	50	7	0				2_10	0		0	109	10	【境界】开光晋升至融合	1	48	17	
547	92	92	5	3|1|1				2_10	0		0	109	10	【套装】三阶普通防具套装	1	15	18	
548	62	62	1	40				2_10	0		0	109	10	【仙界秘境】单次经验达到40亿	1	44	19	
549	26	26	240	0				2_10	0		0	109	10	【强化】装备强化240级	1	12	20	
550	92	201	2	1|2|1				2_10	0		0	109	10	【套装】一阶强化防具套装2件套	1	15	21	
551	63	63	1	3				2_10	0		0	109	10	【娲皇遗迹】S级通关三层	1	44	22	
552	94	94	3	4709				2_10	0		0	109	10	【丹药】使用四品攻击丹3枚	1	138	23	
561	92	201	5	2|2|1		280		2_20	0		0	109	20	【套装】二阶强化防具套装	1	15	24	
562	92	92	5	6|1|1		280		2_20	0		0	109	20	【套装】六阶普通防具套装	1	15	25	
563	82	82	1	5|3|1		280		2_20	0		0	109	20	【装备】红色3星防具1件	1	0	26	
564	126	126	30	3		280		2_20	0		0	109	20	【八卦炉】炼制紫色以上丹药30枚	1	92	27	
565	26	26	400	0		280		2_10	0		0	109	10	【强化】装备强化400级	1	12	28	
566	91	91	10	50065|55065|60065		280		2_10	0		0	109	10	【定海神针】@SkillName@提升至10级	1	1001	29	
567	91	202	10	50165|55165|60165		280		2_10	0		0	109	10	【皓月枪】@SkillName@提升至10级	1	1002	30	
568	48	48	190	0		280		2_10	0		0	109	10	【封魔坛】击败Boss190次	1	104	31	
569	48	48	200	0		280		2_10	0		0	109	10	【封魔坛】击败Boss200次	1	104	32	
570	48	48	210	0		280		2_10	0		0	109	10	【封魔坛】击败Boss210次	1	104	33	
571	48	48	220	0		280		2_10	0		0	109	10	【封魔坛】击败Boss220次	1	104	34	
572	48	48	230	0		280		2_10	0		0	109	10	【封魔坛】击败Boss230次	1	104	35	
573	7	7	34	0		280		2_10	0		0	109	10	【日常】麒麟之府34次	1	44	36	
574	7	7	36	0		280		2_10	0		0	109	10	【日常】麒麟之府36次	1	44	37	
575	7	7	38	0		280		2_10	0		0	109	10	【日常】麒麟之府38次	1	44	38	
576	7	7	40	0		280		2_10	0		0	109	10	【日常】麒麟之府40次	1	44	39	
577	7	7	42	0		280		2_10	0		0	109	10	【日常】麒麟之府42次	1	44	40	
578	46	46	45	0		280		2_10	0		0	109	10	【日常】仙界秘境45次	1	44	41	
579	46	46	48	0		280		2_10	0		0	109	10	【日常】仙界秘境48次	1	44	42	
580	46	46	51	0		280		2_10	0		0	109	10	【日常】仙界秘境51次	1	44	43	
581	46	46	54	0		280		2_10	0		0	109	10	【日常】仙界秘境54次	1	44	44	
601	69	69	1	4004	2|0			2_10	0		0	110	10	【合成】矿脉炸药	1	18	1	
602	125	125	2	0				2_10	0		0	110	10	【日常】通关冰晶矿脉2次	1	44	2	
616	50	50	8	0				2_10	0		0	110	10	【境界】融合晋升至金丹	1	48	3	
617	70	70	1	2				2_10	0		0	110	10	【洗练】武器2件套洗练至2级	1	16	4	
618	71	71	1	2				2_10	0		0	110	10	【洗练】防具5件套洗练至2级	1	16	5	
619	125	125	4	0				2_10	0		0	110	10	【日常】通关冰晶矿脉4次	1	44	6	
620	125	125	6	0				2_10	0		0	110	10	【日常】通关冰晶矿脉6次	1	44	7	
621	36	36	1	60203012	60203012			2_10	0		0	110	10	【封魔坛】[255级]击败：魔坛水怪	1	104	8	
622	62	62	1	56				2_10	0		0	110	10	【仙界秘境】单次经验达到56亿	1	44	9	
623	26	26	280	0				2_10	0		0	110	10	【强化】装备强化280级	1	12	10	
624	42	42	1	608				2_10	0		0	110	10	【符印塔】通关护身塔八层	1	99	11	
625	63	63	1	4				2_10	0		0	110	10	【娲皇遗迹】S级通关四层	1	44	12	
626	94	94	6	4709				2_10	0		0	110	10	【丹药】使用四品攻击丹6枚	1	138	13	
631	50	50	9	0				2_10	0		0	110	10	【境界】金丹晋升至旋照	1	48	14	
632	70	70	1	4				2_10	0		0	110	10	【洗练】武器2件套洗练至4级	1	16	15	
633	71	71	1	4				2_10	0		0	110	10	【洗练】防具5件套洗练至4级	1	16	16	
634	26	26	320	0				2_10	0		0	110	10	【强化】装备强化320级	1	12	17	
635	125	125	8	0				2_10	0		0	110	10	【日常】通关冰晶矿脉8次	1	44	18	
636	125	125	10	0				2_10	0		0	110	10	【日常】通关冰晶矿脉10次	1	44	19	
637	36	36	1	60203013	60203013			2_10	0		0	110	10	【封魔坛】[280级]击败：魔坛古妖	1	104	20	
638	62	62	1	86				2_10	0		0	110	10	【仙界秘境】单次经验达到86亿	1	44	21	
639	42	42	1	704				2_10	0		0	110	10	【符印】通关克敌塔四层	1	99	22	
641	92	92	5	4|1|1				2_10	0		0	110	10	【套装】四阶普通防具套装	1	15	23	
642	124	124	1	1|5|2				2_10	0		0	110	10	【合成】红色2星装备1件	1	20	24	
643	63	63	1	5				2_10	0		0	110	10	【娲皇遗迹】S级通关五层	1	44	25	
644	94	201	1	4710				2_10	0		0	110	10	【丹药】使用五品攻击丹1枚	1	138	26	
646	50	50	10	0				2_10	0		0	110	10	【境界】旋照晋升至心动	1	48	27	
647	70	70	1	6				2_10	0		0	110	10	【洗练】武器2件套洗练至6级	1	16	28	
648	26	26	360	0				2_10	0		0	110	10	【强化】装备强化360级	1	12	29	
649	42	42	1	708				2_10	0		0	110	10	【符印】通关克敌塔八层	1	99	30	
650	49	49	1	6				2_10	0		0	110	10	【日常】[300级]通关麒麟之府六层	1	44	31	
651	62	62	1	98				2_10	0		0	110	10	【仙界秘境】单次经验达到98亿	1	44	32	
652	92	92	5	5|1|1				2_10	0		0	110	10	【套装】五阶普通防具套装	1	15	33	
653	124	124	1	1|5|3				2_10	0		0	110	10	【合成】红色3星装备1件	1	20	34	
654	50	50	11	0				2_10	0		0	110	10	【境界】心动晋升至灵寂	1	48	35	
655	63	63	1	6				2_10	0		0	110	10	【娲皇遗迹】S级通关六层	1	44	36	
656	94	94	8	4709				2_10	0		0	110	10	【丹药】使用四品攻击丹8枚	1	138	37	
661	71	71	1	6		300		2_20	0		0	110	20	【洗练】防具5件套洗练至6级	1	16	38	
662	82	82	3	5|3|1		300		2_20	0		0	110	20	【装备】红色3星防具3件	1	0	39	
663	83	83	1	5|3|1		300		2_20	0		0	110	20	【装备】红色3星武器1件	1	0	40	
664	126	126	40	3		300		2_20	0		0	110	20	【八卦炉】炼制紫色以上丹药40枚	1	92	41	
665	91	91	15	50065|55065|60065		300		2_10	0		0	110	10	【定海神针】@SkillName@提升至15级	1	1001	42	
666	91	202	15	50165|55165|60165		300		2_10	0		0	110	10	【皓月枪】@SkillName@提升至15级	1	1002	43	
667	48	48	310	0		300		2_10	0		0	110	10	【封魔坛】击败Boss310次	1	104	44	
668	48	48	320	0		300		2_10	0		0	110	10	【封魔坛】击败Boss320次	1	104	45	
669	48	48	330	0		300		2_10	0		0	110	10	【封魔坛】击败Boss330次	1	104	46	
670	48	48	340	0		300		2_10	0		0	110	10	【封魔坛】击败Boss340次	1	104	47	
671	48	48	350	0		300		2_10	0		0	110	10	【封魔坛】击败Boss350次	1	104	48	
672	7	7	54	0		300		2_10	0		0	110	10	【日常】麒麟之府54次	1	44	49	
673	7	7	56	0		300		2_10	0		0	110	10	【日常】麒麟之府56次	1	44	50	
674	7	7	58	0		300		2_10	0		0	110	10	【日常】麒麟之府58次	1	44	51	
675	7	7	60	0		300		2_10	0		0	110	10	【日常】麒麟之府60次	1	44	52	
676	7	7	62	0		300		2_10	0		0	110	10	【日常】麒麟之府62次	1	44	53	
677	46	46	75	0		300		2_10	0		0	110	10	【日常】仙界秘境75次	1	44	54	
678	46	46	78	0		300		2_10	0		0	110	10	【日常】仙界秘境78次	1	44	55	
679	46	46	81	0		300		2_10	0		0	110	10	【日常】仙界秘境81次	1	44	56	
680	46	46	84	0		300		2_10	0		0	110	10	【日常】仙界秘境84次	1	44	57	
682	125	125	34	0		300		2_10	0		0	110	10	【日常】通关冰晶矿脉34次	1	44	58	
683	125	125	36	0		300		2_10	0		0	110	10	【日常】通关冰晶矿脉36次	1	44	59	
684	125	125	38	0		300		2_10	0		0	110	10	【日常】通关冰晶矿脉38次	1	44	60	
685	125	125	40	0		300		2_10	0		0	110	10	【日常】通关冰晶矿脉40次	1	44	61	
686	125	125	42	0		300		2_10	0		0	110	10	【日常】通关冰晶矿脉42次	1	44	62	
701	1	1	70	0			0	0	0		0			角色等级达到@NeedCnt@级	1	0	1	
702	1	1	100	0			0	0	0		0			角色等级达到@NeedCnt@级	1	0	1	
703	1	1	125	0			0	0	0		0			等级达到@NeedCnt@	1	0	6	
704	1	1	160	0			0	0	0		0			等级达到@NeedCnt@	1	0	8	
705	1	1	180	0			0	0	0		0			等级达到@NeedCnt@	1	0	9	
706	1	1	200	0			0	0	0		0			等级达到@NeedCnt@	1	0	10	
707	1	1	220	0			0	0	0		0			等级达到@NeedCnt@	1	0	11	
708	1	1	240	0			0	0	0		0			等级达到@NeedCnt@	1	0	12	
709	1	1	260	0			0	0	0		0			等级达到@NeedCnt@	1	0	13	
710	1	1	280	0			0	0	0		0			等级达到@NeedCnt@	1	0	14	
711	1	1	300	0			0	0	0		0			等级达到@NeedCnt@	1	0	15	
712	1	1	320	0			0	0	0		0			等级达到@NeedCnt@	1	0	16	
713	1	1	340	0			0	0	0		0			等级达到@NeedCnt@	1	0	17	
714	1	1	360	0			0	0	0		0			等级达到@NeedCnt@	1	0	18	
715	1	1	380	0			0	0	0		0			等级达到@NeedCnt@	1	0	19	
751	3	3	1	20510	10504003|145		0	0	0		0			【八卦炉】炼丹之道	1	0	1	
752	3	3	1	20511			0	0	1		0			【八卦炉】金试炼	1	0	1	
753	3	3	1	20512			0	0	1		0			【八卦炉】木试炼	1	0	1	
754	3	3	1	20513			0	0	1		0			【八卦炉】水试炼	1	0	1	
755	3	3	1	20514			0	0	1		0			【八卦炉】火试炼	1	0	1	
756	3	3	1	20515			0	0	1		0			【八卦炉】土试炼	1	0	1	
761	112	1	1	2122			0	0	0		0			【仙族法宝】龙凤镯	1	0	1	
762	112	1	1	2123			0	0	0		0			【仙族法宝】轩辕剑	1	0	1	
763	112	1	1	2124			0	0	0		0			【仙族法宝】驱灵卷	1	0	1	
771	36	0	10	10101001			0	0	0		6			【除魔】前往神诀宗击败：机关幻兽10只	1	0	0	
772	5	0	10	0			0	0	0		7			【日常】完成师门悬赏任务10次	1	0	0	
773	48	0	8	0			0	0	0		8			【封魔】击败封魔坛boss8次	1	104	0	
774	81	0	20	31080			0	0	0		9			【日常】仙界秘境鼓舞20次	1	44	0	
775	10	0	1	100|10			0	0	0		10			【坐骑】追风驯养10级	1	32	0	
776	58	0	1	50106001|10			0	0	0		11			【灵宠】灵宠道士鼠进化至10阶	1	33	0	
777	19	0	10	0			0	0	0		12			【社交】添加10名仙友	1	132	0	
778	78	0	3	0			0	0	0		13			【社交】仙盟护法3次	1	0	0	
779	27	0	7	15			0	0	0		14			【强化】7件装备强化至15级	1	145	0	
780	28	0	3	0			0	0	0		15			【打宝】击败世界BOSS3次	1	82	0	
781	54	0	1	4|1|1			0	0	0		16			【日常】4人通关宗门试炼一层	1	44	0	
782	42	0	1	208			0	0	0		17			【符印】通关攻击塔八层	1	99	0	
783	1	0	140	0			0	0	0		18			【角色】等级达到140级	1	0	0	
784	6	0	1	0			0	0	0		19			【仙盟】仙盟任务10次	1	44	0	
785	50	0	6	0			0	0	0		20			【境界】辟谷晋升至开光	1	48	0	
786	12	0	5	0			0	0	0		21			【打宝】击败BOSS之家BOSS5只	1	83	0	
787	120	0	60	0			0	0	0		22			【宝石】宝石总等级达到60级	1	13	0	
