string	string	int	int	int	int	int	string	string	string	string	string	int	string
101050	ms_name_101050	0	10104007	8	1	0	{"1": "info_101050_0_1_msg", "0": "info_101050_0_0_msg"}	{"1": {"-": "info_101050_0_1_reward_0"}, "0": {"-": "info_101050_0_0_reward_0"}}	{"1": {"10104007": "2"}, "0": {"10104007": "-1"}}	{"1": {"0": "m_info_101050_0_1_0_msg"}, "0": {"0": "m_info_101050_0_0_0_msg"}}	-	0	-
101060	ms_name_101060	0	10104008	9	1	0	{"1": "info_101060_0_1_msg", "0": "info_101060_0_0_msg"}	{"1": {"-": "info_101060_0_1_reward_0"}, "0": {"-": "info_101060_0_0_reward_0"}}	{"1": {"10104008": "2"}, "0": {"10104008": "-1"}}	{"1": {"0": "m_info_101060_0_1_0_msg"}, "0": {"0": "m_info_101060_0_0_0_msg"}}	-	0	-
101070	ms_name_101070	0	10104009	10	1	0	{"0": "info_101070_0_0_msg"}	{"0": {"-": "info_101070_0_0_reward_0"}}	{"0": {"10104009": "-1"}}	{"0": {"0": "m_info_101070_0_0_0_msg"}}	-	0	-
101080	ms_name_101080	0	10104009	10	1	0	{"1": "info_101080_0_1_msg", "0": "info_101080_0_0_msg", "2": "info_101080_0_2_msg"}	{"1": {"-": "info_101080_0_1_reward_0"}, "0": {"-": "info_101080_0_0_reward_0"}, "2": {"-": "info_101080_0_2_reward_0"}}	{"1": {"10104009": "1"}, "0": {"10104009": "-1"}, "2": {"10104009": "2"}}	{"1": {"0": "m_info_101080_0_1_0_msg"}, "0": {"0": "m_info_101080_0_0_0_msg"}, "2": {"0": "m_info_101080_0_2_0_msg"}}	-	0	-
101090	ms_name_101090	0	10104010	11	1	0	{"1": "info_101090_0_1_msg", "0": "info_101090_0_0_msg", "2": "info_101090_0_2_msg"}	{"1": {"-": "info_101090_0_1_reward_0"}, "0": {"-": "info_101090_0_0_reward_0"}, "2": {"-": "info_101090_0_2_reward_0"}}	{"1": {"10104010": "1"}, "0": {"10104010": "-1"}, "2": {"10104010": "2"}}	{"1": {"0": "m_info_101090_0_1_0_msg"}, "0": {"0": "m_info_101090_0_0_0_msg"}, "2": {"0": "m_info_101090_0_2_0_msg"}}	-	0	-
101100	ms_name_101100	0	10104011	12	1	0	{"1": "info_101100_0_1_msg", "0": "info_101100_0_0_msg"}	{"1": {"-": "info_101100_0_1_reward_0"}, "0": {"-": "info_101100_0_0_reward_0"}}	{"1": {"10104010": "2"}, "0": {"10104010": "-1"}}	{"1": {"0": "m_info_101100_0_1_0_msg"}, "0": {"0": "m_info_101100_0_0_0_msg"}}	-	0	-
101110	ms_name_101110	0	10104012	13	1	0	{"1": "info_101110_0_1_msg", "0": "info_101110_0_0_msg", "2": "info_101110_0_2_msg"}	{"1": {"-": "info_101110_0_1_reward_0"}, "0": {"-": "info_101110_0_0_reward_0"}, "2": {"-": "info_101110_0_2_reward_0"}}	{"1": {"10104011": "1"}, "0": {"10104011": "-1"}, "2": {"10104011": "2"}}	{"1": {"0": "m_info_101110_0_1_0_msg"}, "0": {"0": "m_info_101110_0_0_0_msg"}, "2": {"0": "m_info_101110_0_2_0_msg"}}	-	0	-
101120	ms_name_101120	0	10104013	14	1	0	{"1": "info_101120_0_1_msg", "0": "info_101120_0_0_msg", "2": "info_101120_0_2_msg"}	{"1": {"-": "info_101120_0_1_reward_0"}, "0": {"-": "info_101120_0_0_reward_0"}, "2": {"-": "info_101120_0_2_reward_0"}}	{"1": {"10104012": "-1"}, "0": {"10104012": "-1"}, "2": {"10104012": "2"}}	{"1": {"0": "m_info_101120_0_1_0_msg"}, "0": {"0": "m_info_101120_0_0_0_msg"}, "2": {"0": "m_info_101120_0_2_0_msg"}}	-	0	-
101130	ms_name_101130	0	10104014	15	1	0	{"1": "info_101130_0_1_msg", "0": "info_101130_0_0_msg", "2": "info_101130_0_2_msg"}	{"1": {"-": "info_101130_0_1_reward_0"}, "0": {"-": "info_101130_0_0_reward_0"}, "2": {"-": "info_101130_0_2_reward_0"}}	{"1": {"10104013": "1"}, "0": {"10104013": "-1"}, "2": {"10104013": "2"}}	{"1": {"0": "m_info_101130_0_1_0_msg"}, "0": {"0": "m_info_101130_0_0_0_msg"}, "2": {"0": "m_info_101130_0_2_0_msg"}}	-	0	-
102010	ms_name_102010	0	10104014	18	1	0	{"1": "info_102010_0_1_msg", "0": "info_102010_0_0_msg", "2": "info_102010_0_2_msg"}	{"1": {"-": "info_102010_0_1_reward_0"}, "0": {"-": "info_102010_0_0_reward_0"}, "2": {"-": "info_102010_0_2_reward_0"}}	{"1": {"10204001": "2"}, "0": {"10204001": "-1"}, "2": {"10204001": "2"}}	{"1": {"0": "m_info_102010_0_1_0_msg"}, "0": {"0": "m_info_102010_0_0_0_msg"}, "2": {"0": "m_info_102010_0_2_0_msg"}}	-	0	-
102020	ms_name_102020	0	10104014	19	1	0	{"1": "info_102020_0_1_msg", "0": "info_102020_0_0_msg"}	{"1": {"-": "info_102020_0_1_reward_0"}, "0": {"-": "info_102020_0_0_reward_0"}}	{"1": {"10204002": "2"}, "0": {"10204002": "-1"}}	{"1": {"0": "m_info_102020_0_1_0_msg"}, "0": {"0": "m_info_102020_0_0_0_msg"}}	-	0	-
102030	ms_name_102030	0	10104014	20	1	0	{"1": "info_102030_0_1_msg", "0": "info_102030_0_0_msg", "2": "info_102030_0_2_msg"}	{"1": {"-": "info_102030_0_1_reward_0"}, "0": {"-": "info_102030_0_0_reward_0"}, "2": {"-": "info_102030_0_2_reward_0"}}	{"1": {"10204003": "1"}, "0": {"10204003": "-1"}, "2": {"10204003": "2"}}	{"1": {"0": "m_info_102030_0_1_0_msg"}, "0": {"0": "m_info_102030_0_0_0_msg"}, "2": {"0": "m_info_102030_0_2_0_msg"}}	-	0	-
102040	ms_name_102040	0	10204001	22	1	0	{"1": "info_102040_0_1_msg", "0": "info_102040_0_0_msg"}	{"1": {"-": "info_102040_0_1_reward_0"}, "0": {"-": "info_102040_0_0_reward_0"}}	{"1": {"10204004": "2"}, "0": {"10204004": "-1"}}	{"1": {"0": "m_info_102040_0_1_0_msg"}, "0": {"0": "m_info_102040_0_0_0_msg"}}	-	0	-
102050	ms_name_102050	0	10204002	23	1	0	{"1": "info_102050_0_1_msg", "0": "info_102050_0_0_msg", "2": "info_102050_0_2_msg"}	{"1": {"-": "info_102050_0_1_reward_0"}, "0": {"-": "info_102050_0_0_reward_0"}, "2": {"-": "info_102050_0_2_reward_0"}}	{"1": {"10204005": "1"}, "0": {"10204005": "-1"}, "2": {"10204005": "2"}}	{"1": {"0": "m_info_102050_0_1_0_msg"}, "0": {"0": "m_info_102050_0_0_0_msg"}, "2": {"0": "m_info_102050_0_2_0_msg"}}	-	0	-
102060	ms_name_102060	0	10204003	25	1	0	{"1": "info_102060_0_1_msg", "0": "info_102060_0_0_msg"}	{"1": {"-": "info_102060_0_1_reward_0"}, "0": {"-": "info_102060_0_0_reward_0"}}	{"1": {"10204006": "2"}, "0": {"10204006": "-1"}}	{"1": {"0": "m_info_102060_0_1_0_msg"}, "0": {"0": "m_info_102060_0_0_0_msg"}}	-	0	-
102070	ms_name_102070	0	10204004	26	1	0	{"1": "info_102070_0_1_msg", "0": "info_102070_0_0_msg", "2": "info_102070_0_2_msg"}	{"1": {"-": "info_102070_0_1_reward_0"}, "0": {"-": "info_102070_0_0_reward_0"}, "2": {"-": "info_102070_0_2_reward_0"}}	{"1": {"10204007": "1"}, "0": {"10204007": "-1"}, "2": {"10204007": "2"}}	{"1": {"0": "m_info_102070_0_1_0_msg"}, "0": {"0": "m_info_102070_0_0_0_msg"}, "2": {"0": "m_info_102070_0_2_0_msg"}}	-	0	-
102080	ms_name_102080	0	10204005	27	1	0	{"1": "info_102080_0_1_msg", "0": "info_102080_0_0_msg"}	{"1": {"-": "info_102080_0_1_reward_0"}, "0": {"-": "info_102080_0_0_reward_0"}}	{"1": {"10204008": "2"}, "0": {"10204008": "-1"}}	{"1": {"0": "m_info_102080_0_1_0_msg"}, "0": {"0": "m_info_102080_0_0_0_msg"}}	-	0	-
102090	ms_name_102090	0	10204006	28	1	0	{"1": "info_102090_0_1_msg", "0": "info_102090_0_0_msg", "2": "info_102090_0_2_msg"}	{"1": {"-": "info_102090_0_1_reward_0"}, "0": {"-": "info_102090_0_0_reward_0"}, "2": {"-": "info_102090_0_2_reward_0"}}	{"1": {"10204009": "1"}, "0": {"10204009": "-1"}, "2": {"10204009": "2"}}	{"1": {"0": "m_info_102090_0_1_0_msg"}, "0": {"0": "m_info_102090_0_0_0_msg"}, "2": {"0": "m_info_102090_0_2_0_msg"}}	-	0	-
102100	ms_name_102100	0	10204007	31	1	0	{"1": "info_102100_0_1_msg", "0": "info_102100_0_0_msg"}	{"1": {"-": "info_102100_0_1_reward_0"}, "0": {"-": "info_102100_0_0_reward_0"}}	{"1": {"10204010": "2"}, "0": {"10204010": "-1"}}	{"1": {"0": "m_info_102100_0_1_0_msg"}, "0": {"0": "m_info_102100_0_0_0_msg"}}	-	0	-
102110	ms_name_102110	0	10204008	32	1	0	{"1": "info_102110_0_1_msg", "0": "info_102110_0_0_msg"}	{"1": {"-": "info_102110_0_1_reward_0"}, "0": {"-": "info_102110_0_0_reward_0"}}	{"1": {"10204011": "2"}, "0": {"10204011": "-1"}}	{"1": {"0": "m_info_102110_0_1_0_msg"}, "0": {"0": "m_info_102110_0_0_0_msg"}}	-	0	-
102120	ms_name_102120	0	10204009	33	1	0	{"1": "info_102120_0_1_msg", "0": "info_102120_0_0_msg"}	{"1": {"-": "info_102120_0_1_reward_0"}, "0": {"-": "info_102120_0_0_reward_0"}}	{"1": {"10204012": "2"}, "0": {"10204012": "-1"}}	{"1": {"0": "m_info_102120_0_1_0_msg"}, "0": {"0": "m_info_102120_0_0_0_msg"}}	-	0	-
102130	ms_name_102130	0	10204010	34	1	0	{"1": "info_102130_0_1_msg", "0": "info_102130_0_0_msg", "2": "info_102130_0_2_msg"}	{"1": {"-": "info_102130_0_1_reward_0"}, "0": {"-": "info_102130_0_0_reward_0"}, "2": {"-": "info_102130_0_2_reward_0"}}	{"1": {"10204013": "1"}, "0": {"10204013": "-1"}, "2": {"10204013": "2"}}	{"1": {"0": "m_info_102130_0_1_0_msg"}, "0": {"0": "m_info_102130_0_0_0_msg"}, "2": {"0": "m_info_102130_0_2_0_msg"}}	-	0	-
102140	ms_name_102140	0	10204010	35	1	0	{"1": "info_102140_0_1_msg", "0": "info_102140_0_0_msg"}	{"1": {"-": "info_102140_0_1_reward_0"}, "0": {"-": "info_102140_0_0_reward_0"}}	{"1": {"10204014": "2"}, "0": {"10204014": "-1"}}	{"1": {"0": "m_info_102140_0_1_0_msg"}, "0": {"0": "m_info_102140_0_0_0_msg"}}	-	0	-
102150	ms_name_102150	0	10204011	36	1	0	{"1": "info_102150_0_1_msg", "0": "info_102150_0_0_msg", "2": "info_102150_0_2_msg"}	{"1": {"-": "info_102150_0_1_reward_0"}, "0": {"-": "info_102150_0_0_reward_0"}, "2": {"-": "info_102150_0_2_reward_0"}}	{"1": {"10204015": "1"}, "0": {"10204015": "-1"}, "2": {"10204015": "2"}}	{"1": {"0": "m_info_102150_0_1_0_msg"}, "0": {"0": "m_info_102150_0_0_0_msg"}, "2": {"0": "m_info_102150_0_2_0_msg"}}	-	0	-
102160	ms_name_102160	0	10204012	37	1	0	{"1": "info_102160_0_1_msg", "0": "info_102160_0_0_msg"}	{"1": {"-": "info_102160_0_1_reward_0"}, "0": {"-": "info_102160_0_0_reward_0"}}	{"1": {"10204016": "2"}, "0": {"10204016": "-1"}}	{"1": {"0": "m_info_102160_0_1_0_msg"}, "0": {"0": "m_info_102160_0_0_0_msg"}}	-	0	-
102170	ms_name_102170	0	10204013	38	1	0	{"1": "info_102170_0_1_msg", "0": "info_102170_0_0_msg", "2": "info_102170_0_2_msg"}	{"1": {"-": "info_102170_0_1_reward_0"}, "0": {"-": "info_102170_0_0_reward_0"}, "2": {"-": "info_102170_0_2_reward_0"}}	{"1": {"10204017": "1"}, "0": {"10204017": "-1"}, "2": {"10204017": "2"}}	{"1": {"0": "m_info_102170_0_1_0_msg"}, "0": {"0": "m_info_102170_0_0_0_msg"}, "2": {"0": "m_info_102170_0_2_0_msg"}}	-	0	-
103010	ms_name_103010	0	10304001	41	1	0	{"1": "info_103010_0_1_msg", "0": "info_103010_0_0_msg", "2": "info_103010_0_2_msg"}	{"1": {"-": "info_103010_0_1_reward_0"}, "0": {"-": "info_103010_0_0_reward_0"}, "2": {"-": "info_103010_0_2_reward_0"}}	{"1": {"10304001": "2"}, "0": {"10304001": "-1"}, "2": {"10304001": "2"}}	{"1": {"0": "m_info_103010_0_1_0_msg"}, "0": {"0": "m_info_103010_0_0_0_msg"}, "2": {"0": "m_info_103010_0_2_0_msg"}}	-	0	-
103020	ms_name_103020	0	10304002	42	1	0	{"1": "info_103020_0_1_msg", "0": "info_103020_0_0_msg", "2": "info_103020_0_2_msg"}	{"1": {"-": "info_103020_0_1_reward_0"}, "0": {"-": "info_103020_0_0_reward_0"}, "2": {"-": "info_103020_0_2_reward_0"}}	{"1": {"10304002": "1"}, "0": {"10304002": "-1"}, "2": {"10304002": "2"}}	{"1": {"0": "m_info_103020_0_1_0_msg"}, "0": {"0": "m_info_103020_0_0_0_msg"}, "2": {"0": "m_info_103020_0_2_0_msg"}}	-	0	-
103030	ms_name_103030	0	10304003	46	1	0	{"1": "info_103030_0_1_msg", "0": "info_103030_0_0_msg", "2": "info_103030_0_2_msg"}	{"1": {"-": "info_103030_0_1_reward_0"}, "0": {"-": "info_103030_0_0_reward_0"}, "2": {"-": "info_103030_0_2_reward_0"}}	{"1": {"10304003": "-1"}, "0": {"10304003": "-1"}, "2": {"10304003": "2"}}	{"1": {"0": "m_info_103030_0_1_0_msg"}, "0": {"0": "m_info_103030_0_0_0_msg"}, "2": {"0": "m_info_103030_0_2_0_msg"}}	-	0	-
103040	ms_name_103040	0	10304004	47	1	0	{"1": "info_103040_0_1_msg", "0": "info_103040_0_0_msg", "2": "info_103040_0_2_msg"}	{"1": {"-": "info_103040_0_1_reward_0"}, "0": {"-": "info_103040_0_0_reward_0"}, "2": {"-": "info_103040_0_2_reward_0"}}	{"1": {"10304003": "1"}, "0": {"10304003": "-1"}, "2": {"32504001": "2"}}	{"1": {"0": "m_info_103040_0_1_0_msg"}, "0": {"0": "m_info_103040_0_0_0_msg"}, "2": {"0": "m_info_103040_0_2_0_msg"}}	-	0	-
103050	ms_name_103050	0	10304005	48	1	0	{"1": "info_103050_0_1_msg", "0": "info_103050_0_0_msg"}	{"1": {"-": "info_103050_0_1_reward_0"}, "0": {"-": "info_103050_0_0_reward_0"}}	{"1": {"10304003": "2"}, "0": {"10304003": "-1"}}	{"1": {"0": "m_info_103050_0_1_0_msg"}, "0": {"0": "m_info_103050_0_0_0_msg"}}	-	0	-
103060	ms_name_103060	0	10304006	49	2	0	{"1": "info_103060_0_1_msg", "0": "info_103060_0_0_msg"}	{"1": {"-": "info_103060_0_1_reward_0"}, "0": {"-": "info_103060_0_0_reward_0"}}	{"1": {"10304004": "2"}, "0": {"10304004": "-1"}}	{"1": {"0": "m_info_103060_0_1_0_msg"}, "0": {"0": "m_info_103060_0_0_0_msg"}}	-	0	-
103070	ms_name_103070	0	10304007	51	1	0	{"1": "info_103070_0_1_msg", "0": "info_103070_0_0_msg"}	{"1": {"-": "info_103070_0_1_reward_0"}, "0": {"-": "info_103070_0_0_reward_0"}}	{"1": {"10304005": "2"}, "0": {"10304005": "-1"}}	{"1": {"0": "m_info_103070_0_1_0_msg"}, "0": {"0": "m_info_103070_0_0_0_msg"}}	-	0	-
103080	ms_name_103080	0	10304008	52	1	0	{"1": "info_103080_0_1_msg", "0": "info_103080_0_0_msg", "2": "info_103080_0_2_msg"}	{"1": {"-": "info_103080_0_1_reward_0"}, "0": {"-": "info_103080_0_0_reward_0"}, "2": {"-": "info_103080_0_2_reward_0"}}	{"1": {"10304006": "1"}, "0": {"10304006": "-1"}, "2": {"10304006": "2"}}	{"1": {"0": "m_info_103080_0_1_0_msg"}, "0": {"0": "m_info_103080_0_0_0_msg"}, "2": {"0": "m_info_103080_0_2_0_msg"}}	-	0	-
103090	ms_name_103090	0	10304009	53	1	0	{"1": "info_103090_0_1_msg", "0": "info_103090_0_0_msg"}	{"1": {"-": "info_103090_0_1_reward_0"}, "0": {"-": "info_103090_0_0_reward_0"}}	{"1": {"10304007": "2"}, "0": {"10304007": "-1"}}	{"1": {"0": "m_info_103090_0_1_0_msg"}, "0": {"0": "m_info_103090_0_0_0_msg"}}	-	0	-
103100	ms_name_103100	0	10304010	54	1	0	{"1": "info_103100_0_1_msg", "0": "info_103100_0_0_msg", "2": "info_103100_0_2_msg"}	{"1": {"-": "info_103100_0_1_reward_0"}, "0": {"-": "info_103100_0_0_reward_0"}, "2": {"-": "info_103100_0_2_reward_0"}}	{"1": {"10304008": "1"}, "0": {"10304008": "-1"}, "2": {"10304008": "2"}}	{"1": {"0": "m_info_103100_0_1_0_msg"}, "0": {"0": "m_info_103100_0_0_0_msg"}, "2": {"0": "m_info_103100_0_2_0_msg"}}	-	0	-
103110	ms_name_103110	0	10304011	56	1	0	{"1": "info_103110_0_1_msg", "0": "info_103110_0_0_msg"}	{"1": {"-": "info_103110_0_1_reward_0"}, "0": {"-": "info_103110_0_0_reward_0"}}	{"1": {"10304009": "2"}, "0": {"10304009": "-1"}}	{"1": {"0": "m_info_103110_0_1_0_msg"}, "0": {"0": "m_info_103110_0_0_0_msg"}}	-	0	-
103120	ms_name_103120	0	10304012	57	1	0	{"1": "info_103120_0_1_msg", "0": "info_103120_0_0_msg", "2": "info_103120_0_2_msg"}	{"1": {"-": "info_103120_0_1_reward_0"}, "0": {"-": "info_103120_0_0_reward_0"}, "2": {"-": "info_103120_0_2_reward_0"}}	{"1": {"10304010": "1"}, "0": {"10304010": "-1"}, "2": {"10304010": "2"}}	{"1": {"0": "m_info_103120_0_1_0_msg"}, "0": {"0": "m_info_103120_0_0_0_msg"}, "2": {"0": "m_info_103120_0_2_0_msg"}}	-	0	-
103130	ms_name_103130	0	10304013	58	1	0	{"1": "info_103130_0_1_msg", "0": "info_103130_0_0_msg"}	{"1": {"-": "info_103130_0_1_reward_0"}, "0": {"-": "info_103130_0_0_reward_0"}}	{"1": {"10304011": "2"}, "0": {"10304011": "-1"}}	{"1": {"0": "m_info_103130_0_1_0_msg"}, "0": {"0": "m_info_103130_0_0_0_msg"}}	-	0	-
103140	ms_name_103140	0	10304014	59	1	0	{"1": "info_103140_0_1_msg", "0": "info_103140_0_0_msg", "2": "info_103140_0_2_msg"}	{"1": {"-": "info_103140_0_1_reward_0"}, "0": {"-": "info_103140_0_0_reward_0"}, "2": {"-": "info_103140_0_2_reward_0"}}	{"1": {"10304012": "1"}, "0": {"10304012": "-1"}, "2": {"10304012": "2"}}	{"1": {"0": "m_info_103140_0_1_0_msg"}, "0": {"0": "m_info_103140_0_0_0_msg"}, "2": {"0": "m_info_103140_0_2_0_msg"}}	-	0	-
103150	ms_name_103150	0	10304013	61	1	0	{"1": "info_103150_0_1_msg", "0": "info_103150_0_0_msg", "2": "info_103150_0_2_msg"}	{"1": {"-": "info_103150_0_1_reward_0"}, "0": {"-": "info_103150_0_0_reward_0"}, "2": {"-": "info_103150_0_2_reward_0"}}	{"1": {"10304013": "-1"}, "0": {"10304013": "-1"}, "2": {"10304013": "2"}}	{"1": {"0": "m_info_103150_0_1_0_msg"}, "0": {"0": "m_info_103150_0_0_0_msg"}, "2": {"0": "m_info_103150_0_2_0_msg"}}	-	0	-
103160	ms_name_103160	0	10304014	62	1	0	{"1": "info_103160_0_1_msg", "0": "info_103160_0_0_msg"}	{"1": {"-": "info_103160_0_1_reward_0"}, "0": {"-": "info_103160_0_0_reward_0"}}	{"1": {"10304014": "2"}, "0": {"10304014": "-1"}}	{"1": {"0": "m_info_103160_0_1_0_msg"}, "0": {"0": "m_info_103160_0_0_0_msg"}}	-	0	-
103170	ms_name_103170	0	10304014	63	1	0	{"1": "info_103170_0_1_msg", "0": "info_103170_0_0_msg"}	{"1": {"-": "info_103170_0_1_reward_0"}, "0": {"-": "info_103170_0_0_reward_0"}}	{"1": {"10304015": "2"}, "0": {"10304015": "-1"}}	{"1": {"0": "m_info_103170_0_1_0_msg"}, "0": {"0": "m_info_103170_0_0_0_msg"}}	-	0	-
103180	ms_name_103180	0	10404001	64	1	0	{"1": "info_103180_0_1_msg", "0": "info_103180_0_0_msg", "2": "info_103180_0_2_msg"}	{"1": {"-": "info_103180_0_1_reward_0"}, "0": {"-": "info_103180_0_0_reward_0"}, "2": {"-": "info_103180_0_2_reward_0"}}	{"1": {"10304016": "1"}, "0": {"10304016": "-1"}, "2": {"10304016": "2"}}	{"1": {"0": "m_info_103180_0_1_0_msg"}, "0": {"0": "m_info_103180_0_0_0_msg"}, "2": {"0": "m_info_103180_0_2_0_msg"}}	-	0	-
103190	ms_name_103190	0	10404001	66	1	0	{"1": "info_103190_0_1_msg", "0": "info_103190_0_0_msg"}	{"1": {"-": "info_103190_0_1_reward_0"}, "0": {"-": "info_103190_0_0_reward_0"}}	{"1": {"10304017": "2"}, "0": {"10304017": "-1"}}	{"1": {"0": "m_info_103190_0_1_0_msg"}, "0": {"0": "m_info_103190_0_0_0_msg"}}	-	0	-
104010	ms_name_104010	0	10404001	67	1	0	{"1": "info_104010_0_1_msg", "0": "info_104010_0_0_msg", "2": "info_104010_0_2_msg"}	{"1": {"-": "info_104010_0_1_reward_0"}, "0": {"-": "info_104010_0_0_reward_0"}, "2": {"-": "info_104010_0_2_reward_0"}}	{"1": {"10404001": "2"}, "0": {"10404001": "-1"}, "2": {"10404001": "2"}}	{"1": {"0": "m_info_104010_0_1_0_msg"}, "0": {"0": "m_info_104010_0_0_0_msg"}, "2": {"0": "m_info_104010_0_2_0_msg"}}	-	0	-
104020	ms_name_104020	0	10404002	68	1	0	{"1": "info_104020_0_1_msg", "0": "info_104020_0_0_msg", "2": "info_104020_0_2_msg"}	{"1": {"-": "info_104020_0_1_reward_0"}, "0": {"-": "info_104020_0_0_reward_0"}, "2": {"-": "info_104020_0_2_reward_0"}}	{"1": {"10404001": "1"}, "0": {"10404001": "-1"}, "2": {"10404001": "2"}}	{"1": {"0": "m_info_104020_0_1_0_msg"}, "0": {"0": "m_info_104020_0_0_0_msg"}, "2": {"0": "m_info_104020_0_2_0_msg"}}	-	0	-
104030	ms_name_104030	0	10404003	69	1	0	{"1": "info_104030_0_1_msg", "0": "info_104030_0_0_msg", "2": "info_104030_0_2_msg"}	{"1": {"J1": "info_104030_0_1_reward_0"}, "0": {"J1": "info_104030_0_0_reward_0"}, "2": {"J2": "info_104030_0_2_reward_0"}}	{"1": {"10404001": "1"}, "0": {"10404001": "-1"}, "2": {"10404001": "1"}}	{"1": {"0": "m_info_104030_0_1_0_msg"}, "0": {"0": "m_info_104030_0_0_0_msg"}, "2": {"0": "m_info_104030_0_2_0_msg"}}	-	0	-
104040	ms_name_104040	0	10404004	70	1	0	{"1": "info_104040_0_1_msg", "0": "info_104040_0_0_msg"}	{"1": {"-": "info_104040_0_1_reward_0"}, "0": {"-": "info_104040_0_0_reward_0"}}	{"1": {"10404002": "2"}, "0": {"10404002": "-1"}}	{"1": {"0": "m_info_104040_0_1_0_msg"}, "0": {"0": "m_info_104040_0_0_0_msg"}}	-	0	-
104050	ms_name_104050	0	10404005	73	1	0	{"1": "info_104050_0_1_msg", "0": "info_104050_0_0_msg"}	{"1": {"-": "info_104050_0_1_reward_0"}, "0": {"-": "info_104050_0_0_reward_0"}}	{"1": {"10404003": "2"}, "0": {"10404003": "-1"}}	{"1": {"0": "m_info_104050_0_1_0_msg"}, "0": {"0": "m_info_104050_0_0_0_msg"}}	-	0	-
