int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
630	6	3	0	57237	23947	59921	5992	55759	79361	39031	8620	3979	1000	97	97	7603	50	194	194	8275	11152	9868	15769	161	31929
631	6	3	1	75450	29327	65877	6587	69966	103248	48976	10557	5223	1125	131	131	9540	56	262	262	10298	13993	11448	19203	218	39103
641	6	4	1	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
642	6	4	2	226146	70591	87166	8716	189038	325604	132326	25412	11288	1500	274	274	25777	75	548	548	23397	37807	18565	47149	456	94121
651	6	5	1	327424	93942	93681	9368	236441	446425	165508	33819	13904	1625	333	333	32241	81	666	666	28106	47288	20436	64767	555	125257
652	6	5	2	471341	117225	99362	9936	283560	619528	198492	42201	17260	1750	397	397	38667	87	794	794	35129	56712	21660	80780	661	156301
653	6	5	3	912963	196045	108900	10890	518146	1352224	362702	70576	23415	2000	468	468	70656	100	936	936	66575	103629	23865	129879	780	261394
663	6	6	3	912963	196045	108900	10890	518146	1352224	362702	70576	23415	2000	468	468	70656	100	936	936	66575	103629	23865	129879	780	261394
710	7	1	0	54419	22945	58415	5841	49473	71764	34631	8260	3766	975	91	91	6746	48	182	182	7908	9894	9498	15123	151	30593
720	7	2	0	60321	24938	61051	6105	58581	85362	41006	8977	4147	1025	103	103	7988	51	206	206	8573	11716	10129	16451	171	33251
730	7	3	0	75450	29327	65877	6587	69966	103248	48976	10557	5223	1125	131	131	9540	56	262	262	10298	13993	11448	19203	218	39103
731	7	3	1	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
741	7	4	1	226146	70591	87166	8716	189038	325604	132326	25412	11288	1500	274	274	25777	75	548	548	23397	37807	18565	47149	456	94121
742	7	4	2	471341	117225	99362	9936	283560	619528	198492	42201	17260	1750	397	397	38667	87	794	794	35129	56712	21660	80780	661	156301
751	7	5	1	664597	158721	104435	10443	397894	838888	278525	57139	19959	1875	432	432	54258	93	864	864	44395	79579	22829	111489	720	211629
752	7	5	2	912963	196045	108900	10890	518146	1352224	362702	70576	23415	2000	468	468	70656	100	936	936	66575	103629	23865	129879	780	261394
753	7	5	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
763	7	6	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
810	8	1	0	70004	27669	64764	6476	66713	99274	46699	9960	4986	1100	123	123	9097	55	246	246	9727	13342	11111	18110	205	36892
820	8	2	0	81062	30886	66993	6699	73306	107725	51314	11118	5465	1150	139	139	9996	57	278	278	10845	14661	11791	20224	231	41181
830	8	3	0	102001	39136	71790	7179	89603	132600	62722	14088	6553	1250	174	174	12218	62	348	348	13969	17920	13266	25474	290	52181
831	8	3	1	226146	70591	87166	8716	189038	325604	132326	25412	11288	1500	274	274	25777	75	548	548	23397	37807	18565	47149	456	94121
841	8	4	1	471341	117225	99362	9936	283560	619528	198492	42201	17260	1750	397	397	38667	87	794	794	35129	56712	21660	80780	661	156301
842	8	4	2	912963	196045	108900	10890	518146	1352224	362702	70576	23415	2000	468	468	70656	100	936	936	66575	103629	23865	129879	780	261394
851	8	5	1	1208090	196045	113442	11344	518146	1793480	362702	70576	26146	2125	476	476	70656	106	952	952	66575	103629	23865	129879	793	261394
852	8	5	2	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
853	8	5	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
863	8	6	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
910	9	1	0	133842	48288	77290	7729	128862	204726	90203	17383	8050	1350	211	211	17572	67	422	422	16439	25772	15032	31963	351	64384
920	9	2	0	157056	54152	80229	8022	147731	244653	103411	19494	8922	1400	232	232	20145	70	464	464	18148	29546	16098	36036	386	72203
930	9	3	0	226146	70591	87166	8716	189038	325604	132326	25412	11288	1500	274	274	25777	75	548	548	23397	37807	18565	47149	456	94121
931	9	3	1	471341	117225	99362	9936	283560	619528	198492	42201	17260	1750	397	397	38667	87	794	794	35129	56712	21660	80780	661	156301
941	9	4	1	912963	196045	108900	10890	518146	1352224	362702	70576	23415	2000	468	468	70656	100	936	936	66575	103629	23865	129879	780	261394
942	9	4	2	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
951	9	5	1	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
952	9	5	2	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
953	9	5	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
963	9	6	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
1010	10	1	0	305338	89266	92346	9234	225969	417414	158178	32135	13333	1600	321	321	30813	80	642	642	27076	45193	20134	61297	535	119022
1020	10	2	0	350346	97600	94680	9468	245963	476267	172174	35136	14443	1650	345	345	33540	82	690	690	28985	49192	20670	67432	575	130133
1030	10	3	0	471341	117225	99362	9936	283560	619528	198492	42201	17260	1750	397	397	38667	87	794	794	35129	56712	21660	80780	661	156301
1031	10	3	1	912963	196045	108900	10890	518146	1352224	362702	70576	23415	2000	468	468	70656	100	936	936	66575	103629	23865	129879	780	261394
1041	10	4	1	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
1042	10	4	2	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
1051	10	5	1	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
1052	10	5	2	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
1053	10	5	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
1063	10	6	3	1577570	196045	117355	11735	518146	2329395	362702	70576	30155	2250	483	483	70656	112	966	966	66575	103629	23865	129879	805	261394
