int	int	int	int	string	int	int	int	int	int[]	int	int	int	int	string	int[]	int[]	string	int	int	int
600101	60010	1	60010	宗门试炼二层	150	500	0	0	0	0	0	0	0	[10,1800,50,10]	30603002	181|1015|10451|20451|20454|10441|10444|20441	突破小怪包围，打死BOSS，人人都有掉落	7	0	1
600102	60010	2	60010	宗门试炼三层	200	500	0	0	0	0	0	0	0	[10,1800,50,10]	30603003	181|1015|10551|10553|10554|20551|20553|20554	突破小怪包围，打死BOSS，人人都有掉落	7	0	1
311600	31160	0	31160	上古战场	110	250	0	0	0	0	0	0	0	1800	0	2215	上古战场大乱斗，勇敢和其他玩家战斗吧~	6	0	1
311601	31160	1	31160	上古战场	251	300	0	0	0	0	0	0	0	1800	0	2215	上古战场大乱斗，勇敢和其他玩家战斗吧~	6	0	1
311602	31160	2	31160	上古战场	301	350	0	0	0	0	0	0	0	1800	0	2215	上古战场大乱斗，勇敢和其他玩家战斗吧~	6	0	1
312500	31250	0	31250	守护副本	0	0	0	0	0	0	0	0	0	[0,300,10]	0				0	0
520100	52010	0	52020	封魔坛	20	0	0	0	0	0	0	0	0	10	0				0	0
520101	52010	1	52020	封魔坛2	40	0	0	0	0	0	0	0	0	10	0				0	0
520102	52010	2	52020	封魔坛3	70	0	0	0	0	0	0	0	0	10	0				0	0
520103	52010	3	52010	封魔坛4	85	0	0	0	0	0	0	0	0	10	0				0	0
520104	52010	4	52010	封魔坛5	85	0	0	0	0	0	0	0	0	10	0				0	1
520105	52010	5	52010	封魔坛6	110	0	0	0	0	0	0	0	0	10	0				0	1
520106	52010	6	52010	封魔坛7	130	0	0	0	0	0	0	0	0	10	0				0	1
520107	52010	7	52010	封魔坛8	155	0	0	0	0	0	0	0	0	10	0				0	1
520108	52010	8	52010	封魔坛9	180	0	0	0	0	0	0	0	0	10	0				0	1
520109	52010	9	52010	封魔坛10	205	0	0	0	0	0	0	0	0	10	0				0	1
520110	52010	10	52010	封魔坛11	230	0	0	0	0	0	0	0	0	10	0				0	1
520111	52010	11	52010	封魔坛12	255	0	0	0	0	0	0	0	0	10	0				0	1
520112	52010	12	52010	封魔坛13	280	0	0	0	0	0	0	0	0	10	0				0	1
520113	52010	13	52010	封魔坛14	305	0	0	0	0	0	0	0	0	10	0				0	1
520114	52010	14	52010	封魔坛15	330	0	0	0	0	0	0	0	0	10	0				0	1
520115	52010	15	52010	封魔坛16	355	0	0	0	0	0	0	0	0	10	0				0	1
520116	52010	16	52010	封魔坛17	380	0	0	0	0	0	0	0	0	10	0				0	1
520117	52010	17	52010	封魔坛18	405	0	0	0	0	0	0	0	0	10	0				0	1
520118	52010	18	52010	封魔坛19	430	0	0	0	0	0	0	0	0	10	0				0	1
520119	52010	19	52010	封魔坛20	455	0	0	0	0	0	0	0	0	10	0				0	1
311300	31130	0	31130	符印塔	0	500	0	0	0	0	0	0	0	[5,180,10,10]					0	1
311100	31110	0	31110	小境界渡劫	80	500	0	0	0	0	0	0	0	[10, 180, 10, [210, 180, 150, 120],  [51,13]]					0	1
311101	31110	1	31110	大境界渡劫	80	500	0	0	0	0	0	0	0	[10, 180, 10, [360, 245, 185, 125],  [51,13]]					0	1
312100	31210	0	31210	仙盟BOSS	0	500	0	0	0	0	0	0	0	[5, 3600, 60, [1800, 900, 600, 300]]				5	0	1
