int	int	int	string	string	int	int	int	int	int	int	int
406	4	6	第六层	通关第六层奖励	3200	0	60103030	0	0	0	4393
407	4	7	第七层	通关第七层奖励	3200	0	60103031	0	0	0	4394
408	4	8	第八层	通关第八层奖励	22400	0	60103032	4384	0	0	4394
501	5	1	第一层	通关第一层奖励	4800	0	60103033	0	0	0	4381
502	5	2	第二层	通关第二层奖励	4800	0	60103034	0	0	0	4381
503	5	3	第三层	通关第三层奖励	4800	0	60103035	0	0	0	4382
504	5	4	第四层	通关第四层奖励	33600	0	60103036	0	1	0	4382
505	5	5	第五层	通关第五层奖励	4800	0	60103037	0	0	0	4383
506	5	6	第六层	通关第六层奖励	4800	0	60103038	0	0	0	4383
507	5	7	第七层	通关第七层奖励	4800	0	60103039	0	0	0	4384
508	5	8	第八层	通关第八层奖励	33600	0	60103040	4364	0	0	4384
601	6	1	第一层	通关第一层奖励	6400	0	60103041	0	0	0	4361
602	6	2	第二层	通关第二层奖励	6400	0	60103042	0	0	0	4361
603	6	3	第三层	通关第三层奖励	6400	0	60103043	0	0	0	4362
604	6	4	第四层	通关第四层奖励	44800	0	60103044	0	1	0	4362
605	6	5	第五层	通关第五层奖励	6400	0	60103045	0	0	0	4363
606	6	6	第六层	通关第六层奖励	6400	0	60103046	0	0	0	4363
607	6	7	第七层	通关第七层奖励	6400	0	60103047	0	0	0	4364
608	6	8	第八层	通关第八层奖励	44800	0	60103048	4354	0	0	4364
701	7	1	第一层	通关第一层奖励	9600	0	60103049	0	0	0	4351
702	7	2	第二层	通关第二层奖励	9600	0	60103050	0	0	0	4351
703	7	3	第三层	通关第三层奖励	9600	0	60103051	0	0	0	4352
704	7	4	第四层	通关第四层奖励	67200	0	60103052	0	1	0	4352
705	7	5	第五层	通关第五层奖励	9600	0	60103053	0	0	0	4353
706	7	6	第六层	通关第六层奖励	9600	0	60103054	0	0	0	4353
707	7	7	第七层	通关第七层奖励	9600	0	60103055	0	0	0	4354
708	7	8	第八层	通关第八层奖励	67200	0	60103056	4349	0	0	4354
801	8	1	第一层	通关第一层奖励	12800	0	60103057	0	0	0	4346
802	8	2	第二层	通关第二层奖励	12800	0	60103058	0	0	0	4346
803	8	3	第三层	通关第三层奖励	12800	0	60103059	0	0	0	4347
804	8	4	第四层	通关第四层奖励	89600	0	60103060	0	1	0	4347
805	8	5	第五层	通关第五层奖励	12800	0	60103061	0	0	0	4348
806	8	6	第六层	通关第六层奖励	12800	0	60103062	0	0	0	4348
807	8	7	第七层	通关第七层奖励	12800	0	60103063	0	0	0	4349
808	8	8	第八层	通关第八层奖励	89600	0	60103064	4359	0	0	4349
901	9	1	第一层	通关第一层奖励	12800	32	60103065	0	0	0	4356
902	9	2	第二层	通关第二层奖励	12800	32	60103066	0	0	0	4356
903	9	3	第三层	通关第三层奖励	12800	32	60103067	0	0	0	4357
904	9	4	第四层	通关第四层奖励	89600	96	60103068	0	0	4400	4357
905	9	5	第五层	通关第五层奖励	12800	32	60103069	0	0	0	4358
906	9	6	第六层	通关第六层奖励	12800	32	60103070	0	0	0	4358
907	9	7	第七层	通关第七层奖励	12800	32	60103071	0	0	0	4359
908	9	8	第八层	通关第八层奖励	89600	96	60103072	4389	0	0	4359
1001	10	1	第一层	通关第一层奖励	12800	64	60103073	0	0	0	4386
1002	10	2	第二层	通关第二层奖励	12800	64	60103074	0	0	0	4386
1003	10	3	第三层	通关第三层奖励	12800	64	60103075	0	0	0	4387
1004	10	4	第四层	通关第四层奖励	89600	192	60103076	0	0	4415	4387
1005	10	5	第五层	通关第五层奖励	12800	64	60103077	0	0	0	4388
1006	10	6	第六层	通关第六层奖励	12800	64	60103078	0	0	0	4388
1007	10	7	第七层	通关第七层奖励	12800	64	60103079	0	0	0	4389
1008	10	8	第八层	通关第八层奖励	89600	192	60103080	4379	0	0	4389
1101	11	1	第一层	通关第一层奖励	12800	96	60103049	0	0	0	4376
1102	11	2	第二层	通关第二层奖励	12800	96	60103050	0	0	0	4376
1103	11	3	第三层	通关第三层奖励	12800	96	60103051	0	0	0	4377
1104	11	4	第四层	通关第四层奖励	89600	288	60103052	0	0	4405	4377
1105	11	5	第五层	通关第五层奖励	12800	96	60103053	0	0	0	4378
1106	11	6	第六层	通关第六层奖励	12800	96	60103054	0	0	0	4378
1107	11	7	第七层	通关第七层奖励	12800	96	60103055	0	0	0	4379
1108	11	8	第八层	通关第八层奖励	89600	288	60103056	4374	0	0	4379
1201	12	1	第一层	通关第一层奖励	12800	128	60103057	0	0	0	4371
1202	12	2	第二层	通关第二层奖励	12800	128	60103058	0	0	0	4371
1203	12	3	第三层	通关第三层奖励	12800	128	60103059	0	0	0	4372
1204	12	4	第四层	通关第四层奖励	89600	384	60103060	0	0	4410	4372
1205	12	5	第五层	通关第五层奖励	12800	128	60103061	0	0	0	4373
1206	12	6	第六层	通关第六层奖励	12800	128	60103062	0	0	0	4373
1207	12	7	第七层	通关第七层奖励	12800	128	60103063	0	0	0	4374
1208	12	8	第八层	通关第八层奖励	89600	384	60103064	0	0	4420	4374
