int	int	int	int	int	int
116	0	30311020	0	6683	129709
117	0	31756970	0	6841	133875
118	0	33264340	0	7003	138017
119	0	34835070	0	7169	142641
120	0	36471130	0	7339	148071
121	0	38169445	0	7512	152483
122	0	39947300	0	7691	156562
123	0	41791525	0	7873	161367
124	0	43714730	0	8060	165400
125	0	45719410	0	8252	169558
126	0	47796785	0	8447	174057
127	0	49960270	0	8647	178619
128	0	52218380	0	8853	182927
129	0	54556070	0	9062	187975
130	0	56993745	0	9277	193835
131	0	59528245	0	9497	198043
132	0	62168755	0	9723	202038
133	0	64905445	0	9953	206193
134	0	67754110	0	10189	210314
135	0	70704500	0	10429	213483
136	0	73786840	0	10677	217385
137	0	76977160	0	10929	221638
138	0	80292480	0	11187	226453
139	0	83743640	0	11452	232098
140	0	87319715	0	11722	236484
141	0	92647590	0	12211	239468
142	0	98228330	0	12713	242870
143	1	4934930	0	13338	246082
144	1	11972970	0	13980	249551
145	1	19336145	0	14637	252759
146	1	27050325	0	15311	257217
147	1	35117365	0	16001	261616
148	1	43547280	0	16707	264343
149	1	52367705	0	17431	267617
150	1	61589860	0	18173	270350
151	1	71225125	0	18933	274172
152	1	81275855	0	19710	277441
153	1	91781370	0	20507	280511
154	2	2735470	0	21322	284423
155	2	14179225	0	22158	287485
156	2	30679465	0	23014	290513
157	2	48171570	0	23889	293764
158	2	66744470	0	24787	296828
159	2	86405650	0	25704	300189
160	3	7238940	0	26643	305264
161	3	29322700	0	27606	308239
162	3	52703410	0	28592	312149
163	3	77415180	0	29599	315648
164	4	3569795	0	30631	319568
165	4	31206285	0	31686	323363
166	4	60446685	0	32768	327492
167	4	91306400	0	33873	330809
168	5	23915615	0	35005	334515
169	5	58337145	0	36163	337693
170	5	94666265	0	37348	345193
171	6	33019195	0	38562	351094
172	6	73434245	0	39802	355946
173	7	16051000	0	41071	361332
174	7	60982145	0	42370	367298
175	8	8308475	0	43698	371546
176	8	58168825	0	45057	376910
177	9	10670375	0	46447	382352
178	9	65963940	0	47870	390296
179	10	24146065	0	49325	397672
180	10	85335830	0	50812	411592
181	11	30872410	0	51476	423484
182	11	78195595	0	52154	436688
183	12	27367945	0	52846	449948
184	12	78477550	0	53553	463890
185	13	31592250	0	54275	477964
186	13	86781670	0	55012	492387
187	14	44194925	0	55767	506766
188	15	3778600	0	56535	521041
189	15	65740215	0	57321	535034
190	16	30135365	0	58124	551135
191	16	97047620	0	58944	566079
192	17	66592255	0	59782	579344
193	18	38829150	0	60637	590759
194	19	13848430	0	61509	602329
195	19	91838225	0	62401	615121
196	20	72900555	0	63313	626243
197	21	57072880	0	64243	639422
198	22	44491750	0	65192	650333
199	23	35299675	0	66161	664396
200	24	29681480	0	67152	673508
201	25	78042250	0	69521	682781
202	27	33926300	0	71944	695211
203	28	97502040	0	74418	705139
204	30	69292880	0	76949	715750
205	32	49444190	0	79533	724785
206	34	38428285	0	82174	735111
207	36	36698375	0	84875	747098
208	38	44508800	0	87634	755961
209	40	62248975	0	90452	768983
210	42	90459005	0	93333	778347
211	45	29563880	0	96278	786197
212	47	79857895	0	99285	796510
213	50	41980830	0	102359	804156
214	53	16251885	0	105498	813678
215	56	3248970	0	108705	828929
216	59	3468730	0	111981	837225
217	62	17530975	0	115329	846402
218	65	45970685	0	118750	855540
219	68	89282730	0	122244	865366
220	72	48088835	0	125813	876516
221	74	98375735	0	127342	888963
222	77	56976730	0	128900	901458
223	80	24435185	0	130492	913336
224	83	949125	0	132117	930627
225	85	86780940	0	133775	947110
226	88	82329725	0	135468	962436
227	91	87877445	0	137196	977944
228	95	3643630	0	138958	991677
229	98	30127390	0	140757	1009482
230	101	67637500	0	142593	1024954
231	105	16489145	0	144466	1036153
232	108	77152650	0	146378	1049344
233	112	49965510	0	148329	1062645
234	116	35349545	0	150320	1077353
235	120	33660940	0	152351	1089327
236	124	45504890	0	154425	1102336
237	128	71102335	0	156540	1117250
238	133	11004320	0	158698	1131372
239	137	65782930	0	160901	1144287
240	142	35857350	0	163149	1157312
241	147	21566155	0	165441	1170782
242	152	23612330	0	167780	1185655
243	157	42636070	0	170168	1200350
244	162	78923670	0	172603	1213156
245	168	33333015	0	175089	1229718
246	174	5976820	0	177622	1242376
247	179	98046195	0	180209	1258846
248	186	9878915	0	182848	1271360
249	192	42118965	0	185540	1285171
250	198	95428475	0	188286	1311026
251	210	61855475	0	195118	1327917
252	223	1993385	0	202093	1349121
253	236	19766335	0	209212	1373827
254	250	19569775	0	216479	1374050
255	265	5721975	0	223896	1399866
256	280	82925240	0	231467	1422234
257	297	56050520	0	239196	1446855
258	315	29632260	0	247083	1467781
259	334	8854500	0	255132	1491693
260	353	99351510	0	263349	1516522
261	375	6558985	0	271737	1538791
262	397	35524215	0	280295	1568812
263	420	92580220	0	289030	1594012
264	445	83559305	0	297944	1624085
265	472	15082900	0	307043	1659947
266	499	92911110	0	316326	1689588
267	529	24558190	0	325802	1723923
268	560	16345340	0	335471	1758401
269	592	75434010	0	345337	1792216
270	627	9392575	0	355405	1825111
271	652	16741455	0	359564	1857441
272	678	28862610	0	363806	1892383
273	705	49089400	0	368133	1923367
274	733	80273025	0	372544	1958825
275	763	25917790	0	377041	1984077
276	793	90263770	0	381629	2012831
277	825	76237765	0	386306	2038950
278	858	88109865	0	391076	2069052
279	893	29188870	0	395938	2097739
280	929	3760085	0	400895	2133743
281	966	16495180	0	405951	2164721
282	1004	71510580	0	411107	2199220
283	1044	72525790	0	416362	2239022
284	1086	24343620	0	421719	2285220
285	1129	32455930	0	427183	2335139
286	1174	946510	0	432753	2369343
287	1220	34791185	0	438431	2406063
288	1268	39393205	0	444220	2441809
289	1318	19743975	0	450121	2477989
290	1369	81553705	0	456137	2512643
291	1423	30404935	0	462270	2547662
292	1478	72349155	0	468523	2602399
293	1536	12654825	0	474896	2650623
294	1595	58011775	0	481393	2688237
295	1657	14316560	0	488015	2710513
296	1720	88640915	0	494766	2672840
297	1786	86865435	0	501646	2723644
298	1855	16797025	0	508660	2770460
299	1925	85024805	0	515809	2822689
300	1998	99044015	0	523096	2884377
301	2085	53667640	0	541765	2932606
302	2175	3057835	0	560804	2981112
303	2267	57894840	0	580220	3028360
304	2363	29128575	0	600020	3076036
305	2462	27587425	0	620210	3121833
306	2564	65969110	0	640800	3165959
307	2670	55279930	0	661795	3235982
308	2780	8420660	0	683204	3280236
309	2893	37797765	0	705034	3373077
310	3010	56951110	0	727294	3415291
311	3131	78925805	0	749991	3463374
312	3257	17085075	0	773132	3505442
313	3386	86391365	0	796727	3554033
314	3521	1325500	0	820784	3593356
315	3659	77154150	0	845312	3637131
316	3803	29519720	0	870320	3684216
317	3951	73565560	0	895815	3702511
318	4105	26573345	0	921808	3771783
319	4264	4907330	0	948307	3815344
320	4428	26227915	0	975322	3862308
321	4521	47158550	0	986153	3912582
322	4617	41042045	0	997186	3960356
323	4716	17121315	0	1008429	4018838
324	4817	81583915	0	1019883	4065151
325	4922	42172670	0	1031552	4121745
326	5030	6813475	0	1043440	4052432
327	5140	83131615	0	1055550	4095604
328	5254	79906050	0	1067887	4146162
329	5372	5631590	0	1080455	4191018
330	5492	68999415	0	1093258	4240276
331	5616	78900365	0	1106300	4316339
332	5744	44428280	0	1119585	4359488
333	5875	75401855	0	1133118	4409346
334	6010	80823400	0	1146902	4451958
335	6149	71475315	0	1160943	4500237
336	6292	57331095	0	1175245	4542856
337	6439	48584790	0	1189812	4589358
338	6590	55654360	0	1204648	4638965
339	6745	90291080	0	1219759	4689763
340	6905	63965980	0	1235150	4749457
341	7069	88409430	0	1250826	4800572
342	7238	74472450	0	1266790	4852801
343	7412	34956500	0	1283048	4909505
344	7590	83543410	0	1299607	4966982
345	7774	31879915	0	1316470	5029189
346	7962	93632250	0	1333643	5102539
347	8156	81569470	0	1351130	5168246
348	8356	10553380	0	1368938	5253780
349	8560	94557735	0	1387072	5332388
350	8771	49101570	0	1405539	5410033
351	9176	27254140	1	1454198	5478912
352	9594	93131030	1	1503776	5670354
353	10027	86855510	1	1554286	5753024
354	10475	54601745	1	1605749	5514331
355	10938	39002040	1	1658179	5578992
356	11416	86243720	1	1711594	5662420
357	11911	42182865	1	1766010	5747988
358	12422	56376010	1	1821447	5824342
359	12950	76728670	1	1877921	5913538
360	13496	55633935	1	1935453	5981941
361	14060	43129175	1	1994059	6045127
362	14642	94559580	1	2053761	6180899
363	15244	62178740	1	2114575	6262754
364	15866	4402465	1	2176524	6423957
365	16507	74312815	1	2239622	6514367
366	17170	35704345	1	2303896	6604435
367	17854	46302165	1	2369363	6713418
368	18560	69556875	1	2436046	6762064
369	19289	67208410	1	2503964	6850629
370	20042	3807880	1	2573138	6958101
371	20475	50882990	1	2600041	7046559
372	20919	61420730	1	2627424	7148484
373	21374	61195940	1	2655295	7240517
374	21840	76505895	1	2683662	7278522
375	22318	34176935	1	2712533	7383552
376	22807	64898375	1	2741920	7489447
377	23308	94161160	1	2771828	7971118
378	23822	50447245	1	2802265	8121835
379	24348	67091650	1	2833244	8233764
380	24887	70360565	1	2864769	8278297
381	25439	93088325	1	2896851	7955402
382	26005	69687810	1	2929502	8052710
383	26585	29926300	1	2962728	8176096
384	27179	7714895	1	2996539	8369907
385	27787	38558580	1	3030946	8464399
386	28410	56833870	1	3065958	8567371
387	29048	95698535	1	3101582	8692653
388	29702	97411525	1	3137834	8804673
389	30372	95615980	1	3174720	8917227
390	31059	30313500	1	3212252	9035448
391	31762	38405525	1	3250438	9161794
392	32482	65346530	1	3289294	9276127
393	33220	47604820	1	3328826	9388121
394	33976	29293985	1	3369047	9515328
395	34750	51339045	1	3409966	9628907
396	35543	61571255	1	3451598	9729440
397	36356	3612650	1	3493953	9853037
398	37188	23976975	1	3537043	9951362
399	38040	67937980	1	3580878	10150091
400	38913	85869310	1	3625472	10268256
401	39808	25883655	1	3670836	10409406
402	40724	40250410	1	3716984	10535812
403	41662	78932400	1	3763927	10670554
404	42623	95018495	1	3811678	10796939
405	43608	41458020	1	3860249	11083956
406	44616	77861110	1	3909657	11211408
407	45649	59270720	1	3959914	11358678
408	46707	39378100	1	4011030	11499061
409	47790	81001250	1	4063022	11537407
410	48900	42250850	1	4115902	11697735
411	50036	88246245	1	4169687	11832682
412	51200	80517495	1	4224390	12012212
413	52392	80449900	1	4280023	12152903
414	53613	56651725	1	4336603	12297916
415	54863	80276445	1	4394148	12442308
416	56144	12489455	1	4452667	12602947
417	57455	29390500	1	4512180	12757689
418	58798	2135680	1	4572702	12886187
419	60059	81520000	1	4634245	13038912
420	60870	94272000	1	4696832	13184067
421	61695	76896000	1	4760476	13321432
422	62534	44944000	1	4825189	13465961
423	63387	32112000	1	4890997	13627276
424	64254	48768000	1	4957908	13754596
425	65136	23424000	1	5025944	13899962
426	66032	78112000	1	5095122	14031682
427	66944	37456000	1	5165461	14226098
428	67871	23488000	1	5236978	14348770
429	68813	58240000	1	5309690	14496211
430	69771	67632000	1	5383617	14636585
431	70745	73696000	1	5458776	14820340
432	71736	4944000	1	5535189	14993985
433	72742	83408000	1	5612873	15178835
434	73766	38896000	1	5691851	15340602
435	74806	89552000	1	5772137	15660019
436	75864	70368000	1	5853758	15842189
437	76940	784000	1	5936729	16002995
438	78033	9312000	1	6021072	16302930
439	79144	28352000	1	6106812	16472535
440	80273	77344000	1	6193964	16679306
441	81421	89984000	1	6282554	16843182
442	82588	94784000	1	6372604	17040833
443	83775	18960000	1	6464135	17190366
444	84980	92320000	1	6557170	17384231
445	86206	42080000	1	6651730	17592487
446	87452	4528000	1	6747843	17846574
447	88718	2992000	1	6845527	18046440
448	90004	68576000	1	6944806	18264778
449	91312	40160000	1	7045710	18452790
450	92641	44960000	1	7148260	18643651
451	93992	11488000	1	7252478	18776277
452	95364	76032000	1	7358392	18935225
453	96759	74880000	1	7466030	19068778
454	98177	36544000	1	7575414	19278396
455	99617	94720000	1	7686570	19501694
456	101081	89584000	1	7799529	19624184
457	102569	50944000	1	7914314	19814379
458	104081	13792000	1	8030952	19979534
459	105617	18304000	1	8149474	20111979
460	107177	99472000	1	8269907	20291108
461	108763	88400000	1	8392275	20487149
462	110375	33040000	1	8516615	20623764
463	112012	63200000	1	8642950	20816036
464	113676	17760000	1	8771310	21008042
465	115366	38192000	1	8901727	21190765
466	117083	63376000	1	9034231	21379608
467	118828	36080000	1	9168855	21548751
468	120600	90000000	1	9305625	21738807
469	122401	70496000	1	9444576	21924683
470	124231	20336000	1	9585741	22092636
471	126089	77104000	1	9729149	22293348
472	127977	90048000	1	9874838	22499592
473	129895	99344000	1	10022839	22662171
474	131844	46464000	1	10173184	22883576
475	133823	79360000	1	10325910	23113042
476	135834	39504000	1	10481049	23265018
477	137876	74848000	1	10638638	23490660
478	139951	29456000	1	10798711	23694245
479	142058	55168000	1	10961308	23886661
480	144198	93456000	1	11126461	24059920
481	146372	97456000	1	11294211	24257269
482	148581	16416000	1	11464596	24525583
483	150823	93104000	1	11637649	24674270
484	153101	81952000	1	11813412	24870022
485	155415	32208000	1	11991923	25072053
486	157764	97008000	1	12173223	25247417
487	160151	32080000	1	12357355	25450954
488	162574	80192000	1	12544352	25705820
489	165035	99664000	1	12734259	25917057
490	167535	50112000	1	12927122	26137090
491	170073	76896000	1	13122976	26354878
492	172651	43520000	1	13321870	26571707
493	175268	97936000	1	13523841	26828964
494	177927	6240000	1	13728940	26993079
495	180626	20272000	1	13937207	27212073
496	183366	98352000	1	14148687	27428345
497	186149	98800000	1	14363425	27593530
498	188975	89008000	1	14581473	27899736
499	191845	20816000	1	14802871	28172129
500	194758	59024000	1	15027669	28411330
501	197716	68432000	1	15255917	27279291
502	200720	9952000	1	15487662	27501183
503	203769	48384000	1	15722954	27726273
504	206865	44640000	1	15961840	27949177
505	210008	67408000	1	16204373	28153648
506	213199	81488000	1	16450603	28474703
507	216439	60752000	1	16700587	28712399
508	219728	59632000	1	16954367	28861407
509	223067	62368000	1	17212008	29097475
510	226457	28576000	1	17473556	29331642
511	229898	32128000	1	17739068	29517698
512	233391	40416000	1	18008596	29754600
513	236937	32496000	1	18282201	30080959
514	240536	79648000	1	18559938	30433413
515	244190	55744000	1	18841864	30620780
516	247899	37248000	1	19128038	30875383
517	251663	98032000	1	19418517	31046141
518	255485	13264000	1	19713359	31294729
519	259363	69776000	1	20012631	31562121
520	263300	33664000	1	20316384	31722982
521	267295	93056000	1	20624686	32039252
522	271351	32192000	1	20937602	32300221
523	275467	24944000	1	21255189	32579345
524	279644	62032000	1	21577517	32845762
525	283884	17328000	1	21904643	33108013
526	288186	86736000	1	22236641	33291981
527	292553	54496000	1	22573576	33555703
528	296985	2256000	1	22915511	33725740
529	301482	22032000	1	23262517	34047375
530	306046	1952000	1	23614662	34347455
531	310677	31440000	1	23972015	34538614
532	315377	8992000	1	24334652	34848753
533	320146	16256000	1	24702636	35112815
534	324985	55616000	1	25076046	35407275
535	329896	24272000	1	25454957	35682537
536	334879	5168000	1	25839433	35877721
537	339935	8464000	1	26229559	36183858
538	345065	31360000	1	26625410	36442431
539	350270	68464000	1	27027059	36734647
540	355552	23456000	1	27434586	36917040
541	360910	93536000	1	27848066	37219818
542	366347	91456000	1	28267586	37519251
543	371864	15712000	1	28693222	37751617
544	377460	72576000	1	29125056	38181984
545	383138	73504000	1	29563174	38424582
546	388899	23472000	1	30007657	38715616
547	394743	30048000	1	30458588	38938927
548	400672	3392000	1	30916052	39305214
549	406686	66624000	1	31380144	39658392
550	412788	23424000	1	31850944	39859570
551	418977	86544000	1	32328539	40173275
552	425256	85584000	1	32813029	40368522
553	431626	29408000	1	33304498	40662916
554	438087	30768000	1	33803033	40891414
555	444641	28336000	1	34308741	41325921
556	451289	28384000	1	34821704	41522763
557	458032	59216000	1	35342021	41831087
558	464872	50432000	1	35869792	42158641
559	471810	23856000	1	36405111	42483822
560	478847	7792000	1	36948077	42693019
561	485984	38320000	1	37498795	42993721
562	493223	38560000	1	38057360	43339230
563	500565	36816000	1	38623871	43520607
564	508011	80832000	1	39198442	43878172
565	515563	98912000	1	39781172	44063960
566	523223	27136000	1	40372166	44455147
567	530991	11952000	1	40971537	44815539
568	538868	85552000	1	41579387	45190348
569	546857	87904000	1	42195824	45381394
570	554959	71936000	1	42820966	45753124
571	563175	82800000	1	43454925	45922273
572	571507	60464000	1	44097809	46265456
573	579956	60448000	1	44749738	46464109
574	588524	27904000	1	45410824	46804220
575	597212	19648000	1	46081188	47000326
576	606021	87312000	1	46760947	47351612
577	614954	87712000	1	47450222	47539054
578	624012	81552000	1	48149137	47895436
579	633197	28240000	1	48857815	48150062
580	642509	78112000	1	49576372	48681552
581	651952	12608000	1	50304948	48870149
582	661525	80768000	1	51043658	49235582
583	671232	58848000	1	51792638	49423765
584	681074	11440000	1	52552015	49793995
585	691052	13504000	1	53321924	49964722
586	701168	38704000	1	54102499	50188696
587	711424	51632000	1	54893867	50373817
588	721822	44096000	1	55696176	50590717
589	732363	81984000	1	56509554	50804518
590	743050	54512000	1	57334147	51014476
591	753884	36640000	1	58170090	51296922
592	764867	22768000	1	59017533	51481720
593	776000	91744000	1	59876614	51830655
594	787287	31488000	1	60747478	52010504
595	798728	48064000	1	61630284	52190082
596	810326	20320000	1	62525170	52332812
597	822082	46544000	1	63432289	52516999
598	833999	25024000	1	64351794	52675520
599	846078	67008000	1	65283848	52819505
600	858322	59120000	1	66228595	52997385
601	870733	7424000	1	67186194	53120841
602	883312	24464000	1	68156809	53244297
603	896062	21488000	1	69140603	53367753
604	908985	7152000	1	70137737	53491209
605	922082	90112000	1	71148372	53614665
606	935357	95872000	1	72172682	53738121
607	948812	38272000	1	73210832	53861577
608	962448	31152000	1	74262987	53985033
609	976268	14272000	1	75329332	54108489
610	990274	1472000	1	76410032	54231945
611	1004468	18256000	1	77505261	54355401
612	1018853	4384000	1	78615204	54478857
613	1033430	93136000	1	79740041	54602313
614	1048204	20384000	1	80879954	54725769
615	1063175	20704000	1	82035124	54849225
616	1078346	28672000	1	83205732	54972681
617	1093720	7376000	1	84391981	55096137
618	1109298	86208000	1	85594048	55219593
619	1125085	25664000	1	86812134	55343049
620	1141081	66800000	1	88046425	55466505
621	1157290	76592000	1	89297127	55589961
622	1173714	98688000	1	90564428	55713417
623	1190357	6544000	1	91848539	55836873
624	1207219	55472000	1	93149657	55960329
625	1224305	13744000	1	94467989	56083785
626	1241616	52224000	1	95803744	56207241
627	1259156	44368000	1	97157133	56330697
628	1276927	55856000	1	98528361	56454153
629	1294932	73104000	1	99917649	56577609
630	1313174	68272000	1	101325207	56701065
631	1331656	42032000	1	102751267	56824521
632	1350380	61360000	1	104196035	56947977
633	1369350	21744000	1	105659739	57071433
634	1388568	23856000	1	107142611	57194889
635	1408037	60592000	1	108644877	57318345
636	1427761	18368000	1	110166758	57441801
637	1447742	21184000	1	111708504	57565257
638	1467983	60640000	1	113270340	57688713
639	1488488	51664000	1	114852509	57812169
640	1509259	98816000	1	116455246	57935625
641	1530301	28688000	1	118078803	58059081
642	1551615	53616000	1	119723421	58182537
643	1573205	87232000	1	121389342	58305993
644	1595075	75568000	1	123076833	58429449
645	1617228	29664000	1	124786134	58552905
646	1639666	89072000	1	126517507	58676361
647	1662394	98528000	1	128271218	58799817
648	1685415	78144000	1	130047514	58923273
649	1708732	86912000	1	131846672	59046729
650	1732349	69568000	1	133668958	59170185
651	1756269	72144000	1	135514639	59293641
652	1780496	54928000	1	137383993	59417097
653	1805033	61360000	1	139277285	59540553
654	1829884	65984000	1	141194804	59664009
655	1855053	38160000	1	143136835	59787465
656	1880543	38176000	1	145103656	59910921
657	1906358	35392000	1	147095552	60034377
658	1932502	14720000	1	149112820	60157833
659	1958978	58480000	1	151155755	60281289
660	1985791	43808000	1	153224648	60404745
661	2012944	65984000	1	155319804	60528201
662	2040442	8624000	1	157441519	60651657
663	2068287	85152000	1	159590112	60775113
664	2096485	75296000	1	161765876	60898569
665	2125040	9328000	1	163969143	61022025
666	2153954	74752000	1	166200212	61145481
667	2183233	88880000	1	168459405	61268937
668	2212881	74208000	1	170747048	61392393
669	2242902	55824000	1	173063469	61515849
670	2273300	54928000	1	175408993	61639305
671	2304080	4384000	1	177783954	61762761
672	2335245	39648000	1	180188688	61886217
673	2366801	2656000	1	182623536	62009673
674	2398751	26272000	1	185088832	62133129
675	2431100	70576000	1	187584931	62256585
676	2463853	86576000	1	190112181	62380041
677	2497015	29168000	1	192670933	62503497
678	2530589	59728000	1	195261543	62626953
679	2564581	39632000	1	197884367	62750409
680	2598995	60064000	1	200539784	62873865
681	2633836	90176000	1	203228156	62997321
682	2669109	95232000	1	205949842	63120777
683	2704819	76784000	1	208705229	63244233
684	2740971	27312000	1	211494697	63367689
685	2777569	36704000	1	214318624	63491145
686	2814619	6512000	1	217177397	63614601
687	2852125	43472000	1	220071407	63738057
688	2890093	58208000	1	223001048	63861513
689	2928528	76896000	1	225966726	63984969
690	2967435	98496000	1	228968826	64108425
691	3006820	76400000	1	232007775	64231881
692	3046688	21232000	1	235083967	64355337
693	3087043	85088000	1	238197828	64478793
694	3127893	5808000	1	241349773	64602249
695	3169241	25120000	1	244540220	64725705
696	3211094	304000	1	247769599	64849161
697	3253456	93824000	1	251038344	64972617
698	3296335	70736000	1	254346891	65096073
699	3339735	93504000	1	257695674	65219529
700	3383663	47920000	1	261085145	65342985
701	3428124	4224000	1	264515744	65466441
702	3473123	57280000	1	267987930	65589897
703	3518668	656000	1	271502161	65713353
704	3564763	27920000	1	275058895	65836809
705	3611415	39120000	1	278658595	65960265
706	3658630	64112000	1	282301747	66083721
707	3706414	99056000	1	285988811	66207177
708	3754774	84176000	1	289720281	66330633
709	3803716	40256000	1	293496636	66454089
710	3853245	91968000	1	297318358	66577545
711	3903369	93792000	1	301185952	66701001
712	3954094	82064000	1	305099909	66824457
713	4005427	30704000	1	309060749	66947913
714	4057373	77344000	1	313068964	67071369
715	4109940	97200000	1	317125075	67194825
716	4163135	59008000	1	321229598	67318281
717	4216964	60016000	1	325383071	67441737
718	4271434	57296000	1	329586001	67565193
719	4326552	61056000	1	333838936	67688649
720	4382325	73728000	1	338142418	67812105
721	4438760	92560000	1	342496985	67935561
722	4495865	44608000	1	346903198	68059017
723	4553646	27120000	1	351361595	68182473
724	4612110	76224000	1	355872744	68305929
725	4671266	26752000	1	360437212	68429385
726	4731120	27792000	1	365055577	68552841
727	4791680	11584000	1	369728404	68676297
728	4852953	51840000	1	374456290	68799753
729	4914947	83392000	1	379239802	68923209
730	4977671	1984000	1	384079554	69046665
731	5041130	77440000	1	388976140	69170121
732	5105334	86064000	1	393930159	69293577
733	5170291	21008000	1	398942223	69417033
734	5236007	80608000	1	404012948	69540489
735	5302492	85232000	1	409142967	69663945
736	5369754	35808000	1	414332898	69787401
737	5437800	61776000	1	419583381	69910857
738	5506639	79616000	1	424895046	70034313
739	5576280	44688000	1	430268553	70157769
740	5646730	85136000	1	435704541	70281225
741	5717999	71872000	1	441203682	70404681
742	5790095	57664000	1	446766634	70528137
743	5863027	1760000	1	452394060	70651593
744	5936803	10064000	1	458086659	70775049
745	6011432	44416000	1	463845096	70898505
746	6086923	95168000	1	469670058	71021961
747	6163286	91552000	1	475562262	71145417
748	6240530	27808000	1	481522398	71268873
749	6318663	17616000	1	487551171	71392329
750	6397695	10944000	1	493649314	71515785
751	6477635	9808000	1	499817523	71639241
752	6558493	4352000	1	506056562	71762697
753	6640278	13440000	1	512367140	71886153
754	6723000	14256000	1	518750011	72009609
755	6806668	80096000	1	525205926	72133065
756	6891293	79072000	1	531735632	72256521
757	6976885	24656000	1	538339911	72379977
758	7063452	99216000	1	545019521	72503433
759	7151007	21408000	1	551775248	72626889
760	7239558	816000	1	558607871	72750345
761	7329115	74240000	1	565518190	72873801
762	7419690	66816000	1	572506996	72997257
763	7511293	41264000	1	579575109	73120713
764	7603934	29200000	1	586723325	73244169
765	7697624	24448000	1	593952488	73367625
766	7792373	71584000	1	601263404	73491081
767	7888193	96832000	1	608656942	73614537
768	7985095	47360000	1	616133910	73737993
769	8083089	67536000	1	623695191	73861449
770	8182187	64144000	1	631341639	73984905
771	8282400	53040000	1	639074115	74108361
772	8383739	74704000	1	646893499	74231817
773	8486216	63136000	1	654800666	74355273
774	8589843	5472000	1	662796532	74478729
