int	int	string	int	int	int[]	int	int	int	string	string	string	int
209	2	强化	1	70	0	480	60840	75559	装备强化	穿戴装备累计强化等级达到<color=#fa0101>480级</color>	QianghuaIcon_a	116
210	2	强化	1	70	0	560	75559	91995	装备强化	穿戴装备累计强化等级达到<color=#fa0101>560级</color>	QianghuaIcon_a	116
211	2	强化	1	70	0	640	91995	110317	装备强化	穿戴装备累计强化等级达到<color=#fa0101>640级</color>	QianghuaIcon_a	116
212	2	强化	1	70	0	720	110317	130699	装备强化	穿戴装备累计强化等级达到<color=#fa0101>720级</color>	QianghuaIcon_a	116
213	2	强化	1	70	0	800	130699	153322	装备强化	穿戴装备累计强化等级达到<color=#fa0101>800级</color>	QianghuaIcon_a	116
214	2	强化	1	70	0	880	153322	178373	装备强化	穿戴装备累计强化等级达到<color=#fa0101>880级</color>	QianghuaIcon_a	116
215	2	强化	1	70	0	960	178373	206047	装备强化	穿戴装备累计强化等级达到<color=#fa0101>960级</color>	QianghuaIcon_a	116
216	2	强化	1	70	0	1040	206047	236543	装备强化	穿戴装备累计强化等级达到<color=#fa0101>1040级</color>	QianghuaIcon_a	116
217	2	强化	1	70	0	1120	236543	270067	装备强化	穿戴装备累计强化等级达到<color=#fa0101>1120级</color>	QianghuaIcon_a	116
218	2	强化	1	70	0	1200	270067	306832	装备强化	穿戴装备累计强化等级达到<color=#fa0101>1200级</color>	QianghuaIcon_a	116
219	2	强化	1	70	0	1280	306832	433823	装备强化	穿戴装备累计强化等级达到<color=#fa0101>1280级</color>	QianghuaIcon_a	116
220	2	强化	1	70	0	1700	433823	488713	装备强化	穿戴装备累计强化等级达到<color=#fa0101>1700级</color>	QianghuaIcon_a	116
221	2	强化	1	70	0	1800	488713	548501	装备强化	穿戴装备累计强化等级达到<color=#fa0101>1800级</color>	QianghuaIcon_a	116
222	2	强化	1	70	0	1900	548501	613485	装备强化	穿戴装备累计强化等级达到<color=#fa0101>1900级</color>	QianghuaIcon_a	116
223	2	强化	1	70	0	2000	613485	613485	装备强化	穿戴装备累计强化等级达到<color=#fa0101>2000级</color>	QianghuaIcon_a	116
301	8	坐骑	8	70	5	1	4000	8000	坐骑驯养	<color=#fa0101>1只</color>坐骑达到<color=#fa0101>5阶</color>	ZuoqiIcon_a	32
302	8	坐骑	8	70	10	1	8000	12000	学习坐骑技能	<color=#fa0101>1只</color>坐骑达到<color=#fa0101>10阶</color>	ZuoqiIcon_a	32
303	8	坐骑	8	70	15	1	12000	32000	坐骑驯养	<color=#fa0101>1只</color>坐骑达到<color=#fa0101>15阶</color>	ZuoqiIcon_a	32
304	8	坐骑	8	70	20	1	32000	20500	解锁更多坐骑	<color=#fa0101>1只</color>坐骑达到<color=#fa0101>20阶</color>	ZuoqiIcon_a	32
305	8	坐骑	8	70	5	2	20500	25000	坐骑驯养	<color=#fa0101>2只</color>坐骑达到<color=#fa0101>5阶</color>	ZuoqiIcon_a	32
306	8	坐骑	8	70	10	2	25000	29500	坐骑驯养	<color=#fa0101>2只</color>坐骑达到<color=#fa0101>10阶</color>	ZuoqiIcon_a	32
307	8	坐骑	8	70	15	2	29500	52000	学习坐骑技能	<color=#fa0101>2只</color>坐骑达到<color=#fa0101>15阶</color>	ZuoqiIcon_a	32
308	8	坐骑	8	70	20	2	52000	40000	坐骑驯养	<color=#fa0101>2只</color>坐骑达到<color=#fa0101>20阶</color>	ZuoqiIcon_a	32
309	8	坐骑	8	70	5	6	40000	46000	学习坐骑技能	<color=#fa0101>6只</color>坐骑达到<color=#fa0101>5阶</color>	ZuoqiIcon_a	32
310	8	坐骑	8	70	10	3	46000	52000	坐骑驯养	<color=#fa0101>3只</color>坐骑达到<color=#fa0101>10阶</color>	ZuoqiIcon_a	32
311	8	坐骑	8	70	15	3	52000	82000	坐骑驯养	<color=#fa0101>3只</color>坐骑达到<color=#fa0101>15阶</color>	ZuoqiIcon_a	32
312	8	坐骑	8	70	20	3	82000	67000	坐骑驯养	<color=#fa0101>3只</color>坐骑达到<color=#fa0101>20阶</color>	ZuoqiIcon_a	32
313	8	坐骑	8	70	5	4	67000	76000	坐骑驯养	<color=#fa0101>4只</color>坐骑达到<color=#fa0101>5阶</color>	ZuoqiIcon_a	32
314	8	坐骑	8	70	10	4	76000	85000	坐骑驯养	<color=#fa0101>4只</color>坐骑达到<color=#fa0101>10阶</color>	ZuoqiIcon_a	32
315	8	坐骑	8	70	15	4	85000	130000	坐骑驯养	<color=#fa0101>4只</color>坐骑达到<color=#fa0101>15阶</color>	ZuoqiIcon_a	32
316	8	坐骑	8	70	20	4	130000	104000	坐骑驯养	<color=#fa0101>4只</color>坐骑达到<color=#fa0101>20阶</color>	ZuoqiIcon_a	32
317	8	坐骑	8	70	5	5	104000	114000	坐骑驯养	<color=#fa0101>5只</color>坐骑达到<color=#fa0101>5阶</color>	ZuoqiIcon_a	32
318	8	坐骑	8	70	10	5	114000	124000	坐骑驯养	<color=#fa0101>5只</color>坐骑达到<color=#fa0101>10阶</color>	ZuoqiIcon_a	32
319	8	坐骑	8	70	15	5	124000	174000	坐骑驯养	<color=#fa0101>5只</color>坐骑达到<color=#fa0101>15阶</color>	ZuoqiIcon_a	32
320	8	坐骑	8	70	20	5	174000	146500	坐骑驯养	<color=#fa0101>5只</color>坐骑达到<color=#fa0101>20阶</color>	ZuoqiIcon_a	32
321	8	坐骑	8	70	5	6	146500	159000	坐骑驯养	<color=#fa0101>6只</color>坐骑达到<color=#fa0101>5阶</color>	ZuoqiIcon_a	32
322	8	坐骑	8	70	10	6	159000	171500	坐骑驯养	<color=#fa0101>6只</color>坐骑达到<color=#fa0101>10阶</color>	ZuoqiIcon_a	32
323	8	坐骑	8	70	15	6	171500	234000	坐骑驯养	<color=#fa0101>6只</color>坐骑达到<color=#fa0101>15阶</color>	ZuoqiIcon_a	32
324	8	坐骑	8	70	20	6	234000	234000	坐骑驯养	<color=#fa0101>6只</color>坐骑达到<color=#fa0101>20阶</color>	ZuoqiIcon_a	32
401	7	灵宠	6	70	2|5	1	6745	10297	灵宠进化	<color=#fa0101>1只</color>灵宠达到<color=#fa0101>5阶</color>	PetIcon_a	33
402	7	灵宠	6	70	2|10	1	10297	13896	灵宠进化	<color=#fa0101>1只</color>灵宠达到<color=#fa0101>10阶</color>	PetIcon_a	33
403	7	灵宠	6	70	2|15	1	13896	25545	灵宠厩升级	<color=#fa0101>1只</color>灵宠达到<color=#fa0101>15阶</color>	PetIcon_a	33
404	7	灵宠	6	70	2|20	1	25545	22620	解锁更多灵宠	<color=#fa0101>1只</color>灵宠达到<color=#fa0101>20阶</color>	PetIcon_a	33
405	7	灵宠	6	70	2|5	2	22620	27827	灵宠进化	<color=#fa0101>2只</color>灵宠达到<color=#fa0101>5阶</color>	PetIcon_a	33
406	7	灵宠	6	70	2|10	2	27827	33176	灵宠厩升级	<color=#fa0101>2只</color>灵宠达到<color=#fa0101>10阶</color>	PetIcon_a	33
407	7	灵宠	6	70	2|15	2	33176	48679	灵宠进化	<color=#fa0101>2只</color>灵宠达到<color=#fa0101>15阶</color>	PetIcon_a	33
408	7	灵宠	6	70	2|20	2	48679	45350	灵宠进化	<color=#fa0101>2只</color>灵宠达到<color=#fa0101>20阶</color>	PetIcon_a	33
409	7	灵宠	6	70	2|5	3	45350	51063	解锁更多灵宠	<color=#fa0101>3只</color>灵宠达到<color=#fa0101>5阶</color>	PetIcon_a	33
410	7	灵宠	6	70	2|10	3	51063	56859	灵宠厩升级	<color=#fa0101>3只</color>灵宠达到<color=#fa0101>10阶</color>	PetIcon_a	33
411	7	灵宠	6	70	2|15	3	56859	76744	灵宠进化	<color=#fa0101>3只</color>灵宠达到<color=#fa0101>15阶</color>	PetIcon_a	33
412	7	灵宠	6	70	2|20	3	76744	68220	灵宠进化	<color=#fa0101>3只</color>灵宠达到<color=#fa0101>20阶</color>	PetIcon_a	33
413	7	灵宠	6	70	2|5	4	68220	73792	灵宠进化	<color=#fa0101>4只</color>灵宠达到<color=#fa0101>5阶</color>	PetIcon_a	33
414	7	灵宠	6	70	2|10	4	73792	79464	灵宠进化	<color=#fa0101>4只</color>灵宠达到<color=#fa0101>10阶</color>	PetIcon_a	33
415	7	灵宠	6	70	2|15	4	79464	97240	灵宠进化	<color=#fa0101>4只</color>灵宠达到<color=#fa0101>15阶</color>	PetIcon_a	33
416	7	灵宠	6	70	2|20	4	97240	92125	灵宠进化	<color=#fa0101>4只</color>灵宠达到<color=#fa0101>20阶</color>	PetIcon_a	33
417	7	灵宠	6	70	2|5	5	92125	99123	灵宠进化	<color=#fa0101>5只</color>灵宠达到<color=#fa0101>5阶</color>	PetIcon_a	33
418	7	灵宠	6	70	2|10	5	99123	106238	灵宠进化	<color=#fa0101>5只</color>灵宠达到<color=#fa0101>10阶</color>	PetIcon_a	33
419	7	灵宠	6	70	2|15	5	106238	129475	灵宠进化	<color=#fa0101>5只</color>灵宠达到<color=#fa0101>15阶</color>	PetIcon_a	33
420	7	灵宠	6	70	2|20	5	129475	123088	灵宠进化	<color=#fa0101>5只</color>灵宠达到<color=#fa0101>20阶</color>	PetIcon_a	33
421	7	灵宠	6	70	2|5	6	123088	132832	灵宠进化	<color=#fa0101>6只</color>灵宠达到<color=#fa0101>5阶</color>	PetIcon_a	33
422	7	灵宠	6	70	2|10	6	132832	142711	灵宠进化	<color=#fa0101>6只</color>灵宠达到<color=#fa0101>10阶</color>	PetIcon_a	33
423	7	灵宠	6	70	2|15	6	142711	177731	灵宠进化	<color=#fa0101>6只</color>灵宠达到<color=#fa0101>15阶</color>	PetIcon_a	33
424	7	灵宠	6	70	2|20	6	177731	177731	灵宠进化	<color=#fa0101>6只</color>灵宠达到<color=#fa0101>20阶</color>	PetIcon_a	33
501	12	符印	9	150	10	1	4680	7770	镶嵌紫色符印	镶嵌<color=#fa0101>1个</color>符印且符印总等级达到<color=#fa0101>10级</color>	FuYinIcon_a	22
502	12	符印	9	150	20	1	7770	12150	解锁更多符印槽	镶嵌<color=#fa0101>1个</color>符印且符印总等级达到<color=#fa0101>20级</color>	FuYinIcon_a	22
503	12	符印	9	150	30	2	12150	15540	符印升级	镶嵌<color=#fa0101>2个</color>符印且符印总等级达到<color=#fa0101>30级</color>	FuYinIcon_a	22
504	12	符印	9	150	40	2	15540	19620	镶嵌橙色符印	镶嵌<color=#fa0101>2个</color>符印且符印总等级达到<color=#fa0101>40级</color>	FuYinIcon_a	22
505	12	符印	9	150	50	2	19620	24480	符印升级	镶嵌<color=#fa0101>2个</color>符印且符印总等级达到<color=#fa0101>50级</color>	FuYinIcon_a	22
506	12	符印	9	150	60	2	24480	26865	解锁更多符印槽	镶嵌<color=#fa0101>2个</color>符印且符印总等级达到<color=#fa0101>60级</color>	FuYinIcon_a	22
507	12	符印	9	150	70	3	26865	32175	符印升级	镶嵌<color=#fa0101>3个</color>符印且符印总等级达到<color=#fa0101>70级</color>	FuYinIcon_a	22
508	12	符印	9	150	80	3	32175	36720	解锁更多符印槽	镶嵌<color=#fa0101>3个</color>符印且符印总等级达到<color=#fa0101>80级</color>	FuYinIcon_a	22
509	12	符印	9	150	90	3	36720	39240	符印升级	镶嵌<color=#fa0101>3个</color>符印且符印总等级达到<color=#fa0101>90级</color>	FuYinIcon_a	22
510	12	符印	9	150	100	4	39240	44880	解锁更多符印槽	镶嵌<color=#fa0101>4个</color>符印且符印总等级达到<color=#fa0101>100级</color>	FuYinIcon_a	22
511	12	符印	9	150	110	4	44880	48960	符印升级	镶嵌<color=#fa0101>4个</color>符印且符印总等级达到<color=#fa0101>110级</color>	FuYinIcon_a	22
512	12	符印	9	150	120	4	48960	51300	符印升级	镶嵌<color=#fa0101>4个</color>符印且符印总等级达到<color=#fa0101>120级</color>	FuYinIcon_a	22
513	12	符印	9	150	130	5	51300	56100	符印升级	镶嵌<color=#fa0101>5个</color>符印且符印总等级达到<color=#fa0101>130级</color>	FuYinIcon_a	22
514	12	符印	9	150	140	5	56100	61200	符印升级	镶嵌<color=#fa0101>5个</color>符印且符印总等级达到<color=#fa0101>140级</color>	FuYinIcon_a	22
515	12	符印	9	150	150	5	61200	64350	符印升级	镶嵌<color=#fa0101>5个</color>符印且符印总等级达到<color=#fa0101>150级</color>	FuYinIcon_a	22
516	12	符印	9	150	160	6	64350	67320	符印升级	镶嵌<color=#fa0101>6个</color>符印且符印总等级达到<color=#fa0101>160级</color>	FuYinIcon_a	22
517	12	符印	9	150	170	6	67320	73440	符印升级	镶嵌<color=#fa0101>6个</color>符印且符印总等级达到<color=#fa0101>170级</color>	FuYinIcon_a	22
518	12	符印	9	150	180	6	73440	75075	符印升级	镶嵌<color=#fa0101>6个</color>符印且符印总等级达到<color=#fa0101>180级</color>	FuYinIcon_a	22
519	12	符印	9	150	190	7	75075	82005	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>190级</color>	FuYinIcon_a	22
520	12	符印	9	150	200	7	82005	85680	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>200级</color>	FuYinIcon_a	22
521	12	符印	9	150	210	7	85680	89760	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>210级</color>	FuYinIcon_a	22
522	12	符印	9	150	220	7	89760	93720	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>220级</color>	FuYinIcon_a	22
523	12	符印	9	150	230	7	93720	97920	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>230级</color>	FuYinIcon_a	22
524	12	符印	9	150	240	7	97920	102120	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>240级</color>	FuYinIcon_a	22
525	12	符印	9	150	250	7	102120	111120	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>250级</color>	FuYinIcon_a	22
526	12	符印	9	150	260	7	111120	115800	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>260级</color>	FuYinIcon_a	22
527	12	符印	9	150	270	7	115800	120720	符印升级	镶嵌<color=#fa0101>7个</color>符印且符印总等级达到<color=#fa0101>270级</color>	FuYinIcon_a	22
528	12	符印	9	150	280	8	120720	125640	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>280级</color>	FuYinIcon_a	22
529	12	符印	9	150	290	8	125640	136080	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>290级</color>	FuYinIcon_a	22
530	12	符印	9	150	300	8	136080	141600	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>300级</color>	FuYinIcon_a	22
531	12	符印	9	150	310	8	141600	147240	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>310级</color>	FuYinIcon_a	22
532	12	符印	9	150	320	8	147240	153000	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>320级</color>	FuYinIcon_a	22
533	12	符印	9	150	330	8	153000	165000	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>330级</color>	FuYinIcon_a	22
534	12	符印	9	150	340	8	165000	171360	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>340级</color>	FuYinIcon_a	22
535	12	符印	9	150	350	8	171360	177840	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>350级</color>	FuYinIcon_a	22
536	12	符印	9	150	360	8	177840	184440	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>360级</color>	FuYinIcon_a	22
537	12	符印	9	150	370	8	184440	198240	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>370级</color>	FuYinIcon_a	22
538	12	符印	9	150	380	8	198240	205320	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>380级</color>	FuYinIcon_a	22
539	12	符印	9	150	390	8	205320	212760	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>390级</color>	FuYinIcon_a	22
540	12	符印	9	150	400	8	212760	212760	符印升级	镶嵌<color=#fa0101>8个</color>符印且符印总等级达到<color=#fa0101>400级</color>	FuYinIcon_a	22
601	3	宝石	2	150	0	32	10877	16316	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>32级</color>	icon_Attack_gems9	13
602	3	宝石	2	150	0	64	16316	24474	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>64级</color>	icon_Attack_gems9	13
603	3	宝石	2	150	0	96	24474	48099	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>96级</color>	icon_Attack_gems9	13
604	3	宝石	2	150	0	128	48099	82071	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>128级</color>	icon_Attack_gems9	13
605	3	宝石	2	150	0	160	82071	140135	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>160级</color>	icon_Attack_gems9	13
606	3	宝石	2	150	0	192	140135	432133	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>192级</color>	icon_Attack_gems9	13
607	3	宝石	2	150	0	224	432133	639193	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>224级</color>	icon_Attack_gems9	13
608	3	宝石	2	150	0	256	639193	961884	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>256级</color>	icon_Attack_gems9	13
609	3	宝石	2	150	0	288	961884	1082119	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>288级</color>	icon_Attack_gems9	13
610	3	宝石	2	150	0	324	1082119	1202355	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>324级</color>	icon_Attack_gems9	13
611	3	宝石	2	150	0	360	1202355	1202355	宝石推荐战力：	累计镶嵌宝石等级至<color=#fa0101>360级</color>	icon_Attack_gems9	13
701	9	境界	12	150	0	1	9300	19700	练气	提升境界至<color=#fa0101>锻体</color>	TY_GN_7	48
702	9	境界	12	150	0	2	19700	31600	凝神	提升境界至<color=#fa0101>练气</color>	TY_GN_7	48
703	9	境界	12	150	0	3	31600	58511	筑基	提升境界至<color=#fa0101>凝神</color>	TY_GN_7	48
704	9	境界	12	150	0	4	58511	72911	开光	提升境界至<color=#fa0101>筑基</color>	TY_GN_7	48
705	9	境界	12	150	0	5	72911	88911	融合	提升境界至<color=#fa0101>辟谷</color>	TY_GN_7	48
706	9	境界	12	150	0	6	88911	106911	金丹	提升境界至<color=#fa0101>开光</color>	TY_GN_7	48
707	9	境界	12	150	0	7	106911	169558	旋照	提升境界至<color=#fa0101>融合</color>	TY_GN_7	48
708	9	境界	12	150	0	8	169558	191858	灵寂	提升境界至<color=#fa0101>金丹</color>	TY_GN_7	48
709	9	境界	12	150	0	9	191858	216258	元婴	提升境界至<color=#fa0101>旋照</color>	TY_GN_7	48
710	9	境界	12	150	0	10	216258	243558	出窍	提升境界至<color=#fa0101>心动</color>	TY_GN_7	48
711	9	境界	12	150	0	11	243558	424219	离识	提升境界至<color=#fa0101>灵寂</color>	TY_GN_7	48
712	9	境界	12	150	0	12	424219	457519	化神	提升境界至<color=#fa0101>元婴</color>	TY_GN_7	48
713	9	境界	12	150	0	13	457519	494619	洞虚	提升境界至<color=#fa0101>婴变</color>	TY_GN_7	48
714	9	境界	12	150	0	14	494619	535419	合体	提升境界至<color=#fa0101>出窍</color>	TY_GN_7	48
715	9	境界	12	150	0	15	535419	924903	合体	提升境界至<color=#fa0101>离识</color>	TY_GN_7	48
716	9	境界	12	150	0	16	924903	974103	合体	提升境界至<color=#fa0101>化神</color>	TY_GN_7	48
717	9	境界	12	150	0	17	974103	1021335	合体	提升境界至<color=#fa0101>洞虚</color>	TY_GN_7	48
718	9	境界	12	150	0	18	1021335	1263362	合体	提升境界至<color=#fa0101>合体</color>	TY_GN_7	48
719	9	境界	12	150	0	19	1263362	1328162	合体	提升境界至<color=#fa0101>大乘</color>	TY_GN_7	48
720	9	境界	12	150	0	20	1328162	1398562	合体	提升境界至<color=#fa0101>返虚</color>	TY_GN_7	48
721	9	境界	12	150	0	21	1398562	1888829	合体	提升境界至<color=#fa0101>渡劫</color>	TY_GN_7	48
722	9	境界	12	150	0	22	1888829	1972029	合体	提升境界至<color=#fa0101>仙人</color>	TY_GN_7	48
723	9	境界	12	150	0	23	1972029	2062529	合体	提升境界至<color=#fa0101>真仙</color>	TY_GN_7	48
724	9	境界	12	150	0	24	2062529	2804210	合体	提升境界至<color=#fa0101>金仙</color>	TY_GN_7	48
725	9	境界	12	150	0	25	2804210	2909910	合体	提升境界至<color=#fa0101>仙君</color>	TY_GN_7	48
726	9	境界	12	150	0	26	2909910	3024310	合体	提升境界至<color=#fa0101>仙王</color>	TY_GN_7	48
727	9	境界	12	150	0	27	3024310	3024310	合体	提升境界至<color=#fa0101>仙皇</color>	TY_GN_7	48
801	10	神兵	20	200	1	20	11295	23475	神兵推荐战力：	生命神兵提升至<color=#fa0101>20阶</color>	TY_GN_28	4
802	10	神兵	20	200	2	20	23475	32667	神兵推荐战力：	攻击神兵提升至<color=#fa0101>20阶</color>	TY_GN_28	4
803	10	神兵	20	200	1	40	32667	36347	神兵推荐战力：	生命神兵提升至<color=#fa0101>40阶</color>	TY_GN_28	4
804	10	神兵	20	200	2	40	36347	47166	神兵推荐战力：	攻击神兵提升至<color=#fa0101>40阶</color>	TY_GN_28	4
805	10	神兵	20	200	1	60	47166	51246	神兵推荐战力：	生命神兵提升至<color=#fa0101>60阶</color>	TY_GN_28	4
806	10	神兵	20	200	2	60	51246	63873	神兵推荐战力：	攻击神兵提升至<color=#fa0101>60阶</color>	TY_GN_28	4
807	10	神兵	20	200	1	80	63873	68413	神兵推荐战力：	生命神兵提升至<color=#fa0101>80阶</color>	TY_GN_28	4
808	10	神兵	20	200	2	80	68413	85492	神兵推荐战力：	攻击神兵提升至<color=#fa0101>80阶</color>	TY_GN_28	4
809	10	神兵	20	200	1	100	85492	88092	神兵推荐战力：	生命神兵提升至<color=#fa0101>100阶</color>	TY_GN_28	4
810	10	神兵	20	200	2	100	88092	104885	神兵推荐战力：	攻击神兵提升至<color=#fa0101>100阶</color>	TY_GN_28	4
811	10	神兵	20	200	1	120	104885	110485	神兵推荐战力：	生命神兵提升至<color=#fa0101>120阶</color>	TY_GN_28	4
812	10	神兵	20	200	2	120	110485	129634	神兵推荐战力：	攻击神兵提升至<color=#fa0101>120阶</color>	TY_GN_28	4
813	10	神兵	20	200	1	140	129634	135834	神兵推荐战力：	生命神兵提升至<color=#fa0101>140阶</color>	TY_GN_28	4
814	10	神兵	20	200	2	140	135834	157523	神兵推荐战力：	攻击神兵提升至<color=#fa0101>140阶</color>	TY_GN_28	4
815	10	神兵	20	200	1	160	157523	164363	神兵推荐战力：	生命神兵提升至<color=#fa0101>160阶</color>	TY_GN_28	4
