int	int	int	int	string
213	2	13	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
214	2	14	0	{"1":[[4010,2,1],[105,1,1],[3513,1,1]],"2":[[4010,2,1],[105,1,1],[3513,1,1]],"3":[[4010,2,1],[105,1,1],[3513,1,1]]}
215	2	15	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
216	2	16	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
217	2	17	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
218	2	18	0	{"1":[[4010,2,1],[102,1,1],[3503,1,1]],"2":[[4010,2,1],[102,1,1],[3503,1,1]],"3":[[4010,2,1],[102,1,1],[3503,1,1]]}
219	2	19	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
220	2	20	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
221	2	21	0	{"1":[[4010,2,1],[105,1,1],[3513,1,1]],"2":[[4010,2,1],[105,1,1],[3513,1,1]],"3":[[4010,2,1],[105,1,1],[3513,1,1]]}
222	2	22	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
223	2	23	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
224	2	24	0	{"1":[[4010,2,1],[102,1,1],[3502,1,1]],"2":[[4010,2,1],[102,1,1],[3502,1,1]],"3":[[4010,2,1],[102,1,1],[3502,1,1]]}
225	2	25	0	{"1":[[4010,2,1],[102,1,1],[3503,1,1]],"2":[[4010,2,1],[102,1,1],[3503,1,1]],"3":[[4010,2,1],[102,1,1],[3503,1,1]]}
226	2	26	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
227	2	27	0	{"1":[[4010,2,1],[105,1,1],[3512,1,1]],"2":[[4010,2,1],[105,1,1],[3512,1,1]],"3":[[4010,2,1],[105,1,1],[3512,1,1]]}
228	2	28	0	{"1":[[4010,2,1],[105,1,1],[3513,1,1]],"2":[[4010,2,1],[105,1,1],[3513,1,1]],"3":[[4010,2,1],[105,1,1],[3513,1,1]]}
301	3	0	0	{"1":[[30,680,0]], "2":[[30,1280,0]], "3":[[30,1880,0]]}
302	3	0	150	{"1":[[30,180,0]], "2":[[30,300,0]], "3":[[30,420,0]]}
303	3	0	180	{"1":[[30,240,0]], "2":[[30,420,0]], "3":[[30,600,0]]}
304	3	0	210	{"1":[[30,300,0]], "2":[[30,540,0]], "3":[[30,780,0]]}
305	3	0	240	{"1":[[30,360,0]], "2":[[30,660,0]], "3":[[30,960,0]]}
306	3	0	260	{"1":[[30,420,0]], "2":[[30,780,0]], "3":[[30,1140,0]]}
307	3	0	280	{"1":[[30,480,0]], "2":[[30,900,0]], "3":[[30,1320,0]]}
308	3	0	300	{"1":[[30,540,0]], "2":[[30,1020,0]], "3":[[30,1500,0]]}
309	3	0	320	{"1":[[30,600,0]], "2":[[30,1140,0]], "3":[[30,1680,0]]}
310	3	0	340	{"1":[[30,660,0]], "2":[[30,1260,0]], "3":[[30,1860,0]]}
311	3	0	360	{"1":[[30,720,0]], "2":[[30,1380,0]], "3":[[30,2040,0]]}
312	3	0	380	{"1":[[30,780,0]], "2":[[30,1500,0]], "3":[[30,2220,0]]}
313	3	0	400	{"1":[[30,840,0]], "2":[[30,1620,0]], "3":[[30,2400,0]]}
