int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	string	string	string	int	int
202	普通攻击	202	1	1	4	8	0	1	0	0	12	13	40	7	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_202	-	普通攻击	普通攻击	-	12	0
203	普通攻击	203	1	1	4	8	0	1	0	0	12	13	40	7	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_203	-	普通攻击	普通攻击	-	13	0
250	雷动九天	250	1	1	4	1	0	13	0	0	16	0	40	4	0	60000	0	0	0	0	0	1060	50105018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	TB_JN_ZD_250	-	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	龙雀环	26	0
251	雷动伤害	251	1	1	4	1	0	1	0	0	2	13	80	0	0	1000	0	0	0	0	0	1010	15000	0	0	9999	1000	0	0	1200	10	0	0	1009	50000	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	TB_JN_ZD_250	-	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	(PVE)召唤大范围烈火,对周围<color=#109d06FF>10</color>个怪物造成<color=#109d06FF>3</color>次伤害，每次造成<color=#109d06FF>150%</color>技能伤害(对野外小怪每次附加<color=#109d06FF>500%</color>技能伤害)	龙雀环	21	0
300	普通攻击	300	1	1	8	8	0	1	0	0	12	13	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_300	-	普通攻击	普通攻击	-	10	0
301	普通攻击	301	1	1	8	8	0	1	0	0	12	13	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_301	-	普通攻击	普通攻击	-	11	0
302	普通攻击	302	1	1	8	8	0	1	0	0	12	13	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_302	-	普通攻击	普通攻击	-	12	0
303	普通攻击	303	1	1	8	8	0	1	0	0	12	13	40	5	0	1000	0	0	0	0	0	1010	10000	0	0	1200	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	TB_JN_SB_303	-	普通攻击	普通攻击	-	13	0
350	万剑归宗	350	1	1	8	1	0	15	0	0	2	13	40	6	0	60000	0	0	0	0	0	1010	50000	0	0	1200	12	0	0	1009	150000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1839	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	TB_JN_ZD_350	-	召唤大范围飞剑，对周围12个目标造成<color=#109d06FF>500%</color>技能伤害(对野外小怪附加<color=#109d06FF>1000%</color>技能伤害)	人族法宝	龙雀环	12	0
1005	龙吟	1005	1	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	147	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>4%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>4%</color>	被动技能	0	0
1006	龙吟	1005	2	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	313	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>8%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>8%</color>	被动技能	0	0
1007	龙吟	1005	3	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	1200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	497	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>12%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>12%</color>	被动技能	0	0
1008	龙吟	1005	4	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	727	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>16%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>16%</color>	被动技能	0	0
1009	龙吟	1005	5	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	2000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	1003	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>20%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>20%</color>	被动技能	0	0
1010	龙吟	1005	6	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	2600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	1325	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>26%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>26%</color>	被动技能	0	0
1011	龙吟	1005	7	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	3200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	1693	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>32%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>32%</color>	被动技能	0	0
1012	龙吟	1005	8	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	3800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	2107	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>38%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>38%</color>	被动技能	0	0
1013	龙吟	1005	9	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	4400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	2567	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>44%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>44%</color>	被动技能	0	0
1014	龙吟	1005	10	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	5000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	3073	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>50%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>50%</color>	被动技能	0	0
1015	龙吟	1005	11	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	5800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	3625	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>58%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>58%</color>	被动技能	0	0
1016	龙吟	1005	12	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	6600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	4223	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>66%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>66%</color>	被动技能	0	0
1017	龙吟	1005	13	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	7400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	4867	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>74%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>74%</color>	被动技能	0	0
1018	龙吟	1005	14	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	8200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	5557	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>82%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>82%</color>	被动技能	0	0
1019	龙吟	1005	15	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	9000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	6293	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>90%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>90%</color>	被动技能	0	0
1020	龙吟	1005	16	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	10000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	7076	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>100%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>100%</color>	被动技能	0	0
1021	龙吟	1005	17	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	11000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	7905	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>110%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>110%</color>	被动技能	0	0
1022	龙吟	1005	18	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	12000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	8780	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>120%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>120%</color>	被动技能	0	0
1023	龙吟	1005	19	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	13000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	9701	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>130%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>130%</color>	被动技能	0	0
1024	龙吟	1005	20	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	14000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	10668	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>140%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>140%</color>	被动技能	0	0
1025	龙吟	1005	21	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	15200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	11681	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>152%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>152%</color>	被动技能	0	0
1026	龙吟	1005	22	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	16400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	12740	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>164%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>164%</color>	被动技能	0	0
1027	龙吟	1005	23	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	17600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	13845	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>176%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>176%</color>	被动技能	0	0
1028	龙吟	1005	24	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	18800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	14996	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>188%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>188%</color>	被动技能	0	0
1029	龙吟	1005	25	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4035	20000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	150	0	220	16193	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>200%</color>	灭世龙雀对野外小怪每次攻击附加技能伤害<color=#109d06FF>200%</color>	被动技能	0	0
1035	翱翔	1035	1	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	500	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>2%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>2%</color>暴击值	被动技能	0	0
1036	翱翔	1035	2	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	1063	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>4%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>4%</color>暴击值	被动技能	0	0
1037	翱翔	1035	3	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	1689	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>6%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>6%</color>暴击值	被动技能	0	0
1038	翱翔	1035	4	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	800	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	2471	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>8%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>8%</color>暴击值	被动技能	0	0
1039	翱翔	1035	5	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1000	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	3409	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>10%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>10%</color>暴击值	被动技能	0	0
1040	翱翔	1035	6	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	4504	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>13%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>13%</color>暴击值	被动技能	0	0
1041	翱翔	1035	7	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	5755	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>16%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>16%</color>暴击值	被动技能	0	0
1042	翱翔	1035	8	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	1900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	7163	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>19%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>19%</color>暴击值	被动技能	0	0
1043	翱翔	1035	9	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2200	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	8727	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>22%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>22%</color>暴击值	被动技能	0	0
1044	翱翔	1035	10	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2500	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	10447	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>25%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>25%</color>暴击值	被动技能	0	0
1045	翱翔	1035	11	25	2	3	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	4007	2900	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1005	15	220	12324	0	0	0	0	0	4	0	151	0	0	0	0	0	0	0	TB_JN_ZD_150	-	使用灭世龙雀时，每次暴击附加<color=#109d06FF>29%</color>暴击值	使用灭世龙雀时，每次暴击附加<color=#109d06FF>29%</color>暴击值	被动技能	0	0
