int	int	Vector3	int	int
31501001	31150	(126,76)	3	
31501002	31150	(137,102)	3	
31501003	31150	(103,101)	3	
31501004	31150	(72,87)	3	
31501005	31150	(60,134)	3	
31501006	31150	(170,157)	3	
31501007	31150	(116,169)	3	
31501008	31150	(79,180)	3	
31403001	31140	(14,15)	3	
60203001	52020	(16,19)	3	
60203002	52020	(16,19)	3	
60203003	52020	(16,19)	3	
60203004	52010	(16,19)	3	
60203005	52010	(16,19)	3	
60203006	52010	(16,19)	3	
60203007	52010	(16,19)	3	
60203008	52010	(16,19)	3	
60203009	52010	(16,19)	3	
60203010	52010	(16,19)	3	
60203011	52010	(16,19)	3	
60203012	52010	(16,19)	3	
60203013	52010	(16,19)	3	
60203014	52010	(16,19)	3	
60203015	52010	(16,19)	3	
60203016	52010	(16,19)	3	
60203017	52010	(16,19)	3	
60203018	52010	(16,19)	3	
60203019	52010	(16,19)	3	
60203020	52010	(16,19)	3	
