int	int	int	int	int	int	string	int	int[]	int	int[]	int	int	int	string	int
706	15		4333	1	1	[[913,1,1],[181,30,1],[14,1,1]]	0	0	0	1	1	288	0		
707	15		3513	1	1	[[3503,1,1],[912,5,1],[3,1,1]]	0	0	0	1	1	188	0		
708	15		3514	1	1	[[3504,1,1],[4151,5,1],[986,1,1]]	0	0	0	1	1	288	0		
709	15		960	3	1	[[986,1,1],[106,1,1],[4,1,1]]	0	0	0	1	1	188	0		
710	15		1003	1	1	[[913,1,1],[106,3,1],[4657,1,1]]	0	0	0	1	1	288	0		
711	15		4181	1	1	[[912,1,1],[103,2,1],[4501,10,1]]	0	0	0	1	1	188	0		
712	15		4184	1	1	[[913,1,1],[106,1,1],[2213,2,1]]	0	0	0	1	1	288	0		
713	15		4182	1	1	[[4,1,1],[103,1,1],[912,1,1]]	0	0	0	1	1	188	0		
714	15		196	1	1	[[913,1,1],[103,1,1],[4657,1,1]]	0	0	0	1	1	288	0		
751	16		4181	1	1	[[3,1,1],[4151,5,1],[13,2,1]]	0	0	0	1	1	98	0		
752	16		4185	1	1	[[913,1,1],[4151,10,1],[4,1,1]]	0	0	0	1	1	198	0		
753	17		912	1	1	[[4,1,1],[102,5,1],[923,1,1]]	0	0	0	1	1	98	0		
754	17		194	2	1	[[5,1,1],[102,5,1],[2213,1,1]]	0	0	0	1	1	198	0		
755	18		2213	2	1	[[912,1,1],[181,15,1],[13,1,1]]	0	0	0	1	1	98	0		
756	18		4333	1	1	[[913,1,1],[181,30,1],[14,1,1]]	0	0	0	1	1	198	0		
