int	int	int	int	int	string	string	string	string	int	int
101	110	0	0	0	上古战场		FuncNoOpen_SGZC1		1	0
102	100	0	0	0	聊天		FuncNoOpen_ChatLimit1		1	0
103	220	0	0	0	娲皇遗迹	娲皇神迹，闯关挑战，获潜力值，得熔彩石，提升技能等级。	FuncLimit_Level	DailyIcon_a	1	0
104	0	0	0	101010	神秘任务1		FuncLimit_Level		1	0
105	0	0	0	101100	神秘任务2		FuncLimit_Level		1	0
106	0	10200	0	0	人族法宝		FuncLimit_Level	Renzu_103	1	0
108	120	0	0	0	一键挂机		FuncLimit_Level		1	0
109	70	0	0	0	被动技能		FuncNoOpen_PassSkill1		1	0
110	1	0	0	0	首充		FuncNoOpen_Recharge1		1	0
111	110	0	0	0	仙盟联赛		FuncNoOpen_UnionMatch1		1	0
112	800	0	0	0	法宝铸炼		FuncLimit_Level		1	0
113	1	0	0	0	充值		FuncNoOpen_Recharge1	MoneyIcon_a	1	0
114	110	0	0	0	我要天机		FuncLimit_Level		1	0
115	52	0	0	0	七天登陆奖励开启		FuncNoOpen_SevenOnLine	FuLiIcon_a	1	0
116	60	0	0	0	等级礼包开启		FuncNoOpen_LVGift	FuLiIcon_a	1	0
117	2	0	0	0	Vip		FuncLimit_Level		1	0
118	0	0	0	0	仙玉投资		FuncLimit_Level		1	0
119	0	0	0	0	月卡投资		FuncLimit_Level		1	0
120	0	0	0	0	VIP投资		FuncLimit_Level		1	0
121	2	0	0	0	法宝开启		FuncLimit_Level	Renzu_102	1	0
122	30	0	0	0	让红包飞		FuncLimit_Level		1	0
123	100	0	0	0	装备分解		FuncNoOpen_EquipDevour1	TY_GN_37	1	0
124	95	0	0	0	仙宝寻主		FuncNoOpen_XBXZ1	TreasureFindHost	1	0
125	55	0	0	0	全民冲榜		FuncLimit_Level		1	0
126	150	0	0	0	法宝之魂		FuncNoOpen_TreasureSoul	TreasureSoul	1	0
127	100	0	0	0	日常界面用（封魔坛）	挑战魔坛Boss，掉落装备材料，勇争伤害第一，Boss双倍掉落。	FuncNoOpen_DaBao1	TY_GN_16	1	0
128	35	0	0	0	首充倒计时		FuncLimit_Level		1	0
129	120	0	0	0	广告功能		FuncLimit_Level		1	0
130	800	0	0	0	极品白拿		FuncLimit_Level		1	0
131	800	0	0	0	多倍经验活动		FuncLimit_Level		1	0
132	30	0	0	0	开服特惠		FuncLimit_Level		1	0
