int	int	int	string	string	int	int	int	int
125	1	124	7	1460	389000	3890	29761	1510124
126	1	125	7	1477	391900	3919	30180	1540304
127	1	126	7	1494	394800	3948	30603	1570907
128	1	127	7	1512	397800	3978	31030	1601937
129	1	128	7	1530	400700	4007	31460	1633397
130	1	129	7	1548	403700	4037	31894	1665291
131	1	130	7	1566	406600	4066	32332	1697623
132	1	131	7	1584	409600	4096	32773	1730396
133	1	132	7	1602	412600	4126	33217	1763613
134	1	133	7	1621	415600	4156	33666	1797279
135	1	134	7	1640	418600	4186	34118	1831397
136	1	135	7	1659	421600	4216	34574	1865971
137	1	136	7	1678	424600	4246	35033	1901004
138	1	137	7	1697	427600	4276	35496	1936500
139	1	138	7	1717	430600	4306	35963	1972463
140	1	139	7	1737	433700	4337	36433	2008896
141	1	140	7	1757	436700	4367	36907	2045803
142	1	141	7	1777	439800	4398	37385	2083188
143	1	142	7	1797	442800	4428	37867	2121055
144	1	143	7	1817	445900	4459	38352	2159407
145	1	144	7	1838	449000	4490	38841	2198248
146	1	145	7	1859	452100	4521	39334	2237582
147	1	146	7	1880	455200	4552	39831	2277413
148	1	147	7	1901	458300	4583	40332	2317745
149	1	148	7	1922	461400	4614	40836	2358581
150	1	149	7	1944	464500	4645	41344	2399925
151	1	150	7	1966	467600	4676	41856	2441781
152	1	151	7	1988	470800	4708	42372	2484153
153	1	152	7	2010	473900	4739	42892	2527045
154	1	153	7	2032	477000	4770	43415	2570460
155	1	154	7	2055	480200	4802	43943	2614403
156	1	155	7	2078	483400	4834	44474	2658877
157	1	156	7	2101	486500	4865	45009	2703886
158	1	157	7	2124	489700	4897	45548	2749434
159	1	158	7	2148	492900	4929	46092	2795526
160	1	159	7	2172	496100	4961	46639	2842165
161	1	160	7	2196	499300	4993	47190	2889355
162	1	161	7	2220	502500	5025	47744	2937099
163	1	162	7	2244	505700	5057	48303	2985402
164	1	163	7	2269	509000	5090	48866	3034268
165	1	164	7	2294	512200	5122	49433	3083701
166	1	165	7	2319	515500	5155	50004	3133705
167	1	166	7	2344	518700	5187	50579	3184284
168	1	167	7	2369	522000	5220	51158	3235442
169	1	168	7	2395	525200	5252	51741	3287183
170	1	169	7	2421	528500	5285	52328	3339511
171	1	170	7	2447	531800	5318	52919	3392430
172	1	171	7	2473	535100	5351	53514	3445944
173	1	172	7	2500	538400	5384	54113	3500057
174	1	173	7	2527	541700	5417	54717	3554774
175	1	174	7	2554	545000	5450	55324	3610098
176	1	175	7	2581	548300	5483	55936	3666034
177	1	176	7	2609	551700	5517	56551	3722585
178	1	177	7	2637	555000	5550	57171	3779756
179	1	178	7	2665	558400	5584	57795	3837551
180	1	179	7	2693	561700	5617	58423	3895974
181	1	180	7	2722	565100	5651	59056	3955030
182	1	181	7	2751	568500	5684	59692	4014722
183	1	182	7	2780	571800	5718	60333	4075055
184	1	183	7	2809	575200	5752	60978	4136033
185	1	184	7	2839	578600	5786	61627	4197660
186	1	185	7	2869	582000	5820	62280	4259940
187	1	186	7	2899	585400	5854	62938	4322878
188	1	187	7	2929	588800	5888	63600	4386478
189	1	188	7	2960	592300	5923	64266	4450744
190	1	189	7	2991	595700	5957	64936	4515680
191	1	190	7	3022	599100	5991	65611	4581291
192	1	191	7	3053	602600	6026	66290	4647581
193	1	192	7	3085	606000	6060	66973	4714554
194	1	193	7	3117	609500	6095	67661	4782215
195	1	194	7	3149	613000	6130	68353	4850568
196	1	195	7	3181	616500	6165	69049	4919617
197	1	196	7	3214	620000	6200	69750	4989367
198	1	197	7	3247	623400	6234	70455	5059822
199	1	198	7	3280	627000	6269	71164	5130986
200	1	199	7	3313	630500	6305	71878	5202864
201	1	200	7	3347	0	0	0	5202864
202	2	0	6|8	0|0	41400	1125	1632	1632
203	2	1	6|8	60|2	42700	1132	1698	3330
204	2	2	6|8	121|4	43900	1139	1766	5096
205	2	3	6|8	183|6	45000	1148	1837	6933
206	2	4	6|8	245|8	46100	1156	1909	8842
207	2	5	6|8	308|10	47100	1167	1984	10826
208	2	6	6|8	371|12	48000	1177	2061	12887
209	2	7	6|8	435|14	48900	1188	2140	15027
210	2	8	6|8	500|16	49700	1201	2222	17249
211	2	9	6|8	565|18	50500	1213	2305	19554
212	2	10	6|8	631|20	55400	1226	2391	21945
213	2	11	6|8	698|22	60000	1240	2480	24425
214	2	12	6|8	766|24	64400	1253	2570	26995
215	2	13	6|8	834|26	68600	1268	2663	29658
216	2	14	6|8	903|28	72600	1282	2758	32416
217	2	15	6|8	973|30	76400	1297	2855	35271
218	2	16	6|8	1044|32	80000	1313	2955	38226
219	2	17	6|8	1115|34	83500	1328	3056	41282
220	2	18	6|8	1187|36	86800	1345	3161	44443
221	2	19	6|8	1260|38	90000	1361	3267	47710
222	2	20	6|8	1334|40	98000	1377	3376	51086
223	2	21	6|8	1408|42	105600	1395	3488	54574
224	2	22	6|8	1483|44	112900	1412	3601	58175
225	2	23	6|8	1559|46	120000	1429	3717	61892
226	2	24	6|8	1636|48	126800	1447	3836	65728
227	2	25	6|8	1714|50	133300	1465	3957	69685
228	2	26	6|8	1793|52	139600	1483	4080	73765
229	2	27	6|8	1873|54	145700	1502	4206	77971
230	2	28	6|8	1953|56	151600	1520	4334	82305
231	2	29	6|8	2034|58	153900	1539	4465	86770
232	2	30	6|8	2116|60	155800	1558	4598	91368
233	2	31	6|8	2199|62	157700	1577	4733	96101
234	2	32	6|8	2283|64	159700	1597	4871	100972
235	2	33	6|8	2368|66	161600	1616	5012	105984
236	2	34	6|8	2454|68	163600	1636	5155	111139
237	2	35	6|8	2541|70	165600	1656	5301	116440
238	2	36	6|8	2629|72	167600	1676	5449	121889
239	2	37	6|8	2718|74	169700	1696	5600	127489
240	2	38	6|8	2808|76	171700	1717	5753	133242
241	2	39	6|8	2899|78	173800	1737	5909	139151
242	2	40	6|8	2991|80	175800	1758	6067	145218
243	2	41	6|8	3084|82	177900	1779	6228	151446
244	2	42	6|8	3178|84	180000	1800	6392	157838
245	2	43	6|8	3273|86	182100	1821	6558	164396
246	2	44	6|8	3369|88	184300	1843	6727	171123
247	2	45	6|8	3466|90	186400	1864	6899	178022
248	2	46	6|8	3565|92	188600	1886	7073	185095
249	2	47	6|8	3665|94	190700	1907	7250	192345
250	2	48	6|8	3766|97	192900	1929	7429	199774
251	2	49	6|8	3868|100	195100	1951	7611	207385
252	2	50	6|8	3971|103	197300	1973	7796	215181
253	2	51	6|8	4075|106	199600	1996	7984	223165
254	2	52	6|8	4180|109	201800	2018	8174	231339
255	2	53	6|8	4287|112	204000	2040	8367	239706
256	2	54	6|8	4395|115	206300	2063	8563	248269
257	2	55	6|8	4504|118	208600	2085	8761	257030
258	2	56	6|8	4614|121	210800	2108	8963	265993
259	2	57	6|8	4725|124	213100	2131	9167	275160
260	2	58	6|8	4838|127	215400	2154	9374	284534
261	2	59	6|8	4952|130	217800	2177	9583	294117
262	2	60	6|8	5067|133	220100	2201	9796	303913
263	2	61	6|8	5184|136	222400	2224	10011	313924
264	2	62	6|8	5302|139	224800	2248	10229	324153
265	2	63	6|8	5421|142	227100	2271	10450	334603
266	2	64	6|8	5542|145	229500	2295	10674	345277
267	2	65	6|8	5664|148	231900	2319	10901	356178
268	2	66	6|8	5787|151	234300	2343	11130	367308
269	2	67	6|8	5912|154	236700	2367	11363	378671
270	2	68	6|8	6038|157	239100	2391	11598	390269
271	2	69	6|8	6165|160	241500	2415	11836	402105
272	2	70	6|8	6294|163	244000	2440	12078	414183
273	2	71	6|8	6424|166	246400	2464	12322	426505
274	2	72	6|8	6556|169	248800	2488	12569	439074
275	2	73	6|8	6689|172	251300	2513	12819	451893
276	2	74	6|8	6824|175	253800	2538	13072	464965
277	2	75	6|8	6960|178	256300	2563	13328	478293
278	2	76	6|8	7098|181	258800	2588	13587	491880
279	2	77	6|8	7237|184	261300	2613	13849	505729
280	2	78	6|8	7378|188	263800	2638	14114	519843
281	2	79	6|8	7520|192	266300	2663	14382	534225
282	2	80	6|8	7664|196	268800	2688	14653	548878
283	2	81	6|8	7809|200	271400	2714	14927	563805
284	2	82	6|8	7956|204	273900	2739	15204	579009
285	2	83	6|8	8105|208	276500	2765	15485	594494
286	2	84	6|8	8255|212	279000	2790	15768	610262
287	2	85	6|8	8407|216	281600	2816	16054	626316
288	2	86	6|8	8560|220	284200	2842	16344	642660
289	2	87	6|8	8715|224	286800	2868	16637	659297
290	2	88	6|8	8872|228	289400	2894	16932	676229
291	2	89	6|8	9030|232	292000	2920	17231	693460
292	2	90	6|8	9190|236	294600	2946	17533	710993
293	2	91	6|8	9352|240	297300	2973	17839	728832
294	2	92	6|8	9516|244	299900	2999	18147	746979
295	2	93	6|8	9681|248	302600	3026	18459	765438
296	2	94	6|8	9848|252	305200	3052	18774	784212
297	2	95	6|8	10017|256	307900	3079	19092	803304
298	2	96	6|8	10188|260	310600	3106	19413	822717
299	2	97	6|8	10360|264	313200	3132	19737	842454
300	2	98	6|8	10534|268	315900	3159	20065	862519
301	2	99	6|8	10710|272	318600	3186	20396	882915
302	2	100	6|8	10888|276	321400	3213	20730	903645
303	2	101	6|8	11068|280	324100	3241	21068	924713
304	2	102	6|8	11250|285	326800	3268	21408	946121
305	2	103	6|8	11434|290	329500	3295	21752	967873
306	2	104	6|8	11620|295	332300	3323	22100	989973
307	2	105	6|8	11807|300	335000	3350	22451	1012424
308	2	106	6|8	11996|305	337800	3378	22805	1035229
309	2	107	6|8	12187|310	340600	3406	23162	1058391
310	2	108	6|8	12380|315	343400	3434	23523	1081914
311	2	109	6|8	12575|320	346100	3461	23887	1105801
312	2	110	6|8	12772|325	348900	3489	24254	1130055
313	2	111	6|8	12971|330	351700	3517	24625	1154680
314	2	112	6|8	13172|335	354600	3546	25000	1179680
315	2	113	6|8	13375|340	357400	3574	25377	1205057
316	2	114	6|8	13581|345	360200	3602	25758	1230815
317	2	115	6|8	13789|350	363100	3630	26143	1256958
318	2	116	6|8	13999|355	365900	3659	26531	1283489
319	2	117	6|8	14211|360	368800	3688	26923	1310412
320	2	118	6|8	14425|365	371600	3716	27317	1337729
321	2	119	6|8	14641|370	374500	3745	27716	1365445
322	2	120	6|8	14859|375	377400	3774	28118	1393563
323	2	121	6|8	15080|381	380300	3803	28523	1422086
324	2	122	6|8	15303|387	383200	3832	28932	1451018
325	2	123	6|8	15528|393	386100	3861	29345	1480363
326	2	124	6|8	15755|399	389000	3890	29761	1510124
327	2	125	6|8	15984|405	391900	3919	30180	1540304
328	2	126	6|8	16216|411	394800	3948	30603	1570907
329	2	127	6|8	16450|417	397800	3978	31030	1601937
330	2	128	6|8	16686|423	400700	4007	31460	1633397
331	2	129	6|8	16925|429	403700	4037	31894	1665291
332	2	130	6|8	17166|435	406600	4066	32332	1697623
333	2	131	6|8	17409|441	409600	4096	32773	1730396
334	2	132	6|8	17655|447	412600	4126	33217	1763613
335	2	133	6|8	17903|453	415600	4156	33666	1797279
336	2	134	6|8	18153|459	418600	4186	34118	1831397
337	2	135	6|8	18406|465	421600	4216	34574	1865971
338	2	136	6|8	18661|471	424600	4246	35033	1901004
339	2	137	6|8	18919|477	427600	4276	35496	1936500
340	2	138	6|8	19179|484	430600	4306	35963	1972463
341	2	139	6|8	19442|491	433700	4337	36433	2008896
342	2	140	6|8	19707|498	436700	4367	36907	2045803
343	2	141	6|8	19975|505	439800	4398	37385	2083188
344	2	142	6|8	20245|512	442800	4428	37867	2121055
345	2	143	6|8	20518|519	445900	4459	38352	2159407
346	2	144	6|8	20793|526	449000	4490	38841	2198248
347	2	145	6|8	21071|533	452100	4521	39334	2237582
348	2	146	6|8	21352|540	455200	4552	39831	2277413
349	2	147	6|8	21635|547	458300	4583	40332	2317745
350	2	148	6|8	21921|554	461400	4614	40836	2358581
351	2	149	6|8	22210|561	464500	4645	41344	2399925
352	2	150	6|8	22501|568	467600	4676	41856	2441781
353	2	151	6|8	22795|575	470800	4708	42372	2484153
354	2	152	6|8	23092|582	473900	4739	42892	2527045
355	2	153	6|8	23391|589	477000	4770	43415	2570460
356	2	154	6|8	23693|597	480200	4802	43943	2614403
357	2	155	6|8	23998|605	483400	4834	44474	2658877
358	2	156	6|8	24306|613	486500	4865	45009	2703886
359	2	157	6|8	24617|621	489700	4897	45548	2749434
360	2	158	6|8	24930|629	492900	4929	46092	2795526
361	2	159	6|8	25246|637	496100	4961	46639	2842165
362	2	160	6|8	25565|645	499300	4993	47190	2889355
363	2	161	6|8	25887|653	502500	5025	47744	2937099
364	2	162	6|8	26212|661	505700	5057	48303	2985402
365	2	163	6|8	26540|669	509000	5090	48866	3034268
366	2	164	6|8	26871|677	512200	5122	49433	3083701
367	2	165	6|8	27205|685	515500	5155	50004	3133705
368	2	166	6|8	27542|693	518700	5187	50579	3184284
369	2	167	6|8	27882|701	522000	5220	51158	3235442
370	2	168	6|8	28225|710	525200	5252	51741	3287183
371	2	169	6|8	28571|719	528500	5285	52328	3339511
372	2	170	6|8	28920|728	531800	5318	52919	3392430
373	2	171	6|8	29272|737	535100	5351	53514	3445944
374	2	172	6|8	29627|746	538400	5384	54113	3500057
375	2	173	6|8	29985|755	541700	5417	54717	3554774
376	2	174	6|8	30346|764	545000	5450	55324	3610098
377	2	175	6|8	30710|773	548300	5483	55936	3666034
378	2	176	6|8	31077|782	551700	5517	56551	3722585
379	2	177	6|8	31448|791	555000	5550	57171	3779756
380	2	178	6|8	31822|800	558400	5584	57795	3837551
381	2	179	6|8	32199|809	561700	5617	58423	3895974
382	2	180	6|8	32579|819	565100	5651	59056	3955030
383	2	181	6|8	32963|829	568500	5684	59692	4014722
384	2	182	6|8	33350|839	571800	5718	60333	4075055
385	2	183	6|8	33740|849	575200	5752	60978	4136033
386	2	184	6|8	34133|859	578600	5786	61627	4197660
387	2	185	6|8	34530|869	582000	5820	62280	4259940
388	2	186	6|8	34930|879	585400	5854	62938	4322878
389	2	187	6|8	35334|889	588800	5888	63600	4386478
390	2	188	6|8	35741|899	592300	5923	64266	4450744
391	2	189	6|8	36151|909	595700	5957	64936	4515680
392	2	190	6|8	36565|919	599100	5991	65611	4581291
393	2	191	6|8	36982|929	602600	6026	66290	4647581
394	2	192	6|8	37403|940	606000	6060	66973	4714554
395	2	193	6|8	37827|951	609500	6095	67661	4782215
396	2	194	6|8	38255|962	613000	6130	68353	4850568
397	2	195	6|8	38686|973	616500	6165	69049	4919617
398	2	196	6|8	39121|984	620000	6200	69750	4989367
399	2	197	6|8	39560|995	623400	6234	70455	5059822
400	2	198	6|8	40002|1006	627000	6269	71164	5130986
401	2	199	6|8	40448|1017	630500	6305	71878	5202864
402	2	200	6|8	40897|1028	0	0	0	5202864
