int	string	string	string	string	int	int
62	日常	DailyIcon_a	仙盟宴会	3	45	84
63	日常	DailyIcon_a	仙盟联赛	13	45	111
64	仙盟	MengIcon_a	仙盟活跃		130	15
65	充值	MoneyIcon_a	充值赠送		77	113
66	法宝	Renzu_101	法宝集魂		119	
67	商城	Shopping	商城兑换		76	79
68	福利	FuLiIcon_a	七天登录		101	115
69	八卦炉	Shopping	十全秘方		92	87
70	充值	VIP_GetWayIcon	VIP2礼包	2	80	117
71	首冲	Shopping	超值礼包		143	110
72	境界	TY_GN_7	境界		48	12
73	每周限购	Shopping	每周限购		72	79
74	日常	DailyIcon_a	仙魔之争	14	45	74
75	充值	VIP_GetWayIcon	VIP3礼包	3	80	117
76	挂机	TY_GN_36	65级以上</r>野外怪物		61	
77	挂机	TY_GN_36	180级以上</r>野外怪物		61	
78	挂机	TY_GN_36	220级以上</r>野外怪物		61	
79	活动	TY_GN_26	活动产出			
80	打宝	ElderGodIcon	古神禁地</r>精英怪物		85	92
81	打宝	PersonBossIcon	200级以上</r>VIP Boss		84	22
82	打宝	BossHomeIcon	200级以上</r>Boss之家		83	23
83	打宝	PersonBossIcon	300级以上</r>VIP Boss		84	22
84	打宝	BossHomeIcon	300级以上</r>Boss之家		83	23
85	仙宝寻主	TreasureFindHost	仙宝寻主		147	124
86	主界面任务	TaskIcon	主线任务		56	
87	福利界面	FuLiIcon_a	七天登录</r>第二天		154	
88	炼丹界面	FuLiIcon_a	八卦炉</r>十全秘方		155	
89	炼丹界面	FuLiIcon_a	八卦炉</r>三元秘方		156	
90	vip界面	VIP_GetWayIcon	Vip界面</r>Vip3礼包		157	
91	vip界面	VIP_GetWayIcon	Vip界面</r>Vip2礼包		158	
92	福利界面	FuLiIcon_a	七天登录</r>第三天		154	
93	超值礼包	FuLiIcon_a	超值礼包</r>坐骑礼包		153	
94	超值礼包	FuLiIcon_a	超值礼包</r>灵宠礼包		153	
95	符印	FuYinIcon_a	符印镶嵌		22	9
96	符印	FuYinIcon_a	符印分解		23	9
97	符印	FuYinIcon_a	符印合成		25	9
98	任务	TaskIcon	支线任务		166	
99	开服活动	TY_GN_19	开服活动		167	
100	vip界面	VIP_GetWayIcon	Vip界面</r>Vip1礼包		159	117
101	vip界面	VIP_GetWayIcon	Vip界面</r>Vip4礼包		159	117
102	vip界面	VIP_GetWayIcon	Vip界面</r>Vip5礼包		160	117
103	vip界面	VIP_GetWayIcon	Vip界面</r>Vip6礼包		161	117
104	vip界面	VIP_GetWayIcon	Vip界面</r>Vip7礼包		162	117
105	vip界面	VIP_GetWayIcon	Vip界面</r>Vip8礼包		163	117
106	vip界面	VIP_GetWayIcon	Vip界面</r>Vip9礼包		164	117
107	vip界面	VIP_GetWayIcon	Vip界面</r>Vip10礼包		165	117
108	vip界面	VIP_GetWayIcon	Vip界面</r>Vip投资		81	120
109	挂机	TY_GN_36	80级以上</r>野外怪物		61	
110	挂机	TY_GN_36	60级以上</r>野外怪物		61	
111	日常	DailyIcon_a	师门悬赏</r>额外奖励		40	34
112	装备分解	TY_GN_37	装备分解		146	123
113	日常	DailyIcon_a	麒麟之府	5	171	
114	日常	DailyIcon_a	宗门试炼	9	177	
115	封魔坛	TY_GN_16	350级以上</r>封魔坛Boss		104	76
116	封魔坛	TY_GN_16	150级以上</r>封魔坛Boss		104	76
