int	int	int	string	string
266	2308	0		[[10431,20431,30431],[10432,20432,30432],[10433,20433,30433],[10434,20434,30434],[10435,20435,30435],[10436,20436,30436],[10437,20437,30437],[10441,20441,30441],[10442,20442,30442],[10443,20443,30443],[10444,20444,30444],[10445,20445,30445],[10446,20446,30446],[10447,20447,30447],[10421,20421,30421],[10422,20422,30422],[10423,20423,30423],[10424,20424,30424],[10425,20425,30425],[10426,20426,30426],[10427,20427,30427],[10451,20451,30451],[10452,20452,30452],[10453,20453,30453],[10454,20454,30454],[10455,20455,30455],[10456,20456,30456],[10457,20457,30457]]
267	2309	0		[[10531,20531,30531],[10532,20532,30532],[10533,20533,30533],[10534,20534,30534],[10535,20535,30535],[10536,20536,30536],[10537,20537,30537],[10541,20541,30541],[10542,20542,30542],[10543,20543,30543],[10544,20544,30544],[10545,20545,30545],[10546,20546,30546],[10547,20547,30547],[10521,20521,30521],[10522,20522,30522],[10523,20523,30523],[10524,20524,30524],[10525,20525,30525],[10526,20526,30526],[10527,20527,30527],[10551,20551,30551],[10552,20552,30552],[10553,20553,30553],[10554,20554,30554],[10555,20555,30555],[10556,20556,30556],[10557,20557,30557]]
268	2310	0		[[10531,20531,30531],[10532,20532,30532],[10533,20533,30533],[10534,20534,30534],[10535,20535,30535],[10536,20536,30536],[10537,20537,30537],[10541,20541,30541],[10542,20542,30542],[10543,20543,30543],[10544,20544,30544],[10545,20545,30545],[10546,20546,30546],[10547,20547,30547],[10521,20521,30521],[10522,20522,30522],[10523,20523,30523],[10524,20524,30524],[10525,20525,30525],[10526,20526,30526],[10527,20527,30527],[10551,20551,30551],[10552,20552,30552],[10553,20553,30553],[10554,20554,30554],[10555,20555,30555],[10556,20556,30556],[10557,20557,30557]]
269	2311	0		[[10621,20621,30621],[10622,20622,30622],[10623,20623,30623],[10624,20624,30624],[10625,20625,30625],[10626,20626,30626],[10627,20627,30627],[10631,20631,30631],[10632,20632,30632],[10633,20633,30633],[10634,20634,30634],[10635,20635,30635],[10636,20636,30636],[10637,20637,30637],[10641,20641,30641],[10642,20642,30642],[10643,20643,30643],[10644,20644,30644],[10645,20645,30645],[10646,20646,30646],[10647,20647,30647],[10611,20611,30611],[10612,20612,30612],[10613,20613,30613],[10614,20614,30614],[10615,20615,30615],[10616,20616,30616],[10617,20617,30617],[10651,20651,30651],[10652,20652,30652],[10653,20653,30653],[10654,20654,30654],[10655,20655,30655],[10656,20656,30656],[10657,20657,30657],[10671,20671,30671],[10672,20672,30672],[10673,20673,30673],[10674,20674,30674],[10675,20675,30675],[10676,20676,30676],[10677,20677,30677]]
270	2312	0		[[10621,20621,30621],[10622,20622,30622],[10623,20623,30623],[10624,20624,30624],[10625,20625,30625],[10626,20626,30626],[10627,20627,30627],[10631,20631,30631],[10632,20632,30632],[10633,20633,30633],[10634,20634,30634],[10635,20635,30635],[10636,20636,30636],[10637,20637,30637],[10641,20641,30641],[10642,20642,30642],[10643,20643,30643],[10644,20644,30644],[10645,20645,30645],[10646,20646,30646],[10647,20647,30647],[10611,20611,30611],[10612,20612,30612],[10613,20613,30613],[10614,20614,30614],[10615,20615,30615],[10616,20616,30616],[10617,20617,30617],[10651,20651,30651],[10652,20652,30652],[10653,20653,30653],[10654,20654,30654],[10655,20655,30655],[10656,20656,30656],[10657,20657,30657],[10671,20671,30671],[10672,20672,30672],[10673,20673,30673],[10674,20674,30674],[10675,20675,30675],[10676,20676,30676],[10677,20677,30677]]
271	2317	0		
272	2318	0		
273	2319	0		
274	2320	0	4611_5|4612_5|4613_5|4614_5|4615_5	
275	2321	0		
276	2322	0		
277	2323	0		
278	2324	0		
