int	int	int	int	string	int	string	string	string	int	string	string	string	string	int	int	int	int	string
43	4	0	1	龙魂2星红装	5	7阶装备	10773	10751|10752|10753|10754|10755|10756|10757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
44	4	0	1	龙魂2星红装	5	7阶装备	10774	10751|10752|10753|10754|10755|10756|10757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
45	4	0	1	龙魂2星红装	5	7阶装备	10775	10751|10752|10753|10754|10755|10756|10757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
46	4	0	1	龙魂2星红装	5	7阶装备	10776	10751|10752|10753|10754|10755|10756|10757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
47	4	0	1	龙魂2星红装	5	7阶装备	10777	10751|10752|10753|10754|10755|10756|10757	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#ff8400>橙色装备</color></r>
48	4	0	1	龙魂2星红装	6	8阶装备	10871	10851|10852|10853|10854|10855|10856|10857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
49	4	0	1	龙魂2星红装	6	8阶装备	10872	10851|10852|10853|10854|10855|10856|10857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
50	4	0	1	龙魂2星红装	6	8阶装备	10873	10851|10852|10853|10854|10855|10856|10857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
51	4	0	1	龙魂2星红装	6	8阶装备	10874	10851|10852|10853|10854|10855|10856|10857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
52	4	0	1	龙魂2星红装	6	8阶装备	10875	10851|10852|10853|10854|10855|10856|10857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
53	4	0	1	龙魂2星红装	6	8阶装备	10876	10851|10852|10853|10854|10855|10856|10857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
54	4	0	1	龙魂2星红装	6	8阶装备	10877	10851|10852|10853|10854|10855|10856|10857	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#ff8400>橙色装备</color></r>
55	4	500	1	龙魂2星红装	7	9阶装备	10971	10951|10952|10953|10954|10955|10956|10957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
56	4	500	1	龙魂2星红装	7	9阶装备	10972	10951|10952|10953|10954|10955|10956|10957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
57	4	500	1	龙魂2星红装	7	9阶装备	10973	10951|10952|10953|10954|10955|10956|10957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
58	4	500	1	龙魂2星红装	7	9阶装备	10974	10951|10952|10953|10954|10955|10956|10957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
59	4	500	1	龙魂2星红装	7	9阶装备	10975	10951|10952|10953|10954|10955|10956|10957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
60	4	500	1	龙魂2星红装	7	9阶装备	10976	10951|10952|10953|10954|10955|10956|10957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
61	4	500	1	龙魂2星红装	7	9阶装备	10977	10951|10952|10953|10954|10955|10956|10957	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#ff8400>橙色装备</color></r>
62	4	500	1	龙魂2星红装	8	10阶装备	11071	11051|11052|11053|11054|11055|11056|11057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
63	4	500	1	龙魂2星红装	8	10阶装备	11072	11051|11052|11053|11054|11055|11056|11057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
64	4	500	1	龙魂2星红装	8	10阶装备	11073	11051|11052|11053|11054|11055|11056|11057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
65	4	500	1	龙魂2星红装	8	10阶装备	11074	11051|11052|11053|11054|11055|11056|11057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
66	4	500	1	龙魂2星红装	8	10阶装备	11075	11051|11052|11053|11054|11055|11056|11057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
67	4	500	1	龙魂2星红装	8	10阶装备	11076	11051|11052|11053|11054|11055|11056|11057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
68	4	500	1	龙魂2星红装	8	10阶装备	11077	11051|11052|11053|11054|11055|11056|11057	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>10阶2星</color><color=#ff8400>橙色装备</color></r>
69	4	500	1	龙魂2星红装	9	11阶装备	11171	11151|11152|11153|11154|11155|11156|11157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
70	4	500	1	龙魂2星红装	9	11阶装备	11172	11151|11152|11153|11154|11155|11156|11157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
71	4	500	1	龙魂2星红装	9	11阶装备	11173	11151|11152|11153|11154|11155|11156|11157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
72	4	500	1	龙魂2星红装	9	11阶装备	11174	11151|11152|11153|11154|11155|11156|11157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
73	4	500	1	龙魂2星红装	9	11阶装备	11175	11151|11152|11153|11154|11155|11156|11157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
74	4	500	1	龙魂2星红装	9	11阶装备	11176	11151|11152|11153|11154|11155|11156|11157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
75	4	500	1	龙魂2星红装	9	11阶装备	11177	11151|11152|11153|11154|11155|11156|11157	3	1|2|3	0	0	0	0	6000	0	0	合成材料</r>三件龙魂<color=#3dfb3d>11阶2星</color><color=#ff8400>橙色装备</color></r>
76	4	0	2	龙魂3星红装	1	4阶装备	10481	10471|10472|10473|10474|10475|10476|10477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
77	4	0	2	龙魂3星红装	1	4阶装备	10482	10471|10472|10473|10474|10475|10476|10477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
78	4	0	2	龙魂3星红装	1	4阶装备	10483	10471|10472|10473|10474|10475|10476|10477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
79	4	0	2	龙魂3星红装	1	4阶装备	10484	10471|10472|10473|10474|10475|10476|10477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
80	4	0	2	龙魂3星红装	1	4阶装备	10485	10471|10472|10473|10474|10475|10476|10477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
81	4	0	2	龙魂3星红装	1	4阶装备	10486	10471|10472|10473|10474|10475|10476|10477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
82	4	0	2	龙魂3星红装	1	4阶装备	10487	10471|10472|10473|10474|10475|10476|10477	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>4阶2星</color><color=#fa0101>红色装备</color></r>
83	4	0	2	龙魂3星红装	2	5阶装备	10581	10571|10572|10573|10574|10575|10576|10577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
84	4	0	2	龙魂3星红装	2	5阶装备	10582	10571|10572|10573|10574|10575|10576|10577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
85	4	0	2	龙魂3星红装	2	5阶装备	10583	10571|10572|10573|10574|10575|10576|10577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
86	4	0	2	龙魂3星红装	2	5阶装备	10584	10571|10572|10573|10574|10575|10576|10577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
87	4	0	2	龙魂3星红装	2	5阶装备	10585	10571|10572|10573|10574|10575|10576|10577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
88	4	0	2	龙魂3星红装	2	5阶装备	10586	10571|10572|10573|10574|10575|10576|10577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
89	4	0	2	龙魂3星红装	2	5阶装备	10587	10571|10572|10573|10574|10575|10576|10577	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>5阶2星</color><color=#fa0101>红色装备</color></r>
90	4	0	2	龙魂3星红装	3	6阶装备	10681	10671|10672|10673|10674|10675|10676|10677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
91	4	0	2	龙魂3星红装	3	6阶装备	10682	10671|10672|10673|10674|10675|10676|10677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
92	4	0	2	龙魂3星红装	3	6阶装备	10683	10671|10672|10673|10674|10675|10676|10677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
93	4	0	2	龙魂3星红装	3	6阶装备	10684	10671|10672|10673|10674|10675|10676|10677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
94	4	0	2	龙魂3星红装	3	6阶装备	10685	10671|10672|10673|10674|10675|10676|10677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
95	4	0	2	龙魂3星红装	3	6阶装备	10686	10671|10672|10673|10674|10675|10676|10677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
96	4	0	2	龙魂3星红装	3	6阶装备	10687	10671|10672|10673|10674|10675|10676|10677	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>6阶2星</color><color=#fa0101>红色装备</color></r>
97	4	0	2	龙魂3星红装	4	7阶装备	10781	10771|10772|10773|10774|10775|10776|10777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
98	4	0	2	龙魂3星红装	4	7阶装备	10782	10771|10772|10773|10774|10775|10776|10777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
99	4	0	2	龙魂3星红装	4	7阶装备	10783	10771|10772|10773|10774|10775|10776|10777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
100	4	0	2	龙魂3星红装	4	7阶装备	10784	10771|10772|10773|10774|10775|10776|10777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
101	4	0	2	龙魂3星红装	4	7阶装备	10785	10771|10772|10773|10774|10775|10776|10777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
102	4	0	2	龙魂3星红装	4	7阶装备	10786	10771|10772|10773|10774|10775|10776|10777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
103	4	0	2	龙魂3星红装	4	7阶装备	10787	10771|10772|10773|10774|10775|10776|10777	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>7阶2星</color><color=#fa0101>红色装备</color></r>
104	4	0	2	龙魂3星红装	5	8阶装备	10881	10871|10872|10873|10874|10875|10876|10877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
105	4	0	2	龙魂3星红装	5	8阶装备	10882	10871|10872|10873|10874|10875|10876|10877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
106	4	0	2	龙魂3星红装	5	8阶装备	10883	10871|10872|10873|10874|10875|10876|10877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
107	4	0	2	龙魂3星红装	5	8阶装备	10884	10871|10872|10873|10874|10875|10876|10877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
108	4	0	2	龙魂3星红装	5	8阶装备	10885	10871|10872|10873|10874|10875|10876|10877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
109	4	0	2	龙魂3星红装	5	8阶装备	10886	10871|10872|10873|10874|10875|10876|10877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
110	4	0	2	龙魂3星红装	5	8阶装备	10887	10871|10872|10873|10874|10875|10876|10877	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>8阶2星</color><color=#fa0101>红色装备</color></r>
111	4	500	2	龙魂3星红装	6	9阶装备	10981	10971|10972|10973|10974|10975|10976|10977	3	1|2|3	0	0	0	0	7500	0	0	合成材料</r>三件龙魂<color=#3dfb3d>9阶2星</color><color=#fa0101>红色装备</color></r>
