int	int	int	int	int
130	0	4858555	912	1523
131	0	4908670	918	1533
132	0	4959201	923	1542
133	0	5010152	928	1553
134	0	5061526	934	1563
135	0	5113329	939	1574
136	0	5165559	945	1584
137	0	5218223	951	1594
138	0	5271324	956	1605
139	0	5324864	962	1615
140	0	5378846	967	1626
141	0	5433274	973	1636
142	0	5488152	979	1646
143	0	5543483	984	1657
144	0	5599269	990	1667
145	0	5655514	995	1678
146	0	5712221	1002	1689
147	0	5769396	1007	1700
148	0	5827038	1013	1710
149	0	5885153	1019	1722
150	0	5943745	1025	1732
151	0	6002816	1031	1744
152	0	6062369	1037	1754
153	0	6122409	1043	1766
154	0	6182938	1049	1778
155	0	6243961	1055	1788
156	0	6305480	1061	1800
157	0	6367499	1068	1812
158	0	6430022	1074	1823
159	0	6493052	1079	1834
160	0	6556592	1086	1845
161	0	6620647	1092	1857
162	0	6685220	1098	1869
163	0	6750313	1105	1880
164	0	6815932	1112	1893
165	0	6882079	1118	1905
166	0	6948758	1124	1917
167	0	7015973	1131	1929
168	0	7083727	1137	1940
169	0	7152024	1144	1953
170	0	7220869	1150	1965
171	0	7290263	1157	1978
172	0	7360212	1163	1990
173	0	7430717	1170	2003
174	0	7501786	1177	2014
175	0	7573418	1184	2027
176	0	7645621	1190	2039
177	0	7718395	1197	2052
178	0	7791747	1204	2065
179	0	7865678	1211	2078
180	0	7940194	1218	2091
181	0	8015298	1225	2104
182	0	8090993	1232	2117
183	0	8167285	1239	2130
184	0	8244176	1246	2143
185	0	8321670	1253	2156
186	0	8399771	1260	2169
187	0	8478485	1267	2182
188	0	8557812	1274	2195
189	0	8637759	1282	2209
190	0	8718329	1289	2222
191	0	8799526	1296	2237
192	0	8881354	1303	2250
193	0	8963817	1311	2264
194	0	9046919	1318	2277
195	0	9130664	1326	2291
196	0	9215055	1334	2306
197	0	9300099	1341	2319
198	0	9385796	1348	2333
199	0	9472154	1356	2347
200	0	9559174	1364	2361
201	0	9646862	1371	2376
202	0	9735222	1379	2390
203	0	9824256	1387	2404
204	0	9913972	1394	2419
205	0	10004370	1402	2433
206	0	10095457	1411	2449
207	0	10187236	1418	2463
208	0	10279712	1426	2477
209	0	10372888	1434	2493
210	0	10466770	1442	2507
211	0	10561360	1450	2523
212	0	10656664	1458	2537
213	0	10752686	1467	2553
214	0	10849430	1475	2568
215	0	10946900	1483	2582
216	0	11045100	1491	2598
217	0	11144037	1499	2614
218	0	11243711	1508	2629
219	0	11344129	1516	2645
220	0	11445296	1525	2660
221	0	11547215	1533	2676
222	0	11649891	1541	2692
223	0	11753328	1550	2707
224	0	11857531	1559	2724
225	0	11962503	1567	2740
226	0	12068251	1576	2755
227	0	12174776	1585	2772
228	0	12282087	1593	2788
229	0	12390184	1602	2805
230	0	12499074	1611	2822
231	0	12608762	1620	2837
232	0	12719250	1629	2854
233	0	12830545	1638	2871
234	0	12942650	1647	2888
235	0	13055571	1656	2905
236	0	13169312	1665	2922
237	0	13283876	1674	2939
238	0	13399271	1684	2956
239	0	13515498	1693	2972
240	0	13632565	1702	2989
241	0	13750473	1712	3008
242	0	13869231	1721	3024
243	0	13988840	1730	3043
244	0	14109305	1740	3060
245	0	14230634	1749	3078
246	0	14352829	1758	3095
247	0	14475894	1768	3113
248	0	14599837	1778	3131
249	0	14724659	1788	3149
250	0	14850368	1798	3167
251	0	14976966	1807	3186
252	0	15104461	1817	3204
253	0	15232854	1827	3222
254	0	15362154	1837	3240
255	0	15492362	1847	3258
256	0	15623487	1857	3278
257	0	15755529	1867	3296
258	0	15888496	1877	3314
259	0	16022393	1887	3334
260	0	16157225	1897	3352
261	0	16292994	1908	3372
262	0	16429709	1918	3391
263	0	16567373	1929	3411
264	0	16705991	1938	3429
265	0	16845568	1949	3448
266	0	16986108	1959	3468
267	0	17127619	1970	3487
268	0	17270104	1981	3508
269	0	17413567	1992	3528
270	0	17558016	2002	3547
271	0	17703453	2013	3567
272	0	17849885	2024	3587
273	0	17997317	2034	3607
274	0	18145753	2045	3628
275	0	18295200	2056	3647
276	0	18445662	2067	3668
277	0	18597143	2078	3689
278	0	18749651	2090	3710
279	0	18903188	2101	3730
280	0	19057762	2112	3751
281	0	19213376	2123	3772
282	0	19370038	2134	3793
283	0	19527749	2146	3814
284	0	19686520	2157	3834
285	0	19846350	2169	3856
286	0	20007249	2180	3877
287	0	20169221	2192	3899
288	0	20332270	2203	3920
289	0	20496403	2215	3942
290	0	20661624	2227	3964
291	0	20827940	2239	3986
292	0	20995354	2251	4009
293	0	21163875	2262	4029
294	0	21333504	2274	4053
295	0	21504251	2286	4075
296	0	21676116	2298	4097
297	0	21849110	2310	4119
298	0	22023236	2322	4141
299	0	22198498	2335	4165
300	0	22374904	2346	4187
301	0	22552457	2359	4210
302	0	22731166	2372	4233
303	0	22911034	2384	4256
304	0	23092066	2396	4279
305	0	23274270	2409	4302
306	0	23457649	2421	4326
307	0	23642211	2434	4349
308	0	23827959	2447	4373
309	0	24014901	2460	4397
310	0	24203041	2472	4421
311	0	24392386	2485	4444
312	0	24582941	2498	4469
313	0	24774710	2511	4492
314	0	24967702	2524	4517
315	0	25161920	2538	4542
316	0	25357372	2551	4566
317	0	25554061	2563	4590
318	0	25751995	2577	4614
319	0	25951178	2590	4639
320	0	26151618	2604	4665
321	0	26353319	2617	4690
322	0	26556286	2631	4714
323	0	26760528	2645	4740
324	0	26966048	2658	4765
325	0	27172854	2672	4791
326	0	27380948	2685	4816
327	0	27590341	2699	4842
328	0	27801035	2713	4868
329	0	28013038	2727	4894
330	0	28226354	2741	4920
331	0	28440992	2755	4946
332	0	28656954	2769	4972
333	0	28874249	2783	4998
334	0	29092883	2797	5024
335	0	29312859	2812	5051
336	0	29534185	2826	5077
337	0	29756869	2841	5104
338	0	29980913	2855	5132
339	0	30206326	2870	5159
340	0	30433112	2884	5185
341	0	30661280	2899	5212
342	0	30890832	2913	5240
343	0	31121778	2929	5268
344	0	31354121	2944	5296
345	0	31587869	2958	5323
346	0	31823028	2974	5351
347	0	32059604	2988	5379
348	0	32297602	3004	5407
349	0	32537030	3018	5435
350	0	32777893	3034	5463
351	0	33020198	3049	5492
352	0	33263950	3065	5520
353	0	33509156	3080	5549
354	0	33755822	3095	5578
355	0	34003955	3111	5606
356	0	34253561	3127	5636
357	0	34504646	3142	5665
358	0	34757216	3158	5695
359	0	35011277	3174	5723
360	0	35266838	3190	5753
361	0	35523901	3206	5783
362	0	35782476	3222	5813
363	0	36042567	3238	5843
364	0	36304183	3254	5873
365	0	36567329	3270	5903
366	0	36832009	3287	5933
367	0	37098234	3303	5964
368	0	37366006	3319	5994
369	0	37635336	3336	6025
370	0	37906226	3353	6056
371	0	38178686	3369	6086
372	0	38452720	3386	6117
373	0	38728337	3403	6148
374	0	39005540	3420	6180
375	0	39284339	3437	6212
376	0	39564739	3454	6243
377	0	39846747	3471	6274
378	0	40130368	3488	6307
379	0	40415612	3505	6338
380	0	40702482	3522	6371
381	0	40990986	3540	6403
382	0	41281132	3557	6436
383	0	41572925	3575	6468
384	0	41866372	3592	6501
385	0	42161479	3610	6533
386	0	42458255	3627	6566
387	0	42756704	3646	6599
388	0	43056835	3663	6632
389	0	43358653	3681	6666
390	0	43662165	3700	6700
391	0	43967379	3717	6732
392	0	44274301	3735	6766
393	0	44582937	3753	6800
394	0	44893294	3772	6833
395	0	45205381	3791	6869
396	0	45519203	3809	6902
397	0	45834766	3827	6936
398	0	46152079	3846	6971
399	0	46471147	3865	7006
400	0	46791977	3883	7040
