int	int	int	int	int	int	int	int	int	string	string	string
88	31150	31501005	1	0	4	270	290	4699	<color=#31cefbFF>套装石碎片： </color>1.92个/分钟		
89	31150	31501006	1	0	4	290	310	5559	<color=#31cefbFF>套装石碎片： </color>2.5个/分钟		
90	31150	31501007	1	0	5	310	330	7199	<color=#31cefbFF>套装石碎片： </color>2.6个/分钟		
91	31150	31501008	1	0	5	330	350	7988	<color=#31cefbFF>套装石碎片： </color>2.7个/分钟		
92	31020	30301001	1	1	5	190	210	1950	<color=#31cefbFF>四阶蓝装： </color>441件/天	<color=#ec4bf6FF>四阶紫装： </color>63件/天	<color=#35e122ff>标准经验：</color> 6.07百万/分钟
93	31020	30303001	1	1	5	190	190	2005			
94	31020	30303002	1	1	5	200	200	2155			
95	31020	30303003	1	1	5	240	240	3168			
96	31020	30303004	1	1	5	250	250	3670			
97	31020	30303005	1	1	5	290	290	6763			
98	31020	30303006	1	1	5	300	300	7971			
99	31020	30303007	1	1	5	350	350	15442			
100	31030	30301002	1	1	5	230	250	2924	<color=#31cefbFF>五阶蓝装： </color>418件/天	<color=#ec4bf6FF>五阶紫装： </color>63件/天	<color=#35e122ff>标准经验：</color> 14.75百万/分钟
101	31030	30303008	1	1	5	240	240	3266			
102	31030	30303009	1	1	5	250	250	3670			
103	31030	30303010	1	1	5	300	300	7971			
104	31030	30303011	1	1	5	350	350	15442			
105	31030	30303012	1	1	5	400	400	29763			
106	31150	31503001	0	1	5	0	0	0	0	0	0
107	31150	31503002	0	1	5	0	0	0	0	0	0
108	31150	31503003	0	1	5	0	0	0	0	0	0
109	31150	31503004	0	1	5	0	0	0	0	0	0
110	31150	31503005	0	1	5	0	0	0	0	0	0
111	31150	31503006	0	1	5	0	0	0	0	0	0
112	31150	31503007	0	1	5	0	0	0	0	0	0
113	31150	31503008	0	1	5	0	0	0	0	0	0
