int	int	string	int	int	int[]	int[]	int
134	1	生命神兵	134	630	6	88491	0
135	1	生命神兵	135	640	6	89476	0
136	1	生命神兵	136	650	6	90467	0
137	1	生命神兵	137	660	6	91464	0
138	1	生命神兵	138	670	6	92468	0
139	1	生命神兵	139	670	6	93478	0
140	1	生命神兵	140	690	6	94494	0
141	1	生命神兵	141	690	6	95517	0
142	1	生命神兵	142	700	6	96546	0
143	1	生命神兵	143	710	6	97581	0
144	1	生命神兵	144	730	6	98623	0
145	1	生命神兵	145	730	6	99671	0
146	1	生命神兵	146	740	6	100726	0
147	1	生命神兵	147	750	6	101787	0
148	1	生命神兵	148	760	6	102855	0
149	1	生命神兵	149	770	6	103929	0
150	1	生命神兵	150	790	6	105010	0
151	1	生命神兵	151	790	6	106097	0
152	1	生命神兵	152	800	6	107191	0
153	1	生命神兵	153	810	6	108292	0
154	1	生命神兵	154	820	6	109399	0
155	1	生命神兵	155	840	6	110513	0
156	1	生命神兵	156	840	6	111633	0
157	1	生命神兵	157	860	6	112761	0
158	1	生命神兵	158	870	6	113895	0
159	1	生命神兵	159	870	6	115035	0
160	1	生命神兵	160	890	6	116183	0
161	1	生命神兵	161	900	6	117337	0
162	1	生命神兵	162	910	6	118499	0
163	1	生命神兵	163	930	6	119667	0
164	1	生命神兵	164	930	6	120842	0
165	1	生命神兵	165	950	6	122024	0
166	1	生命神兵	166	960	6	123212	0
167	1	生命神兵	167	970	6	124408	0
168	1	生命神兵	168	980	6	125611	0
169	1	生命神兵	169	1000	6	126820	0
170	1	生命神兵	170	1010	6	128037	0
171	1	生命神兵	171	1020	6	129261	0
172	1	生命神兵	172	1030	6	130491	0
173	1	生命神兵	173	1050	6	131729	0
174	1	生命神兵	174	1050	6	132974	0
175	1	生命神兵	175	1080	6	134226	0
176	1	生命神兵	176	1080	6	135485	0
177	1	生命神兵	177	1100	6	136752	0
178	1	生命神兵	178	1110	6	138025	0
179	1	生命神兵	179	1130	6	139306	0
180	1	生命神兵	180	1140	6	140594	0
181	1	生命神兵	181	1150	6	141890	0
182	1	生命神兵	182	1160	6	143192	0
183	1	生命神兵	183	1190	6	144502	0
184	1	生命神兵	184	1190	6	145819	0
185	1	生命神兵	185	1210	6	147144	0
186	1	生命神兵	186	1220	6	148476	0
187	1	生命神兵	187	1240	6	149815	0
188	1	生命神兵	188	1250	6	151162	0
189	1	生命神兵	189	1270	6	152516	0
190	1	生命神兵	190	1290	6	153878	0
191	1	生命神兵	191	1290	6	155247	0
192	1	生命神兵	192	1320	6	156624	0
193	1	生命神兵	193	1330	6	158008	0
194	1	生命神兵	194	1340	6	159400	0
195	1	生命神兵	195	1360	6	160799	0
196	1	生命神兵	196	1380	6	162206	0
197	1	生命神兵	197	1390	6	163621	0
198	1	生命神兵	198	1410	6	165043	0
199	1	生命神兵	199	1420	6	166473	0
200	1	生命神兵	200	1440	6	167911	0
201	1	生命神兵	201	1460	6	169356	0
202	1	生命神兵	202	1470	6	170809	0
203	1	生命神兵	203	1490	6	172270	0
204	1	生命神兵	204	1510	6	173738	0
205	1	生命神兵	205	1530	6	175215	0
206	1	生命神兵	206	1540	6	176699	0
207	1	生命神兵	207	1560	6	178191	0
208	1	生命神兵	208	1580	6	179691	0
209	1	生命神兵	209	1590	6	181199	0
210	1	生命神兵	210	1620	6	182715	0
211	1	生命神兵	211	1630	6	184239	0
212	1	生命神兵	212	1650	6	185771	0
213	1	生命神兵	213	1670	6	187310	0
214	1	生命神兵	214	1690	6	188858	0
215	1	生命神兵	215	1700	6	190414	0
216	1	生命神兵	216	1730	6	191978	0
217	1	生命神兵	217	1740	6	193550	0
218	1	生命神兵	218	1760	6	195130	0
219	1	生命神兵	219	1790	6	196718	0
220	1	生命神兵	220	1800	6	198315	0
221	1	生命神兵	221	1820	6	199919	0
222	1	生命神兵	222	1840	6	201532	0
223	1	生命神兵	223	1870	6	203153	0
224	1	生命神兵	224	1880	6	204782	0
225	1	生命神兵	225	1900	6	206419	0
226	1	生命神兵	226	1930	6	208065	0
227	1	生命神兵	227	1940	6	209719	0
228	1	生命神兵	228	1970	6	211382	0
229	1	生命神兵	229	1980	6	213052	0
230	1	生命神兵	230	2010	6	214732	0
231	1	生命神兵	231	2030	6	216419	0
232	1	生命神兵	232	2050	6	218115	0
233	1	生命神兵	233	2080	6	219820	0
234	1	生命神兵	234	2090	6	221532	0
235	1	生命神兵	235	2120	6	223254	0
236	1	生命神兵	236	2140	6	224984	0
237	1	生命神兵	237	2170	6	226722	0
238	1	生命神兵	238	2180	6	228469	0
239	1	生命神兵	239	2210	6	230225	0
240	1	生命神兵	240	2230	6	231989	0
241	1	生命神兵	241	2260	6	233762	0
242	1	生命神兵	242	2280	6	235543	0
243	1	生命神兵	243	2300	6	237334	0
244	1	生命神兵	244	2330	6	239133	0
245	1	生命神兵	245	2350	6	240940	0
246	1	生命神兵	246	2370	6	242757	0
247	1	生命神兵	247	2400	6	244582	0
248	1	生命神兵	248	2430	6	246416	0
249	1	生命神兵	249	2450	6	248258	0
250	1	生命神兵	250	2470	6	250110	0
251	1	生命神兵	251	2510	6	251970	0
252	1	生命神兵	252	2520	6	253840	0
253	1	生命神兵	253	2550	6	255718	0
254	1	生命神兵	254	2580	6	257605	0
255	1	生命神兵	255	2610	6	259501	0
256	1	生命神兵	256	2630	6	261406	0
257	1	生命神兵	257	2650	6	263320	0
258	1	生命神兵	258	2690	6	265243	0
259	1	生命神兵	259	2710	6	267176	0
260	1	生命神兵	260	2740	6	269117	0
261	1	生命神兵	261	2760	6	271067	0
262	1	生命神兵	262	2800	6	273027	0
263	1	生命神兵	263	2820	6	274995	0
264	1	生命神兵	264	2850	6	276973	0
265	1	生命神兵	265	2880	6	278960	0
266	1	生命神兵	266	2900	6	280956	0
267	1	生命神兵	267	2940	6	282961	0
268	1	生命神兵	268	2960	6	284976	0
269	1	生命神兵	269	3000	6	287000	0
270	1	生命神兵	270	3020	6	289033	0
271	1	生命神兵	271	3050	6	291075	0
272	1	生命神兵	272	3080	6	293127	0
273	1	生命神兵	273	3120	6	295188	0
274	1	生命神兵	274	3140	6	297259	0
275	1	生命神兵	275	3170	6	299339	0
276	1	生命神兵	276	3210	6	301428	0
277	1	生命神兵	277	3230	6	303527	0
278	1	生命神兵	278	3270	6	305635	0
279	1	生命神兵	279	3300	6	307753	0
280	1	生命神兵	280	3330	6	309881	0
281	1	生命神兵	281	3360	6	312018	0
282	1	生命神兵	282	3400	6	314164	0
283	1	生命神兵	283	3430	6	316320	0
284	1	生命神兵	284	3460	6	318486	0
285	1	生命神兵	285	3490	6	320661	0
286	1	生命神兵	286	3520	6	322846	0
287	1	生命神兵	287	3560	6	325041	0
288	1	生命神兵	288	3600	6	327245	0
289	1	生命神兵	289	3630	6	329459	0
290	1	生命神兵	290	3660	6	331683	0
291	1	生命神兵	291	3690	6	333917	0
292	1	生命神兵	292	3730	6	336160	0
293	1	生命神兵	293	3770	6	338413	0
294	1	生命神兵	294	3800	6	340677	0
295	1	生命神兵	295	3840	6	342950	0
296	1	生命神兵	296	3870	6	345232	0
297	1	生命神兵	297	3910	6	347525	0
298	1	生命神兵	298	3950	6	349828	0
299	1	生命神兵	299	3980	6	352141	0
300	1	生命神兵	300	4020	6	354463	0
301	1	生命神兵	301	4050	6	356796	0
302	1	生命神兵	302	4090	6	359139	0
303	1	生命神兵	303	4130	6	361491	0
304	1	生命神兵	304	4170	6	363854	0
305	1	生命神兵	305	4210	6	366227	0
306	1	生命神兵	306	4240	6	368610	0
307	1	生命神兵	307	4290	6	371003	0
308	1	生命神兵	308	4320	6	373406	0
309	1	生命神兵	309	4360	6	375820	0
310	1	生命神兵	310	4400	6	378244	0
311	1	生命神兵	311	4440	6	380678	0
312	1	生命神兵	312	4480	6	383122	0
313	1	生命神兵	313	4530	6	385576	0
314	1	生命神兵	314	4560	6	388041	0
315	1	生命神兵	315	4600	6	390516	0
316	1	生命神兵	316	4650	6	393002	0
317	1	生命神兵	317	4680	6	395497	0
318	1	生命神兵	318	4730	6	398004	0
319	1	生命神兵	319	4770	6	400520	0
320	1	生命神兵	320	4810	6	403047	0
321	1	生命神兵	321	4860	6	405585	0
322	1	生命神兵	322	4900	6	408133	0
323	1	生命神兵	323	4940	6	410691	0
324	1	生命神兵	324	4980	6	413260	0
325	1	生命神兵	325	5030	6	415840	0
326	1	生命神兵	326	5070	6	418430	0
327	1	生命神兵	327	5120	6	421031	0
328	1	生命神兵	328	5160	6	423642	0
329	1	生命神兵	329	5210	6	426264	0
330	1	生命神兵	330	5250	6	428897	0
331	1	生命神兵	331	5300	6	431540	0
332	1	生命神兵	332	5340	6	434194	0
333	1	生命神兵	333	5390	6	436859	0
334	1	生命神兵	334	5440	6	439535	0
335	1	生命神兵	335	5480	6	442221	0
336	1	生命神兵	336	5540	6	444918	0
337	1	生命神兵	337	5570	6	447626	0
338	1	生命神兵	338	5630	6	450345	0
339	1	生命神兵	339	5680	6	453075	0
340	1	生命神兵	340	5720	6	455816	0
341	1	生命神兵	341	5770	6	458567	0
342	1	生命神兵	342	5820	6	461330	0
343	1	生命神兵	343	5870	6	464103	0
344	1	生命神兵	344	5920	6	466887	0
345	1	生命神兵	345	5980	6	469683	0
346	1	生命神兵	346	6020	6	472489	0
347	1	生命神兵	347	6070	6	475307	0
348	1	生命神兵	348	6120	6	478135	0
349	1	生命神兵	349	6180	6	480975	0
350	1	生命神兵	350	6220	6	483826	0
351	1	生命神兵	351	6280	6	486688	0
352	1	生命神兵	352	6330	6	489561	0
353	1	生命神兵	353	6390	6	492445	0
354	1	生命神兵	354	6430	6	495341	0
355	1	生命神兵	355	6490	6	498248	0
356	1	生命神兵	356	6550	6	501166	0
357	1	生命神兵	357	6600	6	504095	0
358	1	生命神兵	358	6650	6	507036	0
359	1	生命神兵	359	6710	6	509987	0
360	1	生命神兵	360	6760	6	512951	0
361	1	生命神兵	361	6820	6	515925	0
362	1	生命神兵	362	6870	6	518912	0
363	1	生命神兵	363	6940	6	521909	0
364	1	生命神兵	364	6980	6	524918	0
365	1	生命神兵	365	7050	6	527938	0
366	1	生命神兵	366	7100	6	530970	0
367	1	生命神兵	367	7160	6	534014	0
368	1	生命神兵	368	7220	6	537069	0
369	1	生命神兵	369	7270	6	540135	0
370	1	生命神兵	370	7340	6	543213	0
371	1	生命神兵	371	7390	6	546303	0
372	1	生命神兵	372	7460	6	549404	0
373	1	生命神兵	373	7510	6	552517	0
374	1	生命神兵	374	7570	6	555642	0
375	1	生命神兵	375	7640	6	558778	0
376	1	生命神兵	376	7690	6	561926	0
377	1	生命神兵	377	7760	6	565086	0
378	1	生命神兵	378	7820	6	568257	0
379	1	生命神兵	379	7880	6	571441	0
380	1	生命神兵	380	7950	6	574636	0
381	1	生命神兵	381	8000	6	577843	0
382	1	生命神兵	382	8070	6	581062	0
383	1	生命神兵	383	8140	6	584292	0
384	1	生命神兵	384	8190	6	587535	0
385	1	生命神兵	385	8270	6	590789	0
386	1	生命神兵	386	8320	6	594056	0
387	1	生命神兵	387	8400	6	597334	0
388	1	生命神兵	388	8450	6	600625	0
389	1	生命神兵	389	8530	6	603927	0
390	1	生命神兵	390	8590	6	607242	0
391	1	生命神兵	391	8660	6	610568	0
392	1	生命神兵	392	8720	6	613907	0
393	1	生命神兵	393	8800	6	617257	0
394	1	生命神兵	394	8860	6	620620	0
395	1	生命神兵	395	8930	6	623995	0
396	1	生命神兵	396	8990	6	627382	0
397	1	生命神兵	397	9070	6	630782	0
398	1	生命神兵	398	9140	6	634193	0
399	1	生命神兵	399	9210	6	637617	0
400	1	生命神兵	400	9270	6	641053	0
501	2	攻击神兵	0	1115	0	0	0
502	2	攻击神兵	1	35	7	451	0
503	2	攻击神兵	2	40	7	459	0
504	2	攻击神兵	3	40	7	467	0
505	2	攻击神兵	4	45	7	475	0
506	2	攻击神兵	5	45	7	483	0
507	2	攻击神兵	6	45	7	491	0
508	2	攻击神兵	7	45	7	499	0
509	2	攻击神兵	8	45	7	507	0
510	2	攻击神兵	9	50	7	516	0
511	2	攻击神兵	10	50	7	524	0
512	2	攻击神兵	11	50	7	532	0
513	2	攻击神兵	12	55	7	541	0
514	2	攻击神兵	13	55	7	549	0
515	2	攻击神兵	14	55	7	557	0
516	2	攻击神兵	15	55	7	566	0
517	2	攻击神兵	16	60	7	574	0
518	2	攻击神兵	17	60	7	583	0
519	2	攻击神兵	18	60	7	592	0
520	2	攻击神兵	19	65	7	600	0
521	2	攻击神兵	20	65	7	609	0
522	2	攻击神兵	21	65	7	618	0
523	2	攻击神兵	22	65	7	626	0
524	2	攻击神兵	23	70	7	635	0
525	2	攻击神兵	24	75	7	644	0
526	2	攻击神兵	25	75	7	653	0
527	2	攻击神兵	26	75	7	662	0
528	2	攻击神兵	27	75	7	671	0
529	2	攻击神兵	28	80	7	680	0
530	2	攻击神兵	29	80	7	689	0
531	2	攻击神兵	30	85	7	698	0
532	2	攻击神兵	31	85	7	708	0
533	2	攻击神兵	32	90	7	717	0
534	2	攻击神兵	33	90	7	726	0
535	2	攻击神兵	34	90	7	736	0
536	2	攻击神兵	35	90	7	745	0
537	2	攻击神兵	36	95	7	754	0
538	2	攻击神兵	37	95	7	764	0
539	2	攻击神兵	38	100	7	774	0
540	2	攻击神兵	39	100	7	783	0
541	2	攻击神兵	40	100	7	793	0
542	2	攻击神兵	41	105	7	803	0
543	2	攻击神兵	42	105	7	812	0
544	2	攻击神兵	43	110	7	822	0
545	2	攻击神兵	44	110	7	832	0
546	2	攻击神兵	45	115	7	842	0
547	2	攻击神兵	46	115	7	852	0
548	2	攻击神兵	47	115	7	862	0
549	2	攻击神兵	48	120	7	872	0
550	2	攻击神兵	49	125	7	882	0
551	2	攻击神兵	50	125	7	892	0
552	2	攻击神兵	51	130	7	903	0
553	2	攻击神兵	52	130	7	913	0
554	2	攻击神兵	53	130	7	923	0
555	2	攻击神兵	54	135	7	934	0
556	2	攻击神兵	55	140	7	944	0
557	2	攻击神兵	56	140	7	955	0
558	2	攻击神兵	57	140	7	965	0
559	2	攻击神兵	58	145	7	976	0
560	2	攻击神兵	59	150	7	986	0
561	2	攻击神兵	60	150	7	997	0
562	2	攻击神兵	61	150	7	1008	0
563	2	攻击神兵	62	160	7	1019	0
564	2	攻击神兵	63	160	7	1030	0
565	2	攻击神兵	64	160	7	1041	0
566	2	攻击神兵	65	165	7	1052	0
567	2	攻击神兵	66	165	7	1063	0
568	2	攻击神兵	67	175	7	1074	0
569	2	攻击神兵	68	175	7	1085	0
570	2	攻击神兵	69	180	7	1097	0
571	2	攻击神兵	70	180	7	1108	0
572	2	攻击神兵	71	180	7	1119	0
573	2	攻击神兵	72	190	7	1131	0
574	2	攻击神兵	73	190	7	1142	0
575	2	攻击神兵	74	190	7	1154	0
576	2	攻击神兵	75	195	7	1165	0
577	2	攻击神兵	76	200	7	1177	0
578	2	攻击神兵	77	205	7	1189	0
579	2	攻击神兵	78	205	7	1201	0
580	2	攻击神兵	79	210	7	1213	0
581	2	攻击神兵	80	215	7	1224	0
582	2	攻击神兵	81	215	7	1236	0
583	2	攻击神兵	82	220	7	1249	0
584	2	攻击神兵	83	225	7	1261	0
585	2	攻击神兵	84	230	7	1273	0
586	2	攻击神兵	85	230	7	1285	0
587	2	攻击神兵	86	235	7	1297	0
588	2	攻击神兵	87	240	7	1310	0
589	2	攻击神兵	88	245	7	1322	0
590	2	攻击神兵	89	245	7	1335	0
591	2	攻击神兵	90	250	7	1347	0
592	2	攻击神兵	91	255	7	1360	0
593	2	攻击神兵	92	260	7	1373	0
594	2	攻击神兵	93	265	7	1386	0
595	2	攻击神兵	94	265	7	1398	0
596	2	攻击神兵	95	275	7	1411	0
597	2	攻击神兵	96	275	7	1424	0
598	2	攻击神兵	97	280	7	1437	0
599	2	攻击神兵	98	285	7	1450	0
600	2	攻击神兵	99	290	7	1464	0
601	2	攻击神兵	100	290	7	1477	0
602	2	攻击神兵	101	300	7	1490	0
603	2	攻击神兵	102	300	7	1504	0
604	2	攻击神兵	103	310	7	1517	0
605	2	攻击神兵	104	310	7	1531	0
606	2	攻击神兵	105	320	7	1544	0
607	2	攻击神兵	106	320	7	1558	0
608	2	攻击神兵	107	325	7	1572	0
609	2	攻击神兵	108	330	7	1585	0
610	2	攻击神兵	109	340	7	1599	0
611	2	攻击神兵	110	340	7	1613	0
612	2	攻击神兵	111	345	7	1627	0
613	2	攻击神兵	112	350	7	1641	0
614	2	攻击神兵	113	360	7	1656	0
615	2	攻击神兵	114	360	7	1670	0
616	2	攻击神兵	115	365	7	1684	0
617	2	攻击神兵	116	375	7	1699	0
618	2	攻击神兵	117	375	7	1713	0
619	2	攻击神兵	118	385	7	1728	0
620	2	攻击神兵	119	390	7	1742	0
621	2	攻击神兵	120	395	7	1757	0
622	2	攻击神兵	121	400	7	1772	0
623	2	攻击神兵	122	405	7	1787	0
624	2	攻击神兵	123	410	7	1801	0
625	2	攻击神兵	124	420	7	1816	0
626	2	攻击神兵	125	420	7	1832	0
627	2	攻击神兵	126	430	7	1847	0
628	2	攻击神兵	127	435	7	1862	0
629	2	攻击神兵	128	445	7	1877	0
630	2	攻击神兵	129	445	7	1893	0
631	2	攻击神兵	130	455	7	1908	0
632	2	攻击神兵	131	460	7	1924	0
633	2	攻击神兵	132	465	7	1939	0
634	2	攻击神兵	133	475	7	1955	0
635	2	攻击神兵	134	480	7	1971	0
636	2	攻击神兵	135	485	7	1986	0
637	2	攻击神兵	136	495	7	2002	0
638	2	攻击神兵	137	500	7	2018	0
639	2	攻击神兵	138	505	7	2035	0
640	2	攻击神兵	139	515	7	2051	0
641	2	攻击神兵	140	520	7	2067	0
642	2	攻击神兵	141	525	7	2083	0
643	2	攻击神兵	142	535	7	2100	0
644	2	攻击神兵	143	540	7	2116	0
645	2	攻击神兵	144	550	7	2133	0
646	2	攻击神兵	145	555	7	2149	0
647	2	攻击神兵	146	565	7	2166	0
648	2	攻击神兵	147	570	7	2183	0
649	2	攻击神兵	148	580	7	2200	0
650	2	攻击神兵	149	585	7	2217	0
651	2	攻击神兵	150	595	7	2234	0
652	2	攻击神兵	151	600	7	2251	0
653	2	攻击神兵	152	610	7	2268	0
654	2	攻击神兵	153	615	7	2286	0
655	2	攻击神兵	154	630	7	2303	0
656	2	攻击神兵	155	630	7	2320	0
657	2	攻击神兵	156	645	7	2338	0
658	2	攻击神兵	157	650	7	2356	0
659	2	攻击神兵	158	655	7	2373	0
660	2	攻击神兵	159	670	7	2391	0
661	2	攻击神兵	160	675	7	2409	0
662	2	攻击神兵	161	680	7	2427	0
663	2	攻击神兵	162	695	7	2445	0
664	2	攻击神兵	163	700	7	2463	0
665	2	攻击神兵	164	710	7	2482	0
666	2	攻击神兵	165	720	7	2500	0
667	2	攻击神兵	166	730	7	2518	0
668	2	攻击神兵	167	735	7	2537	0
669	2	攻击神兵	168	750	7	2556	0
670	2	攻击神兵	169	755	7	2574	0
671	2	攻击神兵	170	765	7	2593	0
672	2	攻击神兵	171	775	7	2612	0
673	2	攻击神兵	172	785	7	2631	0
674	2	攻击神兵	173	790	7	2650	0
675	2	攻击神兵	174	805	7	2669	0
676	2	攻击神兵	175	815	7	2688	0
677	2	攻击神兵	176	825	7	2708	0
678	2	攻击神兵	177	830	7	2727	0
679	2	攻击神兵	178	845	7	2747	0
680	2	攻击神兵	179	855	7	2766	0
681	2	攻击神兵	180	865	7	2786	0
682	2	攻击神兵	181	875	7	2806	0
683	2	攻击神兵	182	885	7	2826	0
684	2	攻击神兵	183	895	7	2846	0
685	2	攻击神兵	184	910	7	2866	0
686	2	攻击神兵	185	915	7	2886	0
687	2	攻击神兵	186	930	7	2906	0
688	2	攻击神兵	187	940	7	2927	0
689	2	攻击神兵	188	950	7	2947	0
690	2	攻击神兵	189	965	7	2968	0
691	2	攻击神兵	190	970	7	2988	0
692	2	攻击神兵	191	985	7	3009	0
693	2	攻击神兵	192	1000	7	3030	0
694	2	攻击神兵	193	1005	7	3051	0
695	2	攻击神兵	194	1020	7	3072	0
696	2	攻击神兵	195	1035	7	3093	0
697	2	攻击神兵	196	1040	7	3114	0
698	2	攻击神兵	197	1060	7	3135	0
699	2	攻击神兵	198	1065	7	3157	0
700	2	攻击神兵	199	1080	7	3178	0
701	2	攻击神兵	200	1095	7	3200	0
702	2	攻击神兵	201	1105	7	3222	0
703	2	攻击神兵	202	1120	7	3244	0
704	2	攻击神兵	203	1130	7	3265	0
705	2	攻击神兵	204	1145	7	3287	0
706	2	攻击神兵	205	1155	7	3310	0
707	2	攻击神兵	206	1170	7	3332	0
708	2	攻击神兵	207	1185	7	3354	0
709	2	攻击神兵	208	1195	7	3376	0
710	2	攻击神兵	209	1210	7	3399	0
711	2	攻击神兵	210	1225	7	3422	0
712	2	攻击神兵	211	1240	7	3444	0
713	2	攻击神兵	212	1250	7	3467	0
714	2	攻击神兵	213	1265	7	3490	0
715	2	攻击神兵	214	1280	7	3513	0
716	2	攻击神兵	215	1295	7	3536	0
717	2	攻击神兵	216	1305	7	3559	0
718	2	攻击神兵	217	1325	7	3583	0
719	2	攻击神兵	218	1335	7	3606	0
720	2	攻击神兵	219	1355	7	3630	0
721	2	攻击神兵	220	1365	7	3653	0
722	2	攻击神兵	221	1380	7	3677	0
723	2	攻击神兵	222	1400	7	3701	0
724	2	攻击神兵	223	1410	7	3725	0
725	2	攻击神兵	224	1430	7	3749	0
726	2	攻击神兵	225	1440	7	3773	0
727	2	攻击神兵	226	1460	7	3797	0
728	2	攻击神兵	227	1475	7	3822	0
729	2	攻击神兵	228	1490	7	3846	0
730	2	攻击神兵	229	1505	7	3871	0
731	2	攻击神兵	230	1525	7	3896	0
732	2	攻击神兵	231	1535	7	3920	0
733	2	攻击神兵	232	1560	7	3945	0
734	2	攻击神兵	233	1570	7	3970	0
735	2	攻击神兵	234	1590	7	3995	0
736	2	攻击神兵	235	1605	7	4021	0
737	2	攻击神兵	236	1620	7	4046	0
738	2	攻击神兵	237	1640	7	4071	0
739	2	攻击神兵	238	1655	7	4097	0
