int	int	int	int	int	int[]	int[]
262	2	6	7	1	5012|5202	288|34
263	2	7	7	1	5012|5202	288|34
264	2	3	7	2	5022|5202	288|34
265	2	4	7	2	5022|5202	288|34
266	2	5	7	2	5022|5202	288|34
267	2	6	7	2	5022|5202	288|34
268	2	7	7	2	5022|5202	288|34
269	2	3	7	3	5032|5202	288|34
270	2	4	7	3	5032|5202	288|34
271	2	5	7	3	5032|5202	288|34
272	2	6	7	3	5032|5202	288|34
273	2	7	7	3	5032|5202	288|34
274	2	3	8	1	5012|5202	532|55
275	2	4	8	1	5012|5202	532|55
276	2	5	8	1	5012|5202	532|55
277	2	6	8	1	5012|5202	532|55
278	2	7	8	1	5012|5202	532|55
279	2	3	8	2	5022|5202	532|55
280	2	4	8	2	5022|5202	532|55
281	2	5	8	2	5022|5202	532|55
282	2	6	8	2	5022|5202	532|55
283	2	7	8	2	5022|5202	532|55
284	2	3	8	3	5032|5202	532|55
285	2	4	8	3	5032|5202	532|55
286	2	5	8	3	5032|5202	532|55
287	2	6	8	3	5032|5202	532|55
288	2	7	8	3	5032|5202	532|55
