int	int	string	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	string	string	int	string	string	int 	int 	int 	int 	string	int	int	int	int	int[]	string
49	1	炎窟证道	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>2270</color></r>攻击力+<color=#35e122>155</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>完成"挑战极炎之兽"任务奖励	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47	98	称号
50	1	天外飞仙	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>1580</color></r>攻击力+<color=#35e122>105</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>完成"挑战白泽"任务奖励	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47	98	称号
51	1	赏金猎人	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>2070</color></r>攻击力+<color=#35e122>140</color></r>防御力+<color=#35e122>30</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>完成修行成就：师门悬赏额外奖励获得180万以上铜钱	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47		称号
52	1	滴滴！学生卡	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	9	0	0	144000	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>2270</color></r>攻击力+<color=#35e122>155</color></r>防御力+<color=#35e122>40</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>完成修行成就：累计签到180天	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47		称号
53	1	搬砖党	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>1580</color></r>攻击力+<color=#35e122>105</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>七天登录-第五天奖励	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47		称号
54	1	万人斩	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>5000</color></r>攻击力+<color=#35e122>300</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>在上古战场累计击杀100名玩家获得	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47	26	称号
55	1	修罗战神	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>5200</color></r>攻击力+<color=#35e122>320</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>在上古战场累计完成10次20连杀	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47	26	称号
56	1	仙魔最强者	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>PVP伤害+<color=#35e122>5%</color></r></r>有效期：40小时</r></r><color=#31cefb>获取途径:</color></r>仙魔之争积分排名第一	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47	44	称号
57	1	凌波微步	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>3000</color></r>攻击力+<color=#35e122>150</color></r>防御+<color=#35e122>30</color></r>获得后可激活技能：凌波微步，使用翻滚后移动速度<color=#35e122>+20%</color>，持续<color=#35e122>15秒</color>,冷却时间60秒</r></r><color=#31cefb>获取途径:</color></r>超值经典称号，购买超值礼包后获得	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47	71	称号
58	1	烈焰战神	4	0	0	999	1	0	0	0	1	0	0	10	0	50	1	204	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	<%>	icon_title	0	使用后可获得称号</r>获得属性</r>生命+<color=#35e122>10100</color></r>攻击力+<color=#35e122>505</color></r>获得后可激活技能：烈焰陨石，攻击时有<color=#35e122>10%</color>概率触发烈焰陨石，对角色周围造成<color=#35e122>300%</color>的伤害，冷却时间<color=#35e122>15秒</color></r></r>有效期：永久</r></r><color=#31cefb>获取途径:</color></r>开服活动—坐骑排行榜第一名奖励	<%>	0	0	0	0	ItemInfoPanel	2	1	0	47	99	称号
101	1	初级生命神兵石	20	0	0	999	110	1	1	0	1	0	0	2	0	10	1	206	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	<%>	SB_life1	0	用于升级生命神兵的材料，每个材料可以增加<color=#35e122>10点</color>神兵经验</r></r><color=#31cefb>获取途径:</color></r>混乱妖域</r>上古战场</r>仙盟联赛</r>商城-每周限购</r>境界护法	<%>	0	0	0	0	ItemInfoPanel		1	0	4	73|7|26|63	神兵石
102	2	中级生命神兵石	20	0	0	999	110	1	1	0	1	0	0	12	0	20	1	206	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	<%>	SB_life2	0	用于升级生命神兵的材料，每个材料可以增加<color=#35e122>60点</color>神兵经验</r></r><color=#31cefb>获取途径:</color></r>混乱妖域</r>上古战场</r>仙盟联赛</r>商城-每周限购</r>境界护法	<%>	0	0	0	0	ItemInfoPanel		1	0	4	73|7|26|63	神兵石
103	3	高级生命神兵石	20	0	0	999	110	1	1	0	1	0	0	60	0	50	1	206	300	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	<%>	SB_life3	0	用于升级生命神兵的材料，每个材料可以增加<color=#35e122>300点</color>神兵经验</r></r><color=#31cefb>获取途径:</color></r>混乱妖域</r>上古战场</r>仙盟联赛</r>商城-每周限购</r>境界护法	<%>	0	0	0	0	ItemInfoPanel		1	0	4	73|7|26|63	神兵石
