int	int	int	int	string	string	int[]	int
251	302	1	1110	6|7|23	1238|61|60	0	0
252	302	2	1205	6|7|23	2126|106|60	0	1110
253	302	3	1308	6|7|23	3061|153|60	0	2315
254	302	4	1419	6|7|23	4043|202|60	49075	3623
255	302	5	1538	6|7|23	5072|253|60	0	5042
256	302	6	1665	6|7|23	6149|307|60	0	6580
257	302	7	1799	6|7|23	7303|365|60	0	8245
258	302	8	1941	6|7|23	8537|426|60	0	10044
259	302	9	2092	6|7|23	9856|492|60	0	11985
260	302	10	2250	6|7|23	11262|563|60	49080	14077
261	302	11	2416	6|7|23	12758|637|60	0	16327
262	302	12	2590	6|7|23	14325|716|60	0	18743
263	302	13	2771	6|7|23	15962|798|60	0	21333
264	302	14	2961	6|7|23	17668|883|60	0	24104
265	302	15	3158	6|7|23	19442|972|60	0	27065
266	302	16	3364	6|7|23	21283|1064|60	0	30223
267	302	17	3577	6|7|23	23187|1159|60	0	33587
268	302	18	3798	6|7|23	25153|1257|60	0	37164
269	302	19	4027	6|7|23	27177|1358|60	0	40962
270	302	20	4264	6|7|23	29258|1462|60	49085	44989
271	302	21	4509	6|7|23	31390|1569|60	0	49253
272	302	22	4761	6|7|23	33588|1679|60	0	53762
273	302	23	5022	6|7|23	35850|1792|60	0	58523
274	302	24	5290	6|7|23	38173|1908|60	0	63545
275	302	25	5566	6|7|23	40553|2027|60	0	68835
276	302	26	5850	6|7|23	42989|2149|60	0	74401
277	302	27	6142	6|7|23	45476|2273|60	0	80251
278	302	28	6442	6|7|23	48009|2400|60	0	86393
279	302	29	6750	6|7|23	50586|2529|60	0	92835
280	302	30	7065	6|7|23	53202|2660|60	0	99585
281	302	31	7389	6|7|23	55852|2792|60	0	106650
282	302	32	7720	6|7|23	58568|2928|60	0	114039
283	302	33	8059	6|7|23	61347|3067|60	0	121759
284	302	34	8406	6|7|23	64188|3209|60	0	129818
285	302	35	8761	6|7|23	67088|3354|60	0	138224
286	302	36	9124	6|7|23	70046|3502|60	0	146985
287	302	37	9495	6|7|23	73057|3652|60	0	156109
288	302	38	9873	6|7|23	76119|3805|60	0	165604
289	302	39	10223	6|7|23	79229|3961|60	0	175477
290	302	40	0	6|7|23	82384|4119|60	0	185700
301	303	1	1184	6|7|23	1746|87|60	0	0
302	303	2	1286	6|7|23	2693|134|60	0	1184
303	303	3	1396	6|7|23	3690|184|60	0	2470
304	303	4	1514	6|7|23	4737|236|60	49060	3866
305	303	5	1641	6|7|23	5835|291|60	0	5380
306	303	6	1776	6|7|23	6984|349|60	0	7021
307	303	7	1919	6|7|23	8215|410|60	0	8797
308	303	8	2071	6|7|23	9532|476|60	0	10716
309	303	9	2231	6|7|23	10938|546|60	0	12787
310	303	10	2400	6|7|23	12438|621|60	49065	15018
311	303	11	2577	6|7|23	14034|701|60	0	17418
312	303	12	2762	6|7|23	15705|785|60	0	19995
313	303	13	2956	6|7|23	17452|872|60	0	22757
314	303	14	3158	6|7|23	19271|963|60	0	25713
315	303	15	3369	6|7|23	21164|1058|60	0	28871
316	303	16	3588	6|7|23	23126|1156|60	0	32240
317	303	17	3816	6|7|23	25158|1257|60	0	35828
318	303	18	4051	6|7|23	27255|1362|60	0	39644
319	303	19	4296	6|7|23	29414|1470|60	0	43695
320	303	20	4548	6|7|23	31633|1581|60	49070	47991
321	303	21	4809	6|7|23	33908|1695|60	0	52539
322	303	22	5079	6|7|23	36252|1812|60	0	57348
323	303	23	5357	6|7|23	38665|1933|60	0	62427
324	303	24	5643	6|7|23	41143|2057|60	0	67784
325	303	25	5937	6|7|23	43682|2184|60	0	73427
326	303	26	6240	6|7|23	46280|2314|60	0	79364
327	303	27	6552	6|7|23	48932|2446|60	0	85604
328	303	28	6872	6|7|23	51635|2581|60	0	92156
329	303	29	7200	6|7|23	54384|2719|60	0	99028
330	303	30	7536	6|7|23	57174|2858|60	0	106228
331	303	31	7881	6|7|23	60000|3000|60	0	113764
332	303	32	8235	6|7|23	62897|3144|60	0	121645
333	303	33	8597	6|7|23	65862|3293|60	0	129880
334	303	34	8967	6|7|23	68892|3444|60	0	138477
335	303	35	9345	6|7|23	71986|3599|60	0	147444
336	303	36	9732	6|7|23	75140|3757|60	0	156789
337	303	37	10128	6|7|23	78352|3917|60	0	166521
338	303	38	10532	6|7|23	81619|4080|60	0	176649
339	303	39	10919	6|7|23	84936|4246|60	0	187181
340	303	40	0	6|7|23	88302|4415|60	0	198100
351	304	1	1480	6|7|23	2858|142|60	0	0
352	304	2	1607	6|7|23	4043|202|60	0	1480
353	304	3	1745	6|7|23	5289|264|60	0	3087
354	304	4	1892	6|7|23	6598|329|60	49105	4832
355	304	5	2051	6|7|23	7970|398|60	0	6724
356	304	6	2220	6|7|23	9406|470|60	0	8775
357	304	7	2399	6|7|23	10945|547|60	0	10995
358	304	8	2589	6|7|23	12591|629|60	0	13394
359	304	9	2789	6|7|23	14349|717|60	0	15983
360	304	10	3000	6|7|23	16223|811|60	49110	18772
361	304	11	3221	6|7|23	18219|910|60	0	21772
362	304	12	3453	6|7|23	20308|1015|60	0	24993
363	304	13	3695	6|7|23	22491|1124|60	0	28446
364	304	14	3948	6|7|23	24765|1238|60	0	32141
365	304	15	4211	6|7|23	27131|1356|60	0	36089
366	304	16	4485	6|7|23	29584|1479|60	0	40300
367	304	17	4770	6|7|23	32123|1606|60	0	44785
368	304	18	5064	6|7|23	34744|1737|60	0	49555
369	304	19	5370	6|7|23	37444|1872|60	0	54619
370	304	20	5685	6|7|23	40217|2010|60	49115	59989
371	304	21	6012	6|7|23	43060|2153|60	0	65674
372	304	22	6349	6|7|23	45991|2299|60	0	71686
373	304	23	6696	6|7|23	49007|2450|60	0	78035
374	304	24	7054	6|7|23	52104|2605|60	0	84731
375	304	25	7422	6|7|23	55279|2763|60	0	91785
376	304	26	7801	6|7|23	58526|2926|60	0	99207
377	304	27	8190	6|7|23	61841|3092|60	0	107008
378	304	28	8590	6|7|23	65220|3261|60	0	115198
379	304	29	9000	6|7|23	68656|3432|60	0	123788
380	304	30	9421	6|7|23	72144|3607|60	0	132788
381	304	31	9852	6|7|23	75677|3783|60	0	142209
382	304	32	10294	6|7|23	79297|3964|60	0	152061
383	304	33	10746	6|7|23	83003|4150|60	0	162355
384	304	34	11209	6|7|23	86791|4339|60	0	173101
385	304	35	11682	6|7|23	90659|4532|60	0	184310
386	304	36	12166	6|7|23	94601|4730|60	0	195992
387	304	37	12660	6|7|23	98616|4930|60	0	208158
388	304	38	13165	6|7|23	102699|5134|60	0	220818
389	304	39	13717	6|7|23	106846|5342|60	0	233983
390	304	40	0	6|7|23	111053|5552|60	0	247700
401	402	1	2468	6|7|23	15998|799|80	0	0
402	402	2	2679	6|7|23	17973|898|80	0	2468
403	402	3	2908	6|7|23	20049|1002|80	0	5147
404	402	4	3154	6|7|23	22231|1111|80	49120	8055
405	402	5	3418	6|7|23	24518|1225|80	0	11209
406	402	6	3700	6|7|23	26911|1345|80	0	14627
407	402	7	3999	6|7|23	29476|1473|80	0	18327
408	402	8	4315	6|7|23	32219|1610|80	0	22326
409	402	9	4649	6|7|23	35149|1757|80	0	26641
410	402	10	5000	6|7|23	38274|1913|80	49125	31290
411	402	11	5369	6|7|23	41599|2079|80	0	36290
412	402	12	5755	6|7|23	45081|2254|80	0	41659
413	402	13	6159	6|7|23	48719|2435|80	0	47414
414	402	14	6581	6|7|23	52510|2625|80	0	53573
415	402	15	7019	6|7|23	56452|2822|80	0	60154
416	402	16	7476	6|7|23	60542|3027|80	0	67173
417	402	17	7950	6|7|23	64773|3238|80	0	74649
418	402	18	8441	6|7|23	69142|3457|80	0	82599
419	402	19	8950	6|7|23	73641|3682|80	0	91040
420	402	20	9476	6|7|23	78264|3913|80	49130	99990
421	402	21	10020	6|7|23	83002|4150|80	0	109466
422	402	22	10581	6|7|23	87887|4394|80	0	119486
423	402	23	11160	6|7|23	92913|4645|80	0	130067
424	402	24	11756	6|7|23	98075|4903|80	0	141227
425	402	25	12370	6|7|23	103366|5168|80	0	152983
426	402	26	13001	6|7|23	108778|5438|80	0	165353
427	402	27	13650	6|7|23	114304|5715|80	0	178354
428	402	28	14316	6|7|23	119935|5996|80	0	192004
429	402	29	15000	6|7|23	125661|6283|80	0	206320
430	402	30	15701	6|7|23	131474|6573|80	0	221320
431	402	31	16420	6|7|23	137362|6868|80	0	237021
432	402	32	17157	6|7|23	143397|7169|80	0	253441
433	402	33	17910	6|7|23	149574|7478|80	0	270598
434	402	34	18682	6|7|23	155887|7794|80	0	288508
435	402	35	19470	6|7|23	162332|8116|80	0	307190
436	402	36	20277	6|7|23	168904|8445|80	0	326660
437	402	37	21100	6|7|23	175595|8779|80	0	346937
438	402	38	21941	6|7|23	182400|9120|80	0	368037
439	402	39	22800	6|7|23	189312|9465|80	0	389978
440	402	40	23676	6|7|23	196323|9816|80	0	412778
441	402	41	24570	6|7|23	203426|10171|80	0	436454
442	402	42	25481	6|7|23	210797|10539|80	0	461024
443	402	43	26410	6|7|23	218442|10922|80	0	486505
444	402	44	27356	6|7|23	226365|11318|80	0	512915
445	402	45	28320	6|7|23	234572|11728|80	0	540271
446	402	46	29301	6|7|23	243068|12153|80	0	568591
447	402	47	30300	6|7|23	251859|12592|80	0	597892
448	402	48	31316	6|7|23	260949|13047|80	0	628192
449	402	49	32392	6|7|23	270344|13517|80	0	659508
450	402	50	0	6|7|23	280049|14002|80	0	691900
451	305	1	2468	6|7|23	15998|799|80	0	0
452	305	2	2679	6|7|23	17973|898|80	0	2468
453	305	3	2908	6|7|23	20049|1002|80	0	5147
454	305	4	3154	6|7|23	22231|1111|80	49090	8055
455	305	5	3418	6|7|23	24518|1225|80	0	11209
456	305	6	3700	6|7|23	26911|1345|80	0	14627
457	305	7	3999	6|7|23	29476|1473|80	0	18327
458	305	8	4315	6|7|23	32219|1610|80	0	22326
459	305	9	4649	6|7|23	35149|1757|80	0	26641
460	305	10	5000	6|7|23	38274|1913|80	49095	31290
461	305	11	5369	6|7|23	41599|2079|80	0	36290
462	305	12	5755	6|7|23	45081|2254|80	0	41659
463	305	13	6159	6|7|23	48719|2435|80	0	47414
464	305	14	6581	6|7|23	52510|2625|80	0	53573
465	305	15	7019	6|7|23	56452|2822|80	0	60154
466	305	16	7476	6|7|23	60542|3027|80	0	67173
467	305	17	7950	6|7|23	64773|3238|80	0	74649
468	305	18	8441	6|7|23	69142|3457|80	0	82599
469	305	19	8950	6|7|23	73641|3682|80	0	91040
470	305	20	9476	6|7|23	78264|3913|80	49100	99990
471	305	21	10020	6|7|23	83002|4150|80	0	109466
472	305	22	10581	6|7|23	87887|4394|80	0	119486
473	305	23	11160	6|7|23	92913|4645|80	0	130067
474	305	24	11756	6|7|23	98075|4903|80	0	141227
475	305	25	12370	6|7|23	103366|5168|80	0	152983
476	305	26	13001	6|7|23	108778|5438|80	0	165353
477	305	27	13650	6|7|23	114304|5715|80	0	178354
478	305	28	14316	6|7|23	119935|5996|80	0	192004
479	305	29	15000	6|7|23	125661|6283|80	0	206320
480	305	30	15701	6|7|23	131474|6573|80	0	221320
481	305	31	16420	6|7|23	137362|6868|80	0	237021
482	305	32	17157	6|7|23	143397|7169|80	0	253441
483	305	33	17910	6|7|23	149574|7478|80	0	270598
484	305	34	18682	6|7|23	155887|7794|80	0	288508
485	305	35	19470	6|7|23	162332|8116|80	0	307190
486	305	36	20277	6|7|23	168904|8445|80	0	326660
487	305	37	21100	6|7|23	175595|8779|80	0	346937
488	305	38	21941	6|7|23	182400|9120|80	0	368037
489	305	39	22800	6|7|23	189312|9465|80	0	389978
490	305	40	23676	6|7|23	196323|9816|80	0	412778
491	305	41	24570	6|7|23	203426|10171|80	0	436454
492	305	42	25481	6|7|23	210797|10539|80	0	461024
493	305	43	26410	6|7|23	218442|10922|80	0	486505
494	305	44	27356	6|7|23	226365|11318|80	0	512915
495	305	45	28320	6|7|23	234572|11728|80	0	540271
496	305	46	29301	6|7|23	243068|12153|80	0	568591
497	305	47	30300	6|7|23	251859|12592|80	0	597892
498	305	48	31316	6|7|23	260949|13047|80	0	628192
499	305	49	32392	6|7|23	270344|13517|80	0	659508
500	305	50	0	6|7|23	280049|14002|80	0	691900
501	404	1	2468	6|7|23	15998|799|80	0	0
502	404	2	2679	6|7|23	17973|898|80	0	2468
503	404	3	2908	6|7|23	20049|1002|80	0	5147
504	404	4	3154	6|7|23	22231|1111|80	49090	8055
505	404	5	3418	6|7|23	24518|1225|80	0	11209
506	404	6	3700	6|7|23	26911|1345|80	0	14627
507	404	7	3999	6|7|23	29476|1473|80	0	18327
508	404	8	4315	6|7|23	32219|1610|80	0	22326
509	404	9	4649	6|7|23	35149|1757|80	0	26641
510	404	10	5000	6|7|23	38274|1913|80	49095	31290
511	404	11	5369	6|7|23	41599|2079|80	0	36290
512	404	12	5755	6|7|23	45081|2254|80	0	41659
513	404	13	6159	6|7|23	48719|2435|80	0	47414
514	404	14	6581	6|7|23	52510|2625|80	0	53573
515	404	15	7019	6|7|23	56452|2822|80	0	60154
516	404	16	7476	6|7|23	60542|3027|80	0	67173
517	404	17	7950	6|7|23	64773|3238|80	0	74649
518	404	18	8441	6|7|23	69142|3457|80	0	82599
519	404	19	8950	6|7|23	73641|3682|80	0	91040
520	404	20	9476	6|7|23	78264|3913|80	49100	99990
521	404	21	10020	6|7|23	83002|4150|80	0	109466
522	404	22	10581	6|7|23	87887|4394|80	0	119486
523	404	23	11160	6|7|23	92913|4645|80	0	130067
524	404	24	11756	6|7|23	98075|4903|80	0	141227
525	404	25	12370	6|7|23	103366|5168|80	0	152983
526	404	26	13001	6|7|23	108778|5438|80	0	165353
527	404	27	13650	6|7|23	114304|5715|80	0	178354
528	404	28	14316	6|7|23	119935|5996|80	0	192004
529	404	29	15000	6|7|23	125661|6283|80	0	206320
530	404	30	15701	6|7|23	131474|6573|80	0	221320
531	404	31	16420	6|7|23	137362|6868|80	0	237021
532	404	32	17157	6|7|23	143397|7169|80	0	253441
533	404	33	17910	6|7|23	149574|7478|80	0	270598
534	404	34	18682	6|7|23	155887|7794|80	0	288508
535	404	35	19470	6|7|23	162332|8116|80	0	307190
536	404	36	20277	6|7|23	168904|8445|80	0	326660
537	404	37	21100	6|7|23	175595|8779|80	0	346937
538	404	38	21941	6|7|23	182400|9120|80	0	368037
539	404	39	22800	6|7|23	189312|9465|80	0	389978
540	404	40	23676	6|7|23	196323|9816|80	0	412778
541	404	41	24570	6|7|23	203426|10171|80	0	436454
542	404	42	25481	6|7|23	210797|10539|80	0	461024
543	404	43	26410	6|7|23	218442|10922|80	0	486505
544	404	44	27356	6|7|23	226365|11318|80	0	512915
545	404	45	28320	6|7|23	234572|11728|80	0	540271
546	404	46	29301	6|7|23	243068|12153|80	0	568591
547	404	47	30300	6|7|23	251859|12592|80	0	597892
548	404	48	31316	6|7|23	260949|13047|80	0	628192
549	404	49	32392	6|7|23	270344|13517|80	0	659508
550	404	50	0	6|7|23	280049|14002|80	0	691900
