int	string	string
600	Speak1	Speak_Guide_1
601	Speak1	Speak_Guide_2
602	Speak1	Speak_Guide_3
603	Speak1	Speak_Guide_4
604	Speak1	Speak_Guide_5
605	Speak1	Speak_Guide_6
606	Speak1	Speak_Guide_7
607	Speak1	Speak_Guide_8
608	Speak1	Speak_Guide_9
609	Speak1	Speak_Guide_10
610	Speak1	Speak_Guide_11
611	Speak1	Speak_Guide_12
612	Speak1	Speak_Guide_13
613	Speak1	Speak_Guide_14
614	Speak1	Speak_Guide_15
615	Speak1	Speak_Guide_16
616	Speak1	Speak_Guide_17
617	Speak1	Speak_Guide_18
618	Speak1	Speak_Guide_19
619	Speak1	Speak_Guide_20
620	Speak1	Speak_Guide_21
621	Speak1	Speak_Guide_22
622	Speak	Speak_Guide_23
623	Speak	Speak_Guide_24
624	Speak	Speak_Guide_25
625	Speak	Speak_Guide_26
626	Speak	Speak_Guide_27
627	Speak	Speak_Guide_28
628	Speak	Speak_Guide_29
629	Speak	Speak_Guide_30
630	Speak	Speak_Guide_31
631	Speak	Speak_Guide_32
632	Speak	Speak_Guide_33
633	Speak1	Speak_Task_1
634	Speak1	Speak_Task_2
635	Speak1	Speak_Task_5
636	Speak1	Speak_Task_6
637	Speak1	Speak_Task_7
638	Speak1	Speak_Task_8
639	Speak1	Speak_Task_9
640	Speak1	Speak_Task_10
641	Speak1	Speak_Task_11
642	Speak1	Speak_Task_12
643	Speak1	Speak_Task_13
644	Speak1	Speak_Task_14
645	Speak1	Speak_Task_15
646	Speak1	Speak_Task_15
647	Speak1	Speak_Task_17
648	Speak1	Speak_Task_18
649	Speak1	Speak_Task_19
650	Speak1	Speak_Task_20
651	Speak1	Speak_Task_21
652	Speak	Speak_Task_22
653	Speak	Speak_Task_23
654	Speak	Speak_Task_24
655	Speak	Speak_Task_25
656	Speak	Speak_Task_26
657	Speak1	Speak_NPC_1
658	Speak1	Speak_NPC_2
659	Speak1	Speak_NPC_3
660	Speak1	Speak_NPC_4
661	Speak	Speak_NPC_5
662	Speak1	Speak_NPC_6
663	Speak	Speak_NPC_7
664	Speak	Speak_NPC_8
665	Speak	Speak_NPC_9
666	Speak	Speak_NPC_10
667	Speak	Speak_NPC_11
668	Speak	Speak_NPC_12
669	Speak	Speak_NPC_13
670	Speak	Speak_NPC_14
671	Speak	Speak_NPC_15
672	Speak1	Speak_NPC_16
673	Speak	Speak_NPC_17
674	Speak1	Speak_NPC_18
675	Speak	Speak_NPC_19
676	Speak	Speak_NPC_20
677	Speak	Speak_NPC_21
678	Speak	Speak_NPC_22
679	Speak1	NPC_Speaker_01
680	Speak	NPC_Speaker_02
681	Speak	NPC_Speaker_03
682	Speak	NPC_Speaker_05
683	Speak	NPC_Speaker_06
684	Speak	NPC_Speaker_04
685	Speak1	NPC_Speaker_07
686	Speak	NPC_Speaker_09
687	Speak	NPC_Speaker_10
688	Speak	NPC_Speaker_08
689	Speak1	Speak_create_1
690	Speak1	Speak_create_2
