int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int
66	1520	1520	9605	8464	6296	1693	400	800	1511	19	4339	4339	9605	8464	3462	6296	29	12806	3841
67	1540	1540	9796	8700	6421	1740	408	816	1517	21	4426	4426	9796	8700	3559	6421	29	13061	3918
68	1560	1560	9974	8940	6585	1788	416	831	1522	23	4475	4475	9974	8940	3657	6585	29	13298	3989
69	1580	1580	10396	9395	6810	1879	433	866	1528	26	4700	4700	10396	9395	3843	6810	29	13861	4158
70	1600	1600	10654	9656	6955	1931	444	888	1534	28	4833	4833	10654	9656	3950	6955	29	14206	4261
71	1620	1620	10960	9935	7160	1987	457	913	1540	31	4969	4969	10960	9935	4064	7160	29	14614	4384
72	1640	1640	11299	10246	7386	2049	471	942	1545	34	5119	5119	11299	10246	4191	7386	29	15066	4519
73	1660	1660	11717	10534	7592	2107	488	976	1551	37	5353	5353	11717	10534	4309	7592	29	15623	4686
74	1680	1680	12323	11074	7899	2215	513	1027	1557	41	5688	5688	12323	11074	4530	7899	29	16431	4929
75	1700	1700	12732	11407	8145	2281	530	1061	1563	45	5886	5886	12732	11407	4666	8145	29	16976	5092
76	1720	1720	13352	12058	8392	2412	556	1113	1568	50	6273	6273	13352	12058	4932	8392	29	17803	5340
77	1740	1740	13597	12320	8478	2464	567	1133	1574	53	6434	6434	13597	12320	5040	8478	29	18129	5438
78	1760	1760	13828	12584	8563	2517	576	1152	1580	56	6582	6582	13828	12584	5147	8563	29	18437	5531
79	1780	1780	14119	12902	8649	2580	588	1177	1586	60	6784	6784	14119	12902	5278	8649	29	18826	5647
80	1800	1800	14785	13559	8957	2712	616	1232	1591	65	7171	7171	14785	13559	5546	8957	29	19714	5914
81	1820	1820	14879	13654	8987	2731	620	1240	1597	68	7234	7234	14879	13654	5585	8987	29	19839	5951
82	1840	1840	14944	13749	9012	2750	623	1245	1603	71	7275	7275	14944	13749	5624	9012	29	19925	5977
83	1860	1860	15025	13844	9047	2769	626	1252	1609	74	7323	7323	15025	13844	5663	9047	29	20033	6009
84	1880	1880	15140	13964	9154	2793	631	1262	1614	78	7355	7355	15140	13964	5712	9154	29	20187	6056
85	1900	1900	15258	14122	9163	2824	636	1272	1620	81	7453	7453	15258	14122	5777	9163	29	20344	6103
86	1920	1920	15328	14287	9209	2857	639	1277	1626	84	7485	7485	15328	14287	5844	9209	29	20437	6131
87	1940	1940	15489	14525	9254	2905	645	1291	1632	88	7598	7598	15489	14525	5942	9254	29	20652	6195
88	1960	1960	15621	14735	9325	2947	651	1302	1637	91	7668	7668	15621	14735	6027	9325	29	20829	6248
89	1980	1980	15724	14929	9371	2986	655	1310	1643	94	7730	7730	15724	14929	6107	9371	29	20966	6289
90	2000	2000	16161	15509	9564	3102	673	1347	1649	100	7989	7989	16161	15509	6344	9564	29	21548	6464
91	2020	2020	16720	16254	9793	3251	697	1393	1655	106	8333	8333	16720	16254	6649	9793	29	22293	6687
92	2040	2040	16860	16535	9926	3307	703	1405	1660	110	8369	8369	16860	16535	6764	9926	29	22480	6744
93	2060	2060	16969	16809	10013	3362	707	1414	1666	114	8408	8408	16969	16809	6876	10013	29	22626	6787
94	2080	2080	17154	17168	10084	3434	715	1429	1672	118	8525	8525	17154	17168	7023	10084	29	22872	6861
95	2100	2100	17461	17661	10171	3532	728	1455	1678	123	8739	8739	17461	17661	7225	10171	29	23281	6984
96	2120	2120	17716	18025	10304	3605	738	1476	1683	128	8877	8877	17716	18025	7373	10304	29	23621	7086
97	2140	2140	17941	18375	10391	3675	748	1495	1689	133	9020	9020	17941	18375	7516	10391	29	23922	7176
98	2160	2160	18143	18727	10484	3745	756	1512	1695	138	9137	9137	18143	18727	7660	10484	29	24190	7257
99	2180	2180	18367	19077	10571	3815	765	1531	1701	143	9278	9278	18367	19077	7804	10571	29	24489	7346
100	2200	2200	18690	19532	10720	3906	779	1558	1706	149	9466	9466	18690	19532	7990	10720	29	24920	7476
101	2220	2220	19236	20200	10824	4040	802	1603	1712	156	9883	9883	19236	20200	8263	10824	29	25649	7694
102	2240	2240	19830	20901	10979	4180	826	1652	1718	165	10307	10307	19830	20901	8550	10979	29	26440	7931
103	2260	2260	20227	21323	11098	4265	843	1686	1724	172	10581	10581	20227	21323	8723	11098	29	26970	8090
104	2280	2280	20915	22100	11274	4420	871	1743	1730	181	11075	11075	20915	22100	9041	11274	29	27887	8366
105	2300	2300	21514	22816	11414	4563	896	1793	1735	190	11514	11514	21514	22816	9333	11414	29	28686	8605
106	2320	2320	22437	23987	11529	4797	935	1870	1741	202	12258	12258	22437	23987	9812	11529	29	29916	8974
107	2340	2340	23161	24818	11690	4964	965	1930	1747	213	12793	12793	23161	24818	10152	11690	29	30881	9264
108	2360	2360	23856	25599	11887	5120	994	1988	1753	223	13280	13280	23856	25599	10472	11887	29	31808	9542
109	2380	2380	24707	26487	12172	5297	1029	2059	1758	236	13846	13846	24707	26487	10835	12172	29	32942	9882
110	2400	2400	25376	27268	12349	5454	1057	2115	1764	247	14323	14323	25376	27268	11155	12349	29	33835	10150
111	2420	2420	25653	27701	12470	5540	1069	2138	1770	254	14489	14489	25653	27701	11332	12470	29	34204	10261
112	2440	2440	26781	29238	12668	5848	1116	2232	1776	270	15359	15359	26781	29238	11961	12668	29	35708	10712
113	2460	2460	27152	29767	12768	5953	1131	2263	1781	278	15622	15622	27152	29767	12177	12768	29	36202	10860
114	2480	2480	27581	30422	12946	6084	1149	2298	1787	287	15886	15886	27581	30422	12445	12946	29	36775	11032
115	2500	2500	27796	30736	13088	6147	1158	2316	1793	295	15982	15982	27796	30736	12573	13088	29	37061	11118
116	2520	2520	28027	31052	13224	6210	1168	2336	1799	302	16097	16097	28027	31052	12703	13224	29	37370	11210
117	2540	2540	28504	31729	13413	6346	1188	2375	1804	312	16394	16394	28504	31729	12980	13413	29	38005	11401
118	2560	2560	29331	32879	13571	6576	1222	2444	1810	326	17025	17025	29331	32879	13450	13571	29	39109	11732
119	2580	2580	29953	33628	13858	6726	1248	2496	1816	339	17386	17386	29953	33628	13757	13858	29	39938	11981
120	2600	2600	30454	34344	14099	6869	1269	2538	1822	350	17671	17671	30454	34344	14049	14099	29	40605	12181
121	2620	2620	30801	34671	14215	6934	1283	2567	1827	359	17901	17901	30801	34671	14183	14215	29	41068	12320
122	2640	2640	31199	35029	14374	7006	1300	2600	1833	369	18150	18150	31199	35029	14329	14374	29	41599	12479
123	2660	2660	32421	36459	14595	7292	1351	2702	1839	389	19088	19088	32421	36459	14915	14595	29	43228	12968
124	2680	2680	32938	36916	14795	7383	1372	2745	1845	402	19414	19414	32938	36916	15102	14795	29	43917	13175
125	2700	2700	33259	37171	14954	7434	1386	2772	1850	411	19594	19594	33259	37171	15206	14954	29	44345	13303
126	2720	2720	33724	37546	15113	7509	1405	2810	1856	423	19901	19901	33724	37546	15359	15113	29	44965	13489
127	2740	2740	34395	38226	15339	7645	1433	2866	1862	438	20347	20347	34395	38226	15638	15339	29	45860	13758
128	2760	2760	34781	38515	15540	7703	1449	2898	1868	449	20556	20556	34781	38515	15756	15540	29	46375	13912
129	2780	2780	35682	39551	15721	7910	1487	2974	1873	466	21236	21236	35682	39551	16179	15721	29	47576	14272
130	2800	2800	36192	40375	15881	8075	1508	3016	1879	480	21583	21583	36192	40375	16517	15881	29	48256	14476
131	2820	2820	36710	41337	16124	8267	1530	3059	1885	493	21882	21882	36710	41337	16910	16124	29	48947	14684
132	2840	2840	36859	41907	16305	8381	1536	3072	1891	501	21894	21894	36859	41907	17143	16305	29	49146	14743
133	2860	2860	37060	42532	16429	8506	1544	3088	1896	511	21989	21989	37060	42532	17399	16429	29	49413	14823
134	2880	2880	37339	43395	16631	8679	1556	3112	1902	521	22103	22103	37339	43395	17752	16631	29	49785	14935
135	2900	2900	38341	45079	16942	9016	1598	3195	1908	542	22786	22786	38341	45079	18441	16942	29	51122	15336
136	2920	2920	37516	44132	17082	8826	1563	3126	1914	537	21959	21959	37516	44132	18054	17082	29	50021	15006
137	2940	2940	37770	44907	17264	8981	1574	3148	1919	547	22064	22064	37770	44907	18370	17264	29	50360	15108
138	2960	2960	39661	48146	17467	9629	1653	3305	1925	582	23609	23609	39661	48146	19696	17467	29	52881	15864
139	2980	2980	40608	49672	17858	9934	1692	3384	1931	603	24190	24190	40608	49672	20320	17858	29	54144	16243
140	3000	3000	41442	51212	18139	10242	1727	3453	1937	622	24744	24744	41442	51212	20950	18139	29	55256	16576
141	3020	3020	42593	53122	18237	10624	1775	3549	1942	647	25702	25702	42593	53122	21731	18237	29	56791	17037
142	3040	3040	43093	54166	18351	10833	1796	3591	1948	662	26070	26070	43093	54166	22158	18351	29	57457	17237
143	3060	3060	43650	55243	18527	11049	1819	3637	1954	679	26448	26448	43650	55243	22599	18527	29	58200	17459
144	3080	3080	44135	56292	18621	11258	1839	3678	1960	694	26817	26817	44135	56292	23028	18621	29	58847	17653
145	3100	3100	44636	57432	18735	11486	1860	3720	1965	710	27186	27186	44636	57432	23494	18735	29	59514	17854
146	3120	3120	46271	59753	18912	11951	1928	3856	1971	744	28521	28521	46271	59753	24444	18912	29	61694	18508
147	3140	3140	46625	60174	19068	12035	1943	3885	1977	758	28732	28732	46625	60174	24616	19068	29	62167	18649
148	3160	3160	46892	60561	19183	12112	1954	3908	1983	770	28893	28893	46892	60561	24775	19183	29	62522	18756
149	3180	3180	47182	60942	19282	12188	1966	3932	1988	784	29085	29085	47182	60942	24930	19282	29	62910	18872
150	3200	3200	47443	61327	19381	12265	1977	3954	1994	796	29251	29251	47443	61327	25088	19381	29	63257	18977
151	3220	3220	47784	62313	19579	12463	1991	3982	2000	810	29421	29421	47784	62313	25491	19579	29	63712	19113
152	3240	3240	49071	64627	19863	12925	2045	4089	2006	841	30376	30376	49071	64627	26438	19863	29	65428	19628
153	3260	3260	49379	65617	20004	13123	2057	4115	2011	855	30556	30556	49379	65617	26843	20004	29	65839	19751
154	3280	3280	49871	66931	20204	13386	2078	4156	2017	872	30861	30861	49871	66931	27380	20204	29	66495	19948
155	3300	3300	50259	68387	20445	13677	2094	4188	2023	888	31044	31044	50259	68387	27976	20445	29	67012	20103
156	3320	3320	50709	69615	20629	13923	2113	4226	2029	905	31321	31321	50709	69615	28478	20629	29	67612	20283
157	3340	3340	51211	70876	20793	14175	2134	4268	2034	923	31659	31659	51211	70876	28994	20793	29	68281	20484
158	3360	3360	52361	73028	21035	14606	2182	4363	2040	953	32520	32520	52361	73028	29875	21035	29	69815	20944
159	3380	3380	53298	74792	21346	14958	2221	4441	2046	979	33145	33145	53298	74792	30596	21346	29	71064	21319
160	3400	3400	53763	76069	21589	15214	2240	4480	2052	997	33396	33396	53763	76069	31119	21589	29	71684	21505
161	3420	3420	54375	77346	21769	15469	2266	4531	2057	1018	33820	33820	54375	77346	31641	21769	29	72499	21749
162	3440	3440	55044	78684	22018	15737	2293	4587	2063	1041	34249	34249	55044	78684	32189	22018	29	73391	22017
163	3460	3460	56381	80893	22330	16179	2349	4698	2069	1076	35229	35229	56381	80893	33092	22330	29	75175	22552
164	3480	3480	57001	82650	22553	16530	2375	4750	2075	1098	35632	35632	57001	82650	33811	22553	29	76002	22800
165	3500	3500	57888	84221	22802	16844	2412	4824	2081	1125	36254	36254	57888	84221	34453	22802	29	77184	23155
166	3520	3520	58847	85985	23089	17197	2452	4904	2086	1154	36916	36916	58847	85985	35175	23089	29	78463	23538
167	3540	3540	59593	87452	23418	17490	2483	4966	2092	1179	37359	37359	59593	87452	35775	23418	29	79457	23837
168	3560	3560	60365	88897	23689	17779	2515	5030	2098	1205	37865	37865	60365	88897	36366	23689	29	80487	24146
169	3580	3580	60045	88610	23934	17722	2502	5004	2104	1209	37416	37416	60045	88610	36249	23934	29	80059	24017
170	3600	3600	61309	90626	24180	18125	2555	5109	2109	1246	38377	38377	61309	90626	37074	24180	29	81746	24523
171	3620	3620	64551	95294	24436	19059	2690	5379	2115	1323	41088	41088	64551	95294	38983	24436	29	86068	25820
172	3640	3640	65916	97107	24745	19421	2747	5493	2121	1362	42095	42095	65916	97107	39725	24745	29	87889	26366
173	3660	3660	67133	98775	24991	19755	2797	5594	2127	1399	43012	43012	67133	98775	40408	24991	29	89510	26853
174	3680	3680	69310	101708	25264	20342	2888	5776	2132	1457	44766	44766	69310	101708	41607	25264	29	92414	27724
175	3700	3700	70458	103502	25617	20700	2936	5871	2138	1494	45550	45550	70458	103502	42341	25617	29	93943	28183
176	3720	3720	71672	105023	25864	21005	2986	5973	2144	1532	46465	46465	71672	105023	42963	25864	29	95562	28668
177	3740	3740	72733	106441	26058	21288	3031	6061	4340	1568	47279	47279	72733	106441	43544	26058	29	96977	29093
178	3760	3760	74046	108206	26284	21641	3085	6170	6540	1609	48295	48295	74046	108206	44265	26284	29	98727	29618
179	3780	3780	75420	109822	26638	21964	3142	6285	8818	1652	49281	49281	75420	109822	44927	26638	29	100560	30167
180	3800	3800	77118	116280	26907	23256	3213	6427	11147	1703	50611	50611	77118	116280	47568	26907	29	102825	30847
181	3820	3820	78729	121852	27304	24370	3280	6561	13522	1752	51778	51778	78729	121852	49848	27304	29	104972	31491
182	3840	3840	79961	126815	27574	25363	3332	6663	15841	1794	52693	52693	79961	126815	51878	27574	29	106614	31984
183	3860	3860	81687	132420	28015	26484	3404	6807	18300	1847	53934	53934	81687	132420	54171	28015	29	108916	32674
184	3880	3880	82921	137844	28285	27569	3455	6910	20808	1890	54850	54850	82921	137844	56390	28285	29	110561	33168
185	3900	3900	84090	143603	28555	28721	3504	7007	23215	1931	55709	55709	84090	143603	58746	28555	29	112119	33635
186	3920	3920	84931	148773	28826	29755	3539	7078	25809	1966	56276	56276	84931	148773	60861	28826	29	113242	33972
187	3940	3940	85908	154599	29226	30920	3579	7159	28449	2003	56878	56878	85908	154599	63244	29226	29	114543	34363
188	3960	3960	86393	159523	29454	31905	3600	7199	30939	2030	57157	57157	86393	159523	65259	29454	29	115191	34557
189	3980	3980	87596	164964	29961	32993	3650	7300	33666	2074	57888	57888	87596	164964	67485	29961	29	116795	35038
190	4000	4000	88661	170557	30175	34111	3694	7388	36530	2115	58692	58692	88661	170557	69773	30175	29	118214	35464
191	4020	4020	89184	175960	30497	35192	3716	7432	36701	2143	58943	58943	89184	175960	71983	30497	29	118912	35673
192	4040	4040	89721	181272	30797	36254	3738	7477	37073	2172	59220	59220	89721	181272	74156	30797	29	119628	35888
193	4060	4060	90043	186066	31012	37213	3752	7504	37217	2195	59363	59363	90043	186066	76117	31012	29	120057	36017
194	4080	4080	90586	191752	31227	38350	3774	7549	37618	2224	59703	59703	90586	191752	78444	31227	29	120782	36234
195	4100	4100	91781	197893	31635	39579	3824	7648	37992	2270	60492	60492	91781	197893	80956	31635	29	122375	36712
196	4120	4120	92258	203001	31808	40600	3844	7688	38138	2298	60802	60802	92258	203001	83045	31808	29	123011	36903
197	4140	4140	93347	209265	32239	41853	3889	7779	38542	2342	61482	61482	93347	209265	85608	32239	29	124462	37338
198	4160	4160	93929	214594	32455	42919	3914	7827	38917	2373	61855	61855	93929	214594	87788	32455	29	125238	37571
199	4180	4180	95265	220769	32843	44154	3969	7939	39066	2424	62784	62784	95265	220769	90314	32843	29	127019	38105
200	4200	4200	95788	223038	33102	44608	3991	7982	39475	2454	63076	63076	95788	223038	91242	33102	29	127717	38315
201	4220	4220	96505	225134	33349	45027	4021	8042	39625	2489	63549	63549	96505	225134	92100	33349	29	128674	38602
202	4240	4240	97235	227335	33488	45467	4051	8103	39805	2525	64105	64105	97235	227335	93000	33488	29	129647	38894
203	4260	4260	98323	230269	33908	46054	4097	8194	40185	2571	64792	64792	98323	230269	94200	33908	29	131097	39329
204	4280	4280	99055	232388	34156	46478	4127	8255	40337	2607	65278	65278	99055	232388	95067	34156	29	132074	39622
205	4300	4300	99754	234325	34295	46865	4156	8313	40519	2643	65806	65806	99754	234325	95860	34295	29	133005	39901
206	4320	4320	100275	236752	34435	47350	4178	8356	40899	2675	66176	66176	100275	236752	96853	34435	29	133700	40109
207	4340	4340	101625	239462	34835	47892	4234	8469	41053	2729	67109	67109	101625	239462	97961	34835	29	135500	40649
208	4360	4360	102163	241411	34997	48282	4257	8514	41237	2761	67480	67480	102163	241411	98759	34997	29	136217	40865
209	4380	4380	103342	244409	35310	48882	4306	8612	41622	2812	68319	68319	103342	244409	99985	35310	29	137790	41336
210	4400	4400	104031	246316	35559	49263	4335	8669	41808	2849	68766	68766	104031	246316	100765	35559	29	138708	41612
211	4420	4420	104666	248844	35873	49769	4361	8722	41963	2885	69121	69121	104666	248844	101799	35873	29	139555	41866
212	4440	4440	105034	250550	36101	50110	4376	8753	42352	2913	69296	69296	105034	250550	102497	36101	29	140045	42013
213	4460	4460	105600	252455	36437	50491	4400	8800	42540	2948	69575	69575	105600	252455	103277	36437	29	140800	42239
214	4480	4480	106058	254621	36622	50924	4419	8838	42697	2979	69859	69859	106058	254621	104162	36622	29	141411	42423
215	4500	4500	106861	256433	37175	51287	4453	8905	43118	3021	70204	70204	106861	256433	104904	37175	29	142481	42744
216	4520	4520	108138	259455	37512	51891	4506	9011	43276	3076	71114	71114	108138	259455	106140	37512	29	144184	43255
217	4540	4540	108508	260996	37763	52199	4521	9042	43435	3105	71276	71276	108508	260996	106771	37763	29	144677	43403
218	4560	4560	109181	262687	38057	52537	4549	9098	43860	3144	71678	71678	109181	262687	107462	38057	29	145575	43672
219	4580	4580	110143	265298	38678	53060	4589	9179	44021	3191	72119	72119	110143	265298	108530	38678	29	146857	44057
220	4600	4600	110678	266852	38908	53370	4612	9223	44445	3226	72441	72441	110678	266852	109166	38908	29	147570	44271
221	4620	4620	112650	270838	39486	54168	4694	9387	44607	3304	73809	73809	112650	270838	110797	39486	29	150200	45059
222	4640	4640	113641	272802	39803	54560	4735	9470	44769	3353	74478	74478	113641	272802	111600	39803	29	151521	45456
223	4660	4660	114633	275268	40208	55054	4776	9553	45198	3402	75090	75090	114633	275268	112609	40208	29	152844	45853
224	4680	4680	116156	277969	40810	55594	4840	9680	45361	3468	76043	76043	116156	277969	113714	40810	29	154875	46462
225	4700	4700	117309	279865	41194	55973	4888	9776	45794	3523	76812	76812	117309	279865	114490	41194	29	156412	46923
226	4720	4720	118297	282439	41600	56488	4929	9858	45959	3574	77419	77419	118297	282439	115543	41600	29	157729	47318
227	4740	4740	119355	284368	42028	56874	4973	9946	46124	3627	78074	78074	119355	284368	116332	42028	29	159140	47742
228	4760	4760	120177	286742	42369	57348	5007	10015	46562	3673	78577	78577	120177	286742	117303	42369	29	160236	48070
229	4780	4780	122185	290055	43060	58011	5091	10182	46728	3756	79901	79901	122185	290055	118658	43060	29	162913	48873
230	4800	4800	123544	293225	43381	58645	5148	10295	47165	3820	80896	80896	123544	293225	119955	43381	29	164725	49417
231	4820	4820	124382	295081	43789	59016	5183	10365	47333	3867	81369	81369	124382	295081	120715	43789	29	165843	49752
232	4840	4840	125164	297620	44197	59524	5215	10430	47740	3914	81791	81791	125164	297620	121753	44197	29	166885	50065
233	4860	4860	126532	300047	44781	60009	5272	10544	47942	3979	82618	82618	126532	300047	122746	44781	29	168709	50612
234	4880	4880	127720	303007	45081	60601	5322	10643	48353	4039	83474	83474	127720	303007	123957	45081	29	170293	51087
235	4900	4900	128727	305350	45512	61070	5364	10727	48524	4094	84082	84082	128727	305350	124915	45512	29	171636	51490
236	4920	4920	129961	308394	45944	61679	5415	10830	48728	4156	84891	84891	129961	308394	126161	45944	29	173281	51984
237	4940	4940	131500	311290	46573	62258	5479	10958	49138	4228	85839	85839	131500	311290	127345	46573	29	175333	52599
238	4960	4960	132591	313617	46896	62723	5525	11049	49345	4287	86594	86594	132591	313617	128298	46896	29	176789	53036
239	4980	4980	133794	316838	47417	63368	5575	11150	49758	4349	87316	87316	133794	316838	129615	47417	29	178392	53517
240	5000	5000	135527	319752	47850	63950	5647	11294	49932	4429	88568	88568	135527	319752	130807	47850	29	180702	54210
241	5020	5020	137963	323961	48766	64792	5748	11497	50383	4533	90123	90123	137963	323961	132529	48766	29	183950	55185
242	5040	5040	139940	327237	49507	65447	5831	11662	50558	4623	91386	91386	139940	327237	133869	49507	29	186586	55975
243	5060	5060	142328	331463	50248	66293	5930	11861	51008	4727	93015	93015	142328	331463	135598	50248	29	189771	56931
