int	int	int	int	int
316	50106204	16	3738	4593
317	50106204	17	3975	5019
318	50106204	18	4220	5468
319	50106204	19	4475	5941
320	50106204	20	4738	6437
321	50106204	21	5010	6959
322	50106204	22	5290	7495
323	50106204	23	5580	8045
324	50106204	24	5878	8608
325	50106204	25	6185	9185
326	50106204	26	6500	9772
327	50106204	27	6825	10370
328	50106204	28	7158	10978
329	50106204	29	7500	11593
330	50106204	30	7850	12216
331	50106204	31	8210	12844
332	50106204	32	8578	13484
333	50106204	33	8955	14136
334	50106204	34	9341	14799
335	50106204	35	9735	15472
336	50106204	36	10138	16153
337	50106204	37	10550	16842
338	50106204	38	10970	17539
339	50106204	39	11419	18241
340	50106204	40	0	18948
351	50106302	1	2468	3199
352	50106302	2	2679	3545
353	50106302	3	2908	3913
354	50106302	4	3154	4306
355	50106302	5	3418	4724
356	50106302	6	3700	5168
357	50106302	7	3999	5642
358	50106302	8	4315	6146
359	50106302	9	4649	6681
360	50106302	10	5000	7248
361	50106302	11	5369	7848
362	50106302	12	5755	8487
363	50106302	13	6159	9166
364	50106302	14	6581	9887
365	50106302	15	7019	10651
366	50106302	16	7476	11458
367	50106302	17	7950	12310
368	50106302	18	8441	13209
369	50106302	19	8950	14154
370	50106302	20	9476	15147
371	50106302	21	10020	16190
372	50106302	22	10581	17262
373	50106302	23	11160	18363
374	50106302	24	11756	19490
375	50106302	25	12370	20642
376	50106302	26	13001	21817
377	50106302	27	13650	23013
378	50106302	28	14316	24228
379	50106302	29	15000	25460
380	50106302	30	15701	26705
381	50106302	31	16420	27961
382	50106302	32	17157	29242
383	50106302	33	17910	30545
384	50106302	34	18682	31871
385	50106302	35	19470	33216
386	50106302	36	20277	34579
387	50106302	37	21100	35958
388	50106302	38	21941	37350
389	50106302	39	22800	38755
390	50106302	40	23676	40168
391	50106302	41	24570	41589
392	50106302	42	25481	43063
393	50106302	43	26410	44592
394	50106302	44	27356	46177
395	50106302	45	28320	47818
396	50106302	46	29301	49517
397	50106302	47	30300	51275
398	50106302	48	31316	53094
399	50106302	49	32392	54972
400	50106302	50	0	56914
401	50106103	1	987	391
402	50106103	2	1071	529
403	50106103	3	1163	677
404	50106103	4	1261	834
405	50106103	5	1367	1001
406	50106103	6	1480	1179
407	50106103	7	1599	1368
408	50106103	8	1726	1570
409	50106103	9	1859	1784
410	50106103	10	2000	2011
411	50106103	11	2147	2251
412	50106103	12	2302	2506
413	50106103	13	2463	2778
414	50106103	14	2632	3066
415	50106103	15	2807	3372
416	50106103	16	2990	3695
417	50106103	17	3180	4036
418	50106103	18	3376	4395
419	50106103	19	3580	4773
420	50106103	20	3790	5170
421	50106103	21	4008	5587
422	50106103	22	4232	6016
423	50106103	23	4464	6457
424	50106103	24	4702	6907
425	50106103	25	4948	7368
426	50106103	26	5200	7838
427	50106103	27	5460	8317
428	50106103	28	5726	8803
429	50106103	29	6080	9295
430	50106103	30	0	9793
451	50106303	1	2468	3199
452	50106303	2	2679	3545
453	50106303	3	2908	3913
454	50106303	4	3154	4306
455	50106303	5	3418	4724
456	50106303	6	3700	5168
457	50106303	7	3999	5642
458	50106303	8	4315	6146
459	50106303	9	4649	6681
460	50106303	10	5000	7248
461	50106303	11	5369	7848
462	50106303	12	5755	8487
463	50106303	13	6159	9166
464	50106303	14	6581	9887
465	50106303	15	7019	10651
466	50106303	16	7476	11458
467	50106303	17	7950	12310
468	50106303	18	8441	13209
469	50106303	19	8950	14154
470	50106303	20	9476	15147
471	50106303	21	10020	16190
472	50106303	22	10581	17262
473	50106303	23	11160	18363
474	50106303	24	11756	19490
475	50106303	25	12370	20642
476	50106303	26	13001	21817
477	50106303	27	13650	23013
478	50106303	28	14316	24228
479	50106303	29	15000	25460
480	50106303	30	15701	26705
481	50106303	31	16420	27961
482	50106303	32	17157	29242
483	50106303	33	17910	30545
484	50106303	34	18682	31871
485	50106303	35	19470	33216
486	50106303	36	20277	34579
487	50106303	37	21100	35958
488	50106303	38	21941	37350
489	50106303	39	22800	38755
490	50106303	40	23676	40168
491	50106303	41	24570	41589
492	50106303	42	25481	43063
493	50106303	43	26410	44592
494	50106303	44	27356	46177
495	50106303	45	28320	47818
496	50106303	46	29301	49517
497	50106303	47	30300	51275
498	50106303	48	31316	53094
499	50106303	49	32392	54972
500	50106303	50	0	56914
501	50106304	1	2468	3199
502	50106304	2	2679	3545
503	50106304	3	2908	3913
504	50106304	4	3154	4306
505	50106304	5	3418	4724
506	50106304	6	3700	5168
507	50106304	7	3999	5642
508	50106304	8	4315	6146
509	50106304	9	4649	6681
510	50106304	10	5000	7248
511	50106304	11	5369	7848
512	50106304	12	5755	8487
513	50106304	13	6159	9166
514	50106304	14	6581	9887
515	50106304	15	7019	10651
516	50106304	16	7476	11458
517	50106304	17	7950	12310
518	50106304	18	8441	13209
519	50106304	19	8950	14154
520	50106304	20	9476	15147
521	50106304	21	10020	16190
522	50106304	22	10581	17262
523	50106304	23	11160	18363
524	50106304	24	11756	19490
525	50106304	25	12370	20642
526	50106304	26	13001	21817
527	50106304	27	13650	23013
528	50106304	28	14316	24228
529	50106304	29	15000	25460
530	50106304	30	15701	26705
531	50106304	31	16420	27961
532	50106304	32	17157	29242
533	50106304	33	17910	30545
534	50106304	34	18682	31871
535	50106304	35	19470	33216
536	50106304	36	20277	34579
537	50106304	37	21100	35958
538	50106304	38	21941	37350
539	50106304	39	22800	38755
540	50106304	40	23676	40168
541	50106304	41	24570	41589
542	50106304	42	25481	43063
543	50106304	43	26410	44592
544	50106304	44	27356	46177
545	50106304	45	28320	47818
546	50106304	46	29301	49517
547	50106304	47	30300	51275
548	50106304	48	31316	53094
549	50106304	49	32392	54972
550	50106304	50	0	56914
