int	int	string	string	int	float	float	float	Vector3	float	Vector3	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	int	float	string	int	int	int	int	int	int[]	int	int	int
2001	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2002	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2003	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2004	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2005	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2006	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2007	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2008	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2009	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2010	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2011	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2012	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2013	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2014	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2015	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2016	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2017	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2018	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2019	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2020	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2021	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2022	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2023	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2024	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2025	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2026	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2027	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2028	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2029	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2030	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2031	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2032	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2033	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2034	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2035	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2036	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2037	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2038	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2039	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2040	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2041	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2042	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2043	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2044	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2045	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2046	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2047	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2048	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2049	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2050	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2051	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2052	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2053	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2054	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2055	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2056	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2057	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2058	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2059	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
2060	0	P001	墓碑	400	1.2	0.5	2	(0,0,0)	1	(0,0,0)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	0	0	0	9		0
10000	14	W001	静心灯	1	1.2	0.5	1	(0,0,0)	1	(0,0,0)	1	0	1	1	1	0	0	0	0	0	3000	0	0	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	2	0	0	0	214	0	1		0	1	1	1	0	0	9		0
10104001	0	N001	若雨	400	1.2	0.5	1	(-0.3,0.18,0)	0.75	(0,15,-1.36)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	1	0	0	9	0	672
10104002	0	N002	道尘	400	1.2	0.5	1	(-0.33,0,0)	0.85	(0,22.21,-2.5)	1	0	607	742	1264	0	0	0	0	0	3000	1390	3772	0	300	0	0	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	0	1		1	1	1	1	0	0	9	80000	0
10104003	0	N034	云若烟	4	1.2	0.5	1	(-0.25,0.025,0)	0.8	(0,15,0)	1	0	272	283	555	0	0	0	0	0	3000	838	104	10	300	0	6	0	0	0	0	0	0	0	0	0	10	2	1	0	0	0	200	1	1		1	1	1	1	0	0	9	0	662
