string	string	string	int[]	string	int
GeRen_lhs_31379	0	0	1	您的职业不符合	0
04BBF813-7A30-47A8-927DE1ACCC4F378E	0	0	1	对不起，目标地点为障碍点！	0
ObjectMapNonentity	0	0	1	该地图未开启！	0
GeRen_liubo_279029	0	0	1	当前地图无法使用自动战斗	0
CJ_DT_LoadMost	0	0	1	人数已达上限！请前往其他分线进入！	0
Carry_lhs_844170	0	0	1	副本地图内无法进行传送	0
Carry_lhs_697674	0	0	1	您当前所处的状态不能进行传送	0
Carry_lhs_202580	0	0	1	很抱歉，您当前正处于战斗状态中，不能进行传送	0
NearbyHint	0	0	1	距离太近，请不要浪费<Word info=Item ID=954 col=0/>	0
DropRecord	0	0	2|20	<color=#109d06FF><a>%s0|showplayer=%s1</a></color>在<Word info=Map ID=%s2/>和<color=#12a199ff><Word info=NPC ID=%s3/></color>大战三百回合，获得了极品<a><Word info=item ID=%s4/>|showitem=%s4 userdata=%s5</a>	0
GeRen_admin_671654	0	0	2|20	<color=#109d06FF><a>%s0|showplayer=%s1</a></color>在<Word info=Map ID=%s2/>和<color=#12a199ff><Word info=NPC ID=%s3/></color>大战三百回合，获得了极品<a><Word info=item ID=%s4/>|showitem=%s4 userdata=%s5</a>	0
KirinHomeWheel	0	0	1	第%s0波麒麟守卫发起攻击	0
Multiple_Finish	0	0	1	本日挑战次数已使用完，明天再来吧！	0
Multiple_UpLV	0	0	1	挑战本难度需要角色达到%s0级	0
NotChallengeMultiple	0	0	1	挑战本难度副本需要先通关<color=#ff0101FF>%s0级</color>副本	0
MoppingUpLV	0	0	1	<color=#ff0303>%s0级</color>开启麒麟之府扫荡功能	0
MoppingUpPass	0	0	1	扫荡该难度副本需要先通关<color=#ff0303>%s0级副本</color>	0
UnopenedFunction	0	0	1	功能暂未开放	0
FuncNoOpen_Strengthen	0	0	1	法宝<color=#ff0303>皓月枪</color>觉醒装备强化功能	0
FuncNoOpen_Gem	0	0	1	<color=#ff0303>%s0级</color>任务开启宝石镶嵌功能	0
FuncNoOpen_PersonBoss	0	0	1	<color=#ff0303>%s0级</color>开启Vip专属VIP Boss	0
FuncNoOpen_DailyQuest	0	0	1	<color=#ff0303>%s0级</color>主线开启日常	0
FuncNoOpen_Suit	0	0	1	<color=#ff0303>%s0级</color>开启套装锻造功能	0
FuncNoOpen_Pray	0	0	1	<color=#ff0303>%s0级</color>开启铜钱祈愿功能	0
FuncNoOpen_RankPanel	0	0	1	<color=#ff0303>%s0级</color>开启排行榜功能，看看自己是否金榜题名	0
FuncNoOpen_He	0	0	1	<color=#ff0303>%s0级</color>开启合成功能，<color=#ff0303>180级</color>开启翅膀合成	0
FuncNoOpen_DaBao	0	0	1	法宝<color=#ff0303>鬼牙刃</color>觉醒封魔坛打宝	0
FuncNoOpen_WingsRefine	0	0	1	<color=#ff0303>%s0级</color>开启翅膀精炼，提升翅膀品质	0
FuncNoOpen_Sp	0	0	1	<color=#ff0303>%s0级</color>开启技能潜力提升	0
FuncNoOpen_Wash	0	0	1	<color=#ff0303>%s0级</color>开启装备洗练功能	0
FuncNoOpen_GuShen	0	0	1	<color=#ff0303>%s0级</color>开启古神禁地，夺取套装石	0
FuncNoOpen_AutoZhan	0	0	1	<color=#ff0303>%s0级</color>开启装备合成，红三星装备降世	0
FuncNoOpen_WingsHe	0	0	1	<color=#ff0303>%s0级</color>开启翅膀合成，酷炫翅膀翱翔天际	0
FuncNoOpen_FreePoint	0	0	1	<color=#ff0303>%s0级</color>开启自由加点	0
FuncNoOpen_ChatLimit	0	0	1	<color=#ff0303>%s0级</color>开启聊天对话	0
FuncNoOpen_Friend	0	0	1	<color=#ff0303>%s0级</color>开启仙缘	0
FuncNoOpen_Market	0	0	1	<color=#ff0303>%s0级</color>开启集市	0
FuncNoOpen_RuneTower	0	0	1	<color=#ff0303>%s0级</color>开启符印塔	0
FuncNoOpen_LianDanLu	0	0	1	激活法宝<color=#ff0303>八卦炉</color>开启炼丹	0
FuncNoOpen_Rune	0	0	1	法宝<color=#ff0303>龙雀环</color>觉醒符印	0
FuncNoOpen_SignIn	0	0	1	<color=#ff0303>%s0级</color>开启签到	0
FuncNoOpen_Task	0	0	1	<color=#ff0303>%s0级</color>开启仙盟任务	0
FuncNoOpen_UnionMatch	0	0	1	<color=#ff0303>%s0级</color>且加入仙盟后开启仙盟联赛	0
FuncNoOpen_Mount	0	0	1	法宝<color=#ff0303>杏黄旗</color>觉醒至<color=#ff0303>坐骑</color>开启该功能。	0
FuncNoOpen_Magic	0	0	1	<color=#ff0303>%s0级</color>开启神兵	0
FuncNoOpen_Pet	0	0	1	法宝<color=#ff0303>磐龙印</color>觉醒至<color=#ff0303>灵宠</color>开启该功能。	0
FuncNoOpen_MoZu	0	0	1	<color=#ff0303>%s0级</color>开启魔族法宝	0
FuncNoOpen_Realm	0	0	1	<color=#ff0303>%s0级</color>开启境界	0
FuncNoOpen_Fairy	0	0	1	<color=#ff0303>%s0级</color>开启仙盟	0
FuncNoOpen_XMZZ	0	0	1	<color=#ff0303>%s0级</color>开启仙魔之争	0
FuncNoOpen_XMYH	0	0	1	<color=#ff0303>%s0级</color>开启仙盟宴会	0
FuncNoOpen_SGZC	0	0	1	<color=#ff0303>%s0级</color>开启上古战场	0
FuncNoOpen_PassSkill	0	0	1	<color=#ff0303>%s0级</color>开启被动技能	0
ElderGod_SomeIn	0	0	1	玩家<color=#109d06FF>%s0</color>进入了古神禁地	0
FuncNoOpen_EquipDevour	0	0	1	<color=#ff0303>%s0级</color>开启装备分解功能	0
FuncNoOpen_XBXZ	0	0	1	<color=#ff0303>%s0级</color>开启仙宝寻主功能	
Guardian_ContinuePay	0	0	1	续费成功	0
Friend_OffLine	0	0	1	对方玩家不在线	0
Friend_OffChat	0	0	1	无法与黑名单的玩家私聊	0
Friend_OffTeam	0	0	1	无法邀请黑名单内的玩家	0
Friend_NoExist	0	0	1	很遗憾，没有搜索到玩家	0
Friend_RemoveBlacklist	0	0	1	请先将目标移出黑名单	0
Friend_Blacklist	0	0	1	您已被对方列入黑名单	0
Friend_FullList	0	0	1	好友列表已满	0
Friend_OtherFullList	0	0	1	目标好友已满	0
Friend_ApplyFriend	0	0	1	已向对方提交好友申请	0
Friend_YetFriend	0	0	1	对方已经是您的好友	0
Friend_RejectFriend	0	0	1	对方拒绝了您的好友请求	0
Friend_MakeFriend	0	0	1	<color=#109d06FF>%s0</color>成为你的好友	0
Friend_DeleteFriend	0	0	1	您解除了和对方的好友关系	0
Friend_DeleteFriend2	0	0	1	<color=#109d06FF>%s0</color>解除了和您的好友关系	0
BlacklistFull	0	0	1	黑名单人数已满，无法继续添加	0
AddBlackList	0	0	1	已将<color=#109d06FF>%s0</color>加入黑名单	0
MarketNoPutaway1	0	0	1	绑定物品不能上架	0
MarketNoPutaway2	0	0	1	镶嵌宝石的装备不能上架	0
MarketNoPutaway3	0	0	1	套装化的装备不能上架	0
MarketNoPutaway4	0	0	1	物品最多上架%s0个	0
UseSkillCDLimit	0	0	1	技能CD中	0
Skill1Btn_Unlock	0	0	1	法宝<color=#006be3FF>定海神珍</color>觉醒获得	0
Skill2Btn_Unlock	0	0	1	法宝<color=#006be3FF>皓月枪</color>觉醒获得	0
Skill3Btn_Unlock	0	0	1	法宝<color=#006be3FF>鬼牙刃</color>觉醒获得	0
Skill4Btn_Unlock	0	0	1	法宝<color=#006be3FF>磐龙印</color>觉醒获得	0
Skill5Btn_Unlock	0	0	1	法宝<color=#006be3FF>杏黄旗</color>觉醒获得	0
Skill6Btn_Unlock	0	0	1	法宝<color=#006be3FF>东皇钟</color>觉醒获得	0
Skill7Btn_Unlock	0	0	1	法宝<color=#006be3FF>紫金葫芦</color>觉醒获得	0
SkillXpBtn_Unlock	0	0	1	法宝<color=#006be3FF>龙雀环</color>觉醒获得	0
SkillPanel_Unlock	0	0	1	法宝<color=#006be3FF>%s0</color>觉醒开启技能页划动	0
GoldErr	0	0	1	<color=#109d06FF>您的仙玉数量不足！</color>	0
Protect_1	0	0	1	护法成功，玩家挑战成功后将获得护法奖励	0
Protect_2	0	0	1	护法无效，对方加成已达上限	0
Protect_3	0	0	1	护法无效，玩家已离开副本	0
Protect_4	0	0	1|20	每日最多护法<color=#109d06FF>%s0</color>次，已达护法奖励次数上限，护法成功将不再获得护法礼包	0
InterruptPlayer	0	0	100	<color=#109d06FF>%s0</color>正在打断您打坐	0
MeditationNews	0	0	1|20	<color=#109d06FF>%s0</color>正在<color=#12a199FF><Word info=Map ID=%s1/></color>打坐挑战心魔<color=#109d06><a>前往观摩|FindPlayer=1 mapId=%s1 x=%s2 y=%s3 line=%s4</a></color>	0
RealmUpSuccess	0	0	1|20	恭喜<color=#109d06FF>%s0</color>境界晋升至<Word info=realm ID=%s1/>	0
RealmSitTimeNoEnough	0	0	1	已达最大可缩短时间，无法继续增加	0
MeditationFailed	0	0	3	打坐中断，剩余打坐时间：<color=#109d06FF>%s0</color>	0
RealmNoEnoughTreasure	0	0	1	法宝激活数量不足	0
WB_Limit	0	0	1	今日世界Boss疲劳值已达上限，无法再对世界Boss造成伤害	0
BossHome_Limit	0	0	1	今日Boss之家疲劳值已达上限，无法再对Boss之家的Boss造成伤害	0
CanootTalk02	0	0	1	发送的聊天信息过于频繁	0
CanootTalk08	0	0	1	您已被禁言，聊天信息发送失败	0
CanootTalk09	0	0	1	请勿发送内容重复的聊天信息	0
CanootTalk10	0	0	1	私聊对象不存在或未上线	0
CanootTalk13	0	0	1	输入的聊天信息过长	0
CanootTalk14	0	0	1	发送的聊天信息不能为空	0
CanootTalk04	0	0	1	聊天信息中带有非法字符	0
NoChatTarget	0	0	1	无法发送消息，没有聊天对象	0
GeRen_lwh_272921	0	0	1	请先激活该灵宠	0
GeRen_liubo_148706	0	0	1	天道酬勤，万人敬仰的等级榜第一<color=#109d06FF>%s0</color>上线了！	0
GeRen_liubo_232930	0	0	1	气拔山河，霸者无双的第一高手<color=#109d06FF>%s0</color>上线了	0
ViewPlayer_OffLine	0	0	1	抱歉，无法查看离线玩家信息	0
SeePlayer_Cannot	0	0	1	无法查看自己的信息	0
PrayerWin_2	0	0	1	祈愿次数已达上限，请提升Vip等级	0
MoneyPray_HowMuch	0	0	2	摇钱神树显灵啦，获得%s0铜钱	0
ExpPray_HowMuch	0	0	2	知识之书显灵啦，获得%s0经验	0
SwitchEquip_Strengthen	0	0	1	强化等级已自动继承，超出部分保留为熟练度	0
SwitchEquip_Strengthen2	0	0	2	强化等级已自动继承	0
Task_cannot_Perfection	0	0	1	任务异常，奖励错误	0
ElderBattlefieldBest	0	0	1|20	<color=#109d06FF>%s0</color>玩家，在上古战场中总积分最多，奖励<a><Word info=item ID=%s1/>|showitem=%s1</a>	0
Guardian_Timeout	0	0	1	<Word info=item ID=%s0/>已过期，去商城里挑选守护继续陪伴吧	0
SwitchEquip_SuitPanel	0	0	2	已自动转移全部套装石	0
GeRen_admin_272921	0	0	1|20	<color=#109d06FF>%s0</color>在<color=#12a119FF><Word info=Map ID=%s1/></color>击败了<color=#12a119FF><Word info=NPC ID=%s2/></color>掉落出<a><Word info=item ID=%s3/>|showitem=%s3</a>	0
SwitchEquip_Wash	0	0	2	装备洗练属性已自动继承	0
Wash_NoEquip1	0	0	1	穿戴装备后才可进行洗练	0
GeRen_chenxin_628920	0	0	1	您获得伤害鼓舞状态，伤害增加%s00%	0
GeRen_chenxin_93643	0	0	1	鼓舞效果已达上限	0
Xjmj_CopperInspireFull	0	0	1	当前铜钱鼓舞效果已达上限，可使用仙玉鼓舞继续提升伤害	0
TeamNoExist	0	0	1	队伍不存在！	0
Xjmj_InspireNoEnoughFairy	0	0	1	您的绑定仙玉和仙玉不足，无法进行仙玉鼓舞	0
Xjmj_InspireNoEnoughGold	0	0	1	您的铜钱不足，无法进行铜钱鼓舞	0
Xjmj_InspireMaxLevel	0	0	1	鼓舞次数已达上限	0
Friend_OpenAliance	0	0	1	50级开启仙盟	0
Friend_OtherHaveAlliance	0	0	1	目标已有仙盟	0
Friend_NotAliance	0	0	1	目标没有仙盟	0
Friend_OtherLessLv	0	0	1	目标等级不足	0
Friend_RejectAlliance	0	0	1	目标拒绝了您的邀请入盟请求	0
Friend_JoinAlliance	0	0	1	您的入盟申请被通过	0
jiazu_xyj_31379	0	0	1	您的盟主已经离线超过2天，盟主之位已自动转让	0
8A51A214-9410-42DA-ABD8884CE3CB81C8	0	0	1	当前名称已有其他仙盟使用，请重新输入！	0
jiazu_xyj_671654	0	0	1	您今天至少退出过一次仙盟，暂时不能参加该仙盟活动	0
GeRen_liubo_644055	0	0	1	你已不在获胜仙盟，无法领取仙盟胜利奖	0
XW_JZ_LeaguerOnline	0	0		<color=#109d06FF>%s0</color>上线了	0
XW_JZ_LeaguerLeaveline	0	0		<color=#109d06FF>%s0</color>下线了	0
XW_JZ_InviteErr_Repeat	0	0	1	该玩家已有仙盟！	0
XW_JZ_InviteErr_Refuse	0	0	1	目标拒绝了您发出的邀请加入仙盟请求	0
XW_JZ_InviteErr_Popedom	0	0	1	您没有邀请加入仙盟的权限	0
XW_JZ_InviteErr_OutLine	0	0	1	该玩家不在线	0
XW_JZ_InviteErr_NoName	0	0	1	您还没有输入要邀请的玩家名称	0
XW_JZ_InviteErr_Lv	0	0	1	目标等级低于<color=#ff0303FF>%s0</color>，邀请仙盟失败	0
XW_JZ_InviteEnter	0	0	1	邀请消息已发送，等待对方应答！	0
jiazu_liubo_671654	0	0	1|20	广纳天下志士，共证修仙长生道，<color=#109d06FF>%s0</color>建立了<color=#ff6701FF> %s1</color>仙盟！<color=#109d06FF><a>前往入盟|ApplyFairy=%s2</a></color>	0
XW_JZ_EstablishSud	0	0	1	恭喜您，仙盟建立成功！	0
XW_JZ_LeaveFamily	0	0	32	<color=#109d06FF>%s0</color>退出了仙盟	0
XW_JZ_EnterFamily	0	0	32	<color=#109d06FF>%s0</color>加入了仙盟	0
XW_JZ_EnterFamilyInfo	0	0	1|20	恭喜您成功加入仙盟<color=#109d06FF>%s0</color>	0
XW_JZ_EstablishErr_Lv	0	0	1	您的等级低于了50级，无法建立仙盟！	0
XW_JZ_EstablishErr_Money	0	0	1	您的金钱不足，建立仙盟失败！	0
XW_JZ_EstablishErr_Name	0	0	1	您输入的仙盟名已存在，建立仙盟失败！	0
XW_JZ_EstablishErr_Nonlicet	0	0	1	您输入的仙盟名含有非法字符，建立仙盟失败！	0
GeRen_liubo_980181	0	0	1	仙盟名称的字数不能超过%s0个中文或%s1个英文	0
jiazu_andyshao_0	0	0	1	您尚未加入仙盟！	0
jiazu_hwj35_425673	0	0	1	对方仙盟不存在！	0
jiazu_hwj35_917284	0	0	1	您输入的玩家名字不存在，邀请失败！	0
jiazu_lhs_161795	0	0	1|20	建立仙盟需要<Word info=RichTextMsgReplace Name=MONEY id=%s0/><Word info=RichTextMsgReplace Name=MONEY id=%s1/>	0
jiazu_lhs_202580	0	0	1	仙盟人数已达上限，无法招收新成员！	0
jiazu_lhs_861048	0	0	1	您邀请的玩家不存在！	0
jiazu_pan_141056	0	0	1	对不起，目标仙盟申请加入列表已满，申请加入仙盟失败！	0
jiazu_pan_243780	0	0	32	仙盟成员<color=#109d06FF>%s0</color>已经更名为<color=#109d06FF>%s1</color>	0
jiazu_pan_500807	0	0	1	申请加入仙盟成功！请等待仙盟管理人员审批！	0
jiazu_pan_592934	0	0	1	<color=#109d06FF>%s0</color>拒绝了您加入仙盟的申请！	0
CanootTalk07	0	0	1	您尚未加入仙盟，仙盟频道聊天信息发送失败	0
GeRen_hwj35_717982	0	0	1|20	您的等级不足,到达%s0级可创建仙盟	0
GeRen_admin_425673	0	0	1	您获得了<color=#109d06FF>%s0</color>点仙盟积分!	0
GeRen_chenxin_85890	0	0	1	您已经加入仙盟了	0
jiazu_lhs_0	0	0	1	您没有加入仙盟！	0
FamilyNameChangeNoNull	0	0	1	仙盟新名称不可为空	0
FamilyNameChangeOnluZhu	0	0	1	只有盟主才能更改仙盟名	0
FamilyNameChangeUsed	0	0	1	当前名称已有其他仙盟使用，请重新输入！	0
FamilyNameChangeNo	0	0	1	仙盟名称未发生改变	0
FamilyNameChangeUnlegal	0	0	1	仙盟名称存在不合法字符	0
FamilyNameChangeError	0	0	1	修改仙盟名称异常	0
TreasuryDonation	0	0	32	<color=#109d06FF>%s0</color>捐献了<a><Word info=item id=%s1/>|showitem=%s1 userdata=%s2</a>	0
TreasuryExchange	0	0	32	<color=#109d06FF>%s0</color>使用<color=#109d06FF>%s1点</color>仓库积分兑换<a><Word info=item id=%s2/>|showitem=%s2 userdata=%s3</a>	0
FamilyMatchTime	0	0	5|20	仙盟联赛对战列表已分配，打开仙盟联赛界面可查看详情	0
FamilyMatchBeforeStart	0	0	5|20	仙盟联赛将于<color=#109d06FF>%s0</color>分钟后开始，请各仙友提前做好准备	0
FamilyMatchStart	0	0	5|20	仙盟联赛已经开始，请仙友们通过仙盟联赛界面及时进入战场	0
FamilyMatchFirstSessionEnd	0	0	5	本场仙盟联赛已结束，下一场将于<color=#109d06FF>周五21：00</color>举行	0
FamilyMatchSecondSessionEnd	0	0	5	本轮仙盟联赛已结束，<color=#ff6701FF>%s0</color>仙盟拔得头筹，成为王者仙盟	0
FamilyMatchRankNoOne	0	0	5|20	<color=#109d06FF>%s0</color>在仙盟联赛中表现优异，获得额外<Word info=item id=%s1/>奖励	0
FamilyMatchOccupied	0	0	1|20	有一个资源水晶被敌方占领了，快去抢夺回来	0
FamilyMatchEnimeyResources	0	0	1|20	敌方资源点已达<color=#109d06FF>%s0</color>点	0
FamilyMatchOwnResources	0	0	1|20	己方资源点已达<color=#109d06FF>%s0</color>点	0
FamilyMatchLianWinReward	0	0	5|20	<color=#ff6701FF>%s0</color>仙盟盟主将连胜奖励<Word info=item id=%s1/>分配给<color=#109d06FF>%s2</color>，神兵降世	0
FamilyMatchBuff	0	0	1|20	强力BUFF生成在战场内，快快去争夺	0
FamilyMatchBuffOccupied	0	0	1|20	<color=#006be3FF><Word info=Skill ID=%s0/></color>BUFF已被己方仙盟获得，士气大涨	0
FamilyMatchBuffOccupiedEnimy	0	0	1|20	<color=#006be3FF><Word info=Skill ID=%s0/></color>BUFF已被敌方仙盟获得，努力争夺下一个，不要气馁	0
PlayerWarFamilyIDIsChange	0	0	1	您在本轮联赛中退出了原仙盟，无法在原仙盟以外的仙盟参与仙盟联赛	0
FamilyWarFightingLeaveLimiit	0	0	1	您的仙盟正处于联赛对战中，此时无法退出仙盟	0
FamilyWarFightingDeleteMemLimiit	0	0	1	您的仙盟正处于联赛对战中，此时无法踢出成员	0
PlayerFamilyWarIsOver	0	0	1	您的仙盟已结束本场对战，无法进入战场	0
FBIsNotOpen	0	0	1	当前时间副本未开放	0
NoFamilyWarLine	0	0	1	您的仙盟当前无联赛对战，无法进入战场	0
GeRen_liubo_976459	0	0	1	您的仙盟已占领该资源，无需重复占领	0
GeRen_liubo_660051	0	0	1|32	您的仙盟心法<Word info=RichTextMsgReplace Name=HEART id=%s0/>提升到了<color=#109d06ff>%s1</color>级	0
UseMagicLost16	0	0	2	该技能已经是最高等级	0
Party_TopThree	0	0	20	仙盟宴会答题排名前三仙盟，<color=#ff0303FF>第一名：</color><color=#ff6701ff><Word show=%s0/></color>；第二名：<color=#ff6701FF><Word show=%s1/></color>；第三名：<color=#ff6701FF><Word show=%s2/></color>	0
Party_TopPlayer	0	0	20	获得本次宴会“答题王”的玩家：<color=#109d06ff><Word show=%s0/></color>	0
Party_Topic	0	0	31	<Word info=fairyquestion id=%s0/>	0
Party_Answer	0	0	31	“<color=#109d06ff>%s0</color>聪慧过人，回答正确”	0
FamilyNoIntoParty	0	0	1|20	您不在宴会中无法答题，请前往参加宴会答题。	0
Party_OverTime	0	0	32	活动将在<color=#109d06ff>%s0</color>秒后结束	0
Party_HadCollected	0	0	1	已获得采集奖励，快到仙盟频道参与答题吧	0
Party_CollectSuccess	0	0	1	采集成功，获得<color=#109d06ff>%s0</color>点仙盟贡献	0
XMZZ_Streak	0	0		<color=#109d06ff>%s0</color>击败<color=#109d06ff>%s1</color>，</r>已达到<color=#109d06ff>%s2</color>连胜，获得<color=#109d06ff>%s3</color>积分	0
XMZZ_ShutDown	0	0		<color=#109d06ff>%s0</color>终结了<color=#109d06ff>%s1</color>的<color=#109d06ff>%s2</color>连胜	0
XMZZ_LeadingStage	0	0	4	第%s0阶段的仙魔之争，<color=#109d06ff><Word info=RichTextMsgReplace Name=XMZZFaction id=%s1/>阵营</color>积分领先，继续加油	0
XMZZ_DrawStage	0	0	4	第%s0阶段的仙魔之争，双方阵营积分相同	0
XMZZ_Victory	0	0	4	本次仙魔之争，<Word info=RichTextMsgReplace Name=XMZZFaction id=%s0/>阵营获得胜利	0
XMZZ_Draw	0	0	4	本次仙魔之争，双方阵营积分相同，结果平局，恭喜所有参与者获得平局大奖	0
XMZZ_FirstPlace	0	0	4	本次活动%s0获得%s1积分，获得积分第一名奖励	0
XMZZ_BettingOver	0	0	2	第%s0阶段的投注剩余投注时间1分钟	0
XMZZ_FinalBettingOver	0	0	2	最终阵营胜负与第1阶段投注剩余投注时间1分钟	0
GeRen_chenxin_197707	0	0	1	镶嵌成功！	0
SwitchEquip_Gem	0	0	2	已自动转移全部宝石	0
GemFullLevelError	0	0	1	宝石已达最大等级，无法继续升级	0
GeRen_chenxin_573322	0	0	1	您当前属性点不足，无法装备！	0
itemuse_andyshao_671654	0	0	1	角色属性不足，无法穿戴装备	0
GeRen_chenxin_960792	0	0	1	属性点不足，无法装备	0
Friend_FullTeam	0	0	1	队伍人数已满	0
Friend_OtherFullTeam	0	0	1	目标队伍人数已满	0
Friend_HaveTeam	0	0	1	您已有队伍，请先退出再申请	0
Friend_JoinFailed	0	0	1	对方拒绝了您的入队申请	0
Friend_RejectTeam	0	0	1	对方拒绝了您的组队邀请	0
GeRen_liubo_986912	0	0	1	该地图无法进行组队或退出队伍	0
InviteEnterLost01	0	0	1	该玩家拒绝了您的邀请，邀请入队失败！	0
InviteEnterLost02	0	0	1	该玩家已在他人队伍中，邀请入队失败！	0
GeRen_chenxin_570355	0	0	1	我方队伍已满员	0
GeRen_lwh_0	0	0	1	对方玩家所在地图无法组队	0
ApplyEnterLost02	0	0	1	对方拒绝了您的入队请求	0
GeRen_chenxin_227479	0	0	1	队伍已满员	0
GeRen_chenxin_543685	0	0	2|41	<color=#109d06FF>%s0</color>加入了队伍	0
LeaveProcession	0	0	2|41	<color=#109d06FF>%s0</color>离开了队伍	0
InsteadHeader	0	0	2|41	<color=#109d06FF>%s0</color>成为了队长	0
Team_Header_TransferLost	0	0	1|20	该玩家已经离线	0
GeRen_chenxin_498155	0	0	1|20	您已经离开了队伍	0
PK_hwj35_21675	0	0	1|20	该玩家已经离线	0
GeRen_hwj35_500807	0	0	1|20	该玩家已经离线	0
CanootTalk06	0	0	1	您还没有队伍，队伍频道聊天信息发送失败	0
NoMatchingTeam	0	0	1	当前地图无适合匹配队伍！	0
NoMatchingPlayer	0	0	1	当前地图无适合匹配玩家！	0
TeamMatchingTimeMe	0	0	1|20	自动匹配<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为您的次数不足	0
TeamMatchingTimeAll	0	0	1|20	自动匹配<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为<color=#109d06FF>%s1</color>的次数不足	0
TeamEnterTimeMe	0	0	1|41	队长发起进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为您的次数不足	0
TeamEnterTimeAll	0	0	1|41	队长发起进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为<color=#109d06FF>%s1</color>的次数不足	0
GeRen_chenxin_268121	0	0	1|20	进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，次数不足	0
TeamMatchingCDMe	0	0	1|20	自动匹配<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为您的副本进入冷却中	0
TeamMatchingCDAll	0	0	1|20	自动匹配<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为<color=#109d06FF>%s1</color>的副本进入冷却中	0
TeamEnterCDMe	0	0	1|41	队长发起进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为您的副本进入冷却中	0
TeamEnterCDAll	0	0	1|41	队长发起进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为<color=#109d06ff>%s1</color>的副本进入冷却中	0
SingleEnterCD	0	0	1|20	进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，副本进入冷却中	0
TeamMatchingLVMe	0	0	1|20	自动匹配<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为您的等级不符	0
TeamMatchingLVAll	0	0	1|20	自动匹配<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为<color=#109d06ff>%s1</color>的等级不符	0
TeamEnterLVMe	0	0	1|41	队长发起进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为您的等级不符	0
TeamEnterLVAll	0	0	1|41	队长发起进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，因为<color=#ff0303ff>%s1</color>的等级不符	0
FbLV	0	0	1	进入<color=#12a199ff><Word info=Map ID=%s0/></color>副本失败，您的等级不符	0
